time,sent,received,total
4.65,4250.38,20720.67,24.39
1006.5,4252.71,20722.76,24.39
2007.95,4257.19,20724.91,24.4
3009.47,4257.4,20725.09,24.4
4010.88,4259.27,20727.0,24.4
5012.26,4261.08,20728.77,24.4
6013.26,4266.65,20732.48,24.41
7014.02,4266.78,20734.2,24.41
8014.74,4269.79,20736.03,24.42
9015.47,4272.99,20738.8,24.42
10016.14,4276.7,20742.4,24.43
11019.41,4386.88,20987.87,24.78
12020.24,4449.16,22824.06,26.63
13021.08,4481.75,22856.3,26.7
14021.81,4520.27,22894.43,26.77
15022.67,4548.05,22922.46,26.83
16023.53,4578.67,22952.06,26.88
17024.27,4638.6,24826.22,28.77
18024.94,4669.54,24855.65,28.83
19026.73,4699.43,24887.34,28.89
20027.95,4730.31,24918.0,28.95
21030.37,4764.8,24952.46,29.02
22031.12,4830.92,26853.46,30.94
23031.87,4861.82,26884.0,31.0
24032.83,4892.19,26914.38,31.06
25033.68,4924.88,26946.8,31.12
26036.39,4954.34,26986.15,31.19
27037.41,4991.52,27063.0,31.3
28038.49,5041.75,28899.85,33.15
29039.33,5076.89,28934.87,33.21
30040.11,5108.61,28973.25,33.28
31042.5,5140.18,29004.78,33.34
32045.95,5180.1,29056.92,33.43
33046.78,5233.76,30922.55,35.31
34047.57,5234.32,30925.52,35.31
35048.42,5237.24,30933.98,35.32
36049.26,5243.23,30939.51,35.33
37050.09,5247.62,30964.32,35.36
38050.95,5295.48,32798.44,37.2
39051.65,5298.52,32807.21,37.21
40052.32,5303.04,32811.43,37.22
41053.0,5303.98,32818.1,37.23
42053.69,5316.69,32861.6,37.28
43054.58,5342.92,34653.46,39.06
44055.37,5351.37,34711.1,39.12
