time,total,idle,mem_total,mem_free,1982/cpu,1982/rss,3831/cpu,3831/rss,3857/cpu,3857/rss
1008.89,580034,549179,3887864,1828492,346,87960,249,18224,1142,55244
2011.45,580433,549565,3887864,1828420,346,87960,249,18224,1143,55244
3013.65,580832,549930,3887864,1830108,346,87960,249,18224,1143,55244
4016.17,581227,550308,3887864,1829380,346,87960,249,18224,1144,55248
5018.73,581625,550697,3887864,1829636,346,87960,250,18224,1145,55260
6020.99,582025,551091,3887864,1830860,347,87960,250,18224,1145,55260
7023.58,582423,551479,3887864,1831384,347,87960,251,18224,1146,55260
8024.78,582819,551845,3887864,1832128,347,87960,251,18224,1147,55276
9025.78,583218,552238,3887864,1832124,347,87960,251,18224,1147,55276
10026.8,583617,552636,3887864,1832632,348,87960,251,18224,1147,55276
11028.17,584007,552970,3887864,1832144,348,87960,251,18224,1167,55052
12029.71,584397,553272,3887864,1832144,348,87960,251,18224,1169,55056
13031.6,584790,553561,3887864,1832248,348,87960,252,18228,1172,55056
14033.36,585192,553870,3887864,1832372,348,87960,252,18228,1173,55056
15035.29,585588,554177,3887864,1832156,348,87960,252,18228,1173,55056
16039.72,585991,554493,3887864,1830312,348,87960,252,18228,1180,55060
17041.15,586392,554801,3887864,1830564,348,87960,252,18228,1181,55060
18044.14,586794,555104,3887864,1829964,349,87960,253,18228,1181,55060
19045.53,587188,555379,3887864,1829240,349,87960,253,18228,1183,55060
20046.98,587583,555688,3887864,1829240,349,87960,253,18232,1184,55060
21048.42,587984,555991,3887864,1827316,349,87960,253,18232,1185,55060
22050.2,588378,556305,3887864,1804120,349,87960,254,18236,1192,55072
23051.91,588771,556596,3887864,1788772,349,87960,254,18236,1194,55072
24053.43,589165,556899,3887864,1788456,349,87960,254,18236,1196,55080
25055.22,589559,557205,3887864,1788256,349,87960,255,18236,1196,55080
26056.61,589950,557515,3887864,1786468,349,87960,255,18236,1197,55080
27057.97,590343,557834,3887864,1777188,349,87960,256,18236,1203,55316
28059.39,590748,558141,3887864,1773760,349,87960,256,17488,1203,55316
29060.76,591140,558426,3887864,1779048,349,87960,257,17488,1204,55316
30062.1,591541,558737,3887864,1778800,350,87960,257,17488,1204,55320
31063.57,591934,559033,3887864,1779052,350,87960,257,17488,1205,55324
32068.15,592335,559346,3887864,1746108,350,87960,257,17488,1212,55336
33069.47,592730,559674,3887864,1729168,350,87960,257,17488,1213,55336
34071.45,593132,560013,3887864,1729168,350,87960,257,17488,1213,55336
35072.66,593536,560357,3887864,1729312,350,87960,257,17488,1214,55336
36074.29,593938,560703,3887864,1728556,350,87960,257,17488,1214,55336
37075.63,594337,561052,3887864,1725252,350,87960,259,17488,1216,55340
38077.26,594735,561389,3887864,1726064,350,87960,259,17488,1218,55340
39078.85,595134,561709,3887864,1721444,351,87960,259,17488,1218,55340
40080.27,595539,562053,3887864,1722688,351,87960,259,17488,1219,55340
41081.65,595943,562389,3887864,1724516,351,87960,259,17488,1219,55340
42083.05,596345,562727,3887864,1721220,351,87960,259,17488,1221,55340
43088.17,596747,563060,3887864,1722672,352,87960,260,17488,1223,55340
