time,total,idle,mem_total,mem_free,1982/cpu,1982/rss,3831/cpu,3831/rss,3857/cpu,3857/rss
1007.51,756545,702428,3887864,1602944,413,87964,362,18152,1998,55836
2009.73,756940,702812,3887864,1602692,414,87964,363,18152,2003,55836
3012.27,757337,703202,3887864,1602696,414,87964,364,18152,2004,55836
4014.97,757736,703593,3887864,1603460,414,87964,364,18152,2005,55836
5016.11,758133,703959,3887864,1599292,414,87964,364,18156,2005,55836
6017.12,758532,704356,3887864,1599292,414,87964,364,18156,2005,55836
7018.13,758931,704747,3887864,1599456,414,87964,364,18156,2007,55836
8019.18,759331,705142,3887864,1599756,414,87964,364,18156,2008,55836
9020.2,759733,705531,3887864,1599780,414,87964,364,18156,2008,55836
10024.09,760135,705910,3887864,1598524,414,87964,365,18156,2008,55836
11025.83,760518,706200,3887864,1598300,414,87964,365,18156,2047,55840
12027.36,760910,706491,3887864,1598300,415,87964,366,18156,2080,55852
13028.56,761308,706798,3887864,1598780,415,87964,366,18156,2082,55852
14029.94,761706,707103,3887864,1599432,416,87964,366,18156,2084,55852
15031.15,762103,707399,3887864,1597112,416,87964,366,18156,2086,55864
16032.32,762510,707710,3887864,1599528,416,87964,366,18156,2087,55864
17034.37,762910,708018,3887864,1599572,416,87964,366,18156,2089,55864
18035.79,763304,708330,3887864,1598416,416,87964,366,18156,2091,55864
19037.23,763696,708632,3887864,1598416,416,87964,367,18156,2091,55864
20052.76,764105,708947,3887864,1598668,416,87964,367,18156,2091,55864
21054.4,764496,709246,3887864,1597412,416,87964,368,18156,2092,55864
22055.57,764887,709559,3887864,1597160,416,87964,368,18156,2093,55864
23056.82,765284,709869,3887864,1597416,416,87964,368,18156,2093,55864
24058.18,765673,710184,3887864,1594680,416,87964,368,18156,2094,55864
25060.77,766061,710474,3887864,1586676,416,87964,369,18156,2096,55864
26062.28,766452,710773,3887864,1593192,416,87964,369,18156,2097,55864
27063.73,766851,711090,3887864,1589964,416,87964,369,18156,2097,55864
28065.13,767252,711395,3887864,1589740,416,87964,369,18156,2098,55864
29066.82,767647,711690,3887864,1589744,417,87964,369,18156,2098,55864
30068.01,768045,712003,3887864,1589492,417,87964,369,18156,2100,55864
31069.22,768437,712300,3887864,1589492,417,87964,369,18156,2101,55864
32070.8,768835,712612,3887864,1588820,417,87964,369,18156,2102,55868
33072.2,769226,712921,3887864,1588504,418,87964,369,18156,2102,55868
34073.54,769618,713232,3887864,1588504,418,87964,369,18156,2103,55868
35075.63,770015,713546,3887864,1586992,418,87964,369,18156,2105,55868
36077.05,770412,713837,3887864,1581716,418,87964,371,18156,2106,55868
37078.23,770810,714148,3887864,1581464,418,87964,371,18156,2106,55868
38083.99,771209,714477,3887864,1579956,418,87964,371,18156,2109,55868
39085.47,771609,714794,3887864,1580488,419,87964,371,18156,2109,55868
40086.91,772005,715093,3887864,1580200,419,87964,371,18156,2110,55868
41088.86,772405,715429,3887864,1579484,419,87964,372,18156,2121,55872
42090.07,772802,715796,3887864,1579924,419,87964,374,18160,2136,55880
43091.26,773198,716189,3887864,1579708,419,87964,374,18164,2138,55880
44093.81,773598,716577,3887864,1579936,419,87964,374,18164,2139,55880
45096.45,773998,716959,3887864,1580788,419,87964,374,18164,2144,55584
46097.6,774395,717328,3887864,1582632,420,87964,374,18164,2145,55584
47098.61,774793,717724,3887864,1585088,420,87964,374,18164,2146,55584
48099.58,775195,718117,3887864,1583832,420,87964,375,18164,2146,55584
49100.6,775591,718499,3887864,1583832,420,87964,376,18164,2147,55584
50101.59,775990,718896,3887864,1583832,420,87964,376,18164,2147,55584
51104.05,776383,719250,3887864,1594648,420,87964,377,18164,2158,55684
