time,total,idle,mem_total,mem_free,2163/cpu,2163/rss,2216/cpu,2216/rss,2234/cpu,2234/rss,2255/cpu,2255/rss,2285/cpu,2285/rss,2286/cpu,2286/rss
1012.81,844355,775487,3887864,1432188,4010,112828,7681,85040,20970,346676,68,80796,1060,64940,4217,115204
2016.57,844751,775861,3887864,1432056,4011,112828,7684,85040,20976,346676,68,80796,1061,64940,4219,115204
3020.24,845147,776238,3887864,1432792,4011,112828,7686,85040,20980,346676,68,80796,1062,64940,4221,115204
4023.85,845540,776615,3887864,1433084,4012,112828,7689,85040,20988,346676,68,80796,1063,64940,4224,115204
5028.0,845939,776991,3887864,1433500,4013,112828,7692,85040,20996,346676,68,80796,1063,64940,4226,115204
6031.51,846331,777338,3887864,1433968,4015,112828,7703,85040,21019,346676,68,80796,1063,64940,4229,115204
7033.27,846725,777708,3887864,1434924,4015,112828,7703,85040,21021,346676,68,80796,1064,64940,4231,115204
8034.85,847128,778088,3887864,1434924,4015,112828,7707,85040,21030,346676,68,80796,1065,64940,4232,115204
9036.55,847524,778469,3887864,1435176,4015,112828,7709,85040,21038,346676,68,80796,1065,64940,4233,115204
10038.68,847923,778849,3887864,1430648,4016,112828,7712,85040,21045,346676,68,80796,1065,64940,4234,115204
11040.76,848309,779112,3887864,1431640,4016,112828,7728,85040,21102,346684,68,80796,1066,64940,4239,115208
12045.33,848700,779472,3887864,1431640,4017,112828,7733,85040,21116,346684,68,80796,1066,64940,4248,115208
13048.35,849099,779822,3887864,1431640,4020,112828,7734,85040,21120,346684,68,80796,1066,64940,4252,115208
14049.98,849488,780127,3887864,1431640,4021,112828,7749,85056,21164,346688,68,80796,1066,64940,4255,115208
15051.67,849885,780485,3887864,1431640,4021,112828,7751,85056,21169,346688,68,80796,1067,64940,4257,115208
16053.31,850277,780840,3887864,1431640,4022,112828,7755,85056,21176,346688,68,80796,1067,64940,4258,115208
17056.14,850667,781112,3887864,1433704,4022,112828,7764,85060,21241,346728,68,80796,1067,64940,4260,115208
18060.31,851058,781483,3887864,1433704,4023,112828,7768,85060,21253,346728,68,80796,1068,64940,4263,115208
19064.25,851457,781866,3887864,1434448,4023,112828,7770,85060,21255,346728,68,80796,1069,64940,4264,115208
20066.06,851849,782217,3887864,1434532,4024,112828,7778,85064,21281,346728,68,80796,1069,64940,4267,115208
21067.69,852248,782601,3887864,1434580,4025,112828,7780,85064,21287,346792,68,80796,1069,64940,4268,115208
22069.37,852643,782986,3887864,1434580,4025,112828,7783,85064,21294,346792,68,80796,1070,64940,4270,115208
23071.0,853040,783358,3887864,1435060,4026,112828,7786,85064,21305,346792,68,80796,1070,64940,4270,115208
24072.61,853438,783745,3887864,1435312,4027,112828,7788,85064,21311,346796,68,80796,1070,64940,4271,115208
25076.67,853830,784119,3887864,1435428,4028,112828,7792,85064,21323,346796,68,80796,1070,64940,4274,115208
26082.77,854222,784477,3887864,1435744,4029,112828,7801,85064,21336,346796,68,80796,1071,64940,4276,115208
27084.6,854621,784839,3887864,1435444,4029,112828,7802,85064,21337,346796,68,80796,1071,64940,4277,115208
