time,total,idle,mem_total,mem_free,42939/cpu,42939/rss,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,43714/cpu,43714/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
1004.7,4247578,4171635,16370460,10520316,48,17664,2101,109788,12997,70492,20333,377944,137,55004,1128,65376,7332,123176
2009.18,4248175,4172227,16370460,10520316,48,17664,2101,109788,12997,70492,20336,377944,137,55004,1129,65376,7333,123176
3013.29,4248773,4172812,16370460,10514520,48,17664,2101,109788,12999,70492,20339,377944,137,55004,1129,65376,7334,123176
4017.74,4249372,4173397,16370460,10527024,48,17664,2102,109788,13002,70492,20344,377944,139,55004,1129,65376,7335,123176
5022.73,4249970,4173988,16370460,10526772,48,17664,2102,109788,13005,69112,20348,377944,140,55004,1129,65376,7336,123176
6026.43,4250568,4174581,16370460,10526772,48,17664,2102,109788,13007,69112,20349,377944,140,55004,1129,65376,7337,123176
7030.09,4251166,4175175,16370460,10526772,48,17664,2102,109788,13007,69112,20352,377944,140,55004,1129,65376,7338,123176
8036.82,4251764,4175766,16370460,10526772,48,17664,2102,109788,13009,69112,20355,377944,140,55004,1129,65376,7339,123176
9040.73,4252364,4176359,16370460,10526772,48,17664,2102,109788,13011,69112,20357,377944,140,55004,1129,65376,7340,123176
10044.04,4252961,4176943,16370460,10512436,48,17664,2102,109788,13011,69112,20360,377944,140,55004,1129,65376,7341,123176
11046.09,4253552,4177408,16370460,10526980,48,17664,2102,109788,13020,67032,20372,377944,143,55004,1130,65376,7343,123176
12048.53,4254146,4177888,16370460,10522208,48,17664,2104,109788,13024,67032,20388,379096,145,55004,1130,65376,7344,123176
13054.86,4254745,4178473,16370460,10521968,48,17664,2104,109788,13026,67032,20393,379224,145,55004,1130,65376,7345,123176
14056.82,4255343,4179063,16370460,10520456,50,16780,2104,109788,13027,67032,20395,379224,145,55004,1130,65376,7345,123176
15061.87,4255944,4179658,16370460,10520456,50,16780,2104,109788,13028,67032,20396,379224,145,55004,1130,65376,7347,123176
16066.63,4256544,4180254,16370460,10520456,50,16780,2104,109788,13029,67032,20398,379352,146,55004,1130,65376,7348,123176
17071.5,4257140,4180845,16370460,10520456,50,16780,2105,109788,13030,67032,20401,379352,146,55004,1130,65376,7349,123176
18076.58,4257739,4181434,16370460,10519448,50,16780,2105,109788,13035,68696,20405,379352,146,55004,1130,65376,7350,123176
19081.55,4258337,4182017,16370460,10519448,50,16780,2105,109788,13040,68696,20410,379736,148,55004,1130,65376,7351,123176
20086.06,4258936,4182606,16370460,10519196,50,16780,2105,109788,13042,68696,20413,379736,148,55004,1131,65376,7352,123176
21091.42,4259536,4183198,16370460,10519196,50,16780,2105,109788,13043,68696,20416,379736,149,55004,1131,65376,7353,123176
22095.22,4260135,4183790,16370460,10519196,50,16780,2105,109788,13044,68696,20417,379736,149,55004,1131,65376,7354,123176
