time,sent,received,total
3.38,292668.12,1339021.31,1593.45
1005.07,292670.25,1339022.65,1593.45
2011.33,292673.67,1339025.11,1593.46
3016.4,292676.88,1339027.42,1593.46
4020.76,292680.36,1339029.8,1593.47
5025.88,292683.84,1339032.38,1593.47
6031.74,292686.87,1339034.63,1593.48
7036.98,292689.94,1339036.95,1593.48
8043.43,292693.11,1339039.33,1593.49
9050.3,292696.23,1339041.58,1593.49
10053.63,292706.63,1339056.72,1593.52
11055.17,292717.6,1342539.46,1596.93
12059.8,292722.3,1342542.94,1596.94
13063.2,292725.18,1342545.11,1596.94
14067.8,292728.5,1342547.5,1596.95
15072.03,292731.98,1342550.08,1596.96
16077.04,292735.12,1342552.46,1596.96
17081.3,292738.37,1342554.98,1596.97
18084.69,292741.7,1342557.23,1596.97
19089.88,292745.05,1342559.68,1596.98
20094.59,292748.15,1342562.13,1596.98
21099.01,292751.58,1342564.52,1596.99
22103.88,292754.79,1342566.83,1596.99
