time,total,idle,mem_total,mem_free,42939/cpu,42939/rss,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,43714/cpu,43714/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
1005.74,4418229,4338221,16370460,10403344,79,17216,2179,109788,13517,65528,21300,382936,258,55352,1171,65228,7638,123176
2009.69,4418827,4338808,16370460,10403344,80,17216,2179,109788,13521,65528,21305,382936,258,55352,1171,65228,7640,123176
3014.68,4419425,4339390,16370460,10403344,81,17216,2179,109788,13525,65232,21311,382936,259,55352,1171,65228,7640,123176
4019.81,4420024,4339979,16370460,10412052,81,17216,2180,109788,13525,65232,21314,382936,260,55352,1171,65228,7642,123176
5022.51,4420622,4340567,16370460,10412052,81,17216,2180,109788,13527,65232,21317,382936,260,55352,1171,65228,7643,123176
6026.37,4421219,4341158,16370460,10412052,81,17216,2180,109788,13528,65232,21319,382936,261,55352,1171,65228,7644,123176
7030.33,4421818,4341746,16370460,10412052,81,17216,2180,109788,13530,65232,21322,382936,261,55352,1172,65228,7644,123176
8033.14,4422417,4342338,16370460,10411056,81,17216,2180,109788,13532,65232,21323,382936,261,55352,1172,65228,7646,123176
9037.41,4423016,4342929,16370460,10411056,81,17216,2180,109788,13532,65232,21326,382936,261,55352,1172,65228,7647,123176
10040.54,4423616,4343519,16370460,10398708,81,17216,2180,109788,13534,65232,21327,382936,261,55352,1172,65228,7648,123176
11043.74,4424210,4343987,16370460,10410664,81,17216,2180,109788,13544,63472,21341,382936,264,55352,1172,65228,7649,123176
12047.0,4424810,4344570,16370460,10408900,81,17216,2181,109788,13547,63472,21346,382936,266,55352,1173,65228,7650,123176
13051.2,4425410,4345164,16370460,10408900,81,17216,2182,109788,13548,63472,21349,382936,266,55352,1173,65228,7652,123176
14055.69,4426008,4345750,16370460,10408904,81,17216,2182,109788,13550,64880,21353,382936,266,55480,1173,65228,7653,123176
15060.84,4426606,4346339,16370460,10408680,81,17216,2182,109788,13550,64880,21355,382936,266,55480,1173,65228,7654,123176
16067.23,4427206,4346930,16370460,10408680,81,17216,2182,109788,13551,64880,21357,382936,266,55480,1173,65228,7654,123176
17072.24,4427807,4347514,16370460,10408680,81,17216,2183,109788,13556,64880,21362,382936,268,55480,1173,65228,7656,123176
18076.83,4428406,4348105,16370460,10408680,82,17216,2183,109788,13557,64880,21367,382936,268,55480,1174,65228,7656,123176
19083.34,4429004,4348697,16370460,10404652,82,17216,2183,109788,13560,66800,21369,382936,268,55480,1174,65228,7658,123176
20088.44,4429603,4349290,16370460,10404652,82,17216,2183,109788,13561,66800,21372,382936,269,55480,1174,65228,7658,123176
21091.5,4430203,4349882,16370460,10404652,82,17216,2185,109788,13562,66800,21375,382936,269,55480,1174,65228,7660,123176
22096.31,4430802,4350476,16370460,10404652,82,17216,2185,109788,13564,66800,21377,382936,269,55480,1174,65228,7660,123176
