time,sent,received,total
2.13,188891.36,545182.16,716.87
1003.4,188892.42,545183.22,716.87
2004.75,188892.74,545183.46,716.87
3005.42,188893.15,545183.62,716.87
4006.07,188893.63,545183.73,716.87
5006.72,188893.63,545183.79,716.87
6007.5,188894.02,545185.24,716.87
7008.61,188894.7,545192.58,716.88
8009.93,188894.7,545192.63,716.88
9011.15,188894.7,545192.69,716.88
10012.77,188894.92,545192.8,716.88
11014.68,188921.14,545218.45,716.93
12015.44,188965.26,545261.11,717.02
13017.6,189012.54,545306.99,717.11
14018.34,189057.38,545350.07,717.19
15019.63,189102.94,545394.18,717.28
16020.36,189133.88,546798.53,718.68
17021.05,189161.78,547226.84,719.13
18021.73,189191.47,547254.36,719.18
19022.46,189226.34,547288.11,719.25
20023.18,189228.3,547289.67,719.25
21023.95,189273.34,548251.27,720.24
22024.68,189321.64,549166.33,721.18
23025.45,189365.08,549218.15,721.27
24026.27,189406.5,549269.52,721.36
25027.03,189442.93,549304.44,721.43
26028.18,189480.86,549341.2,721.51
27029.04,189486.77,549346.88,721.52
28029.73,189486.77,549346.94,721.52
29030.41,189486.77,549347.0,721.52
30031.1,189487.09,549347.19,721.52
31031.76,189488.18,549348.1,721.52
32032.94,189488.75,549348.31,721.52
33033.79,189489.28,549348.6,721.52
34034.48,189489.28,549348.66,721.52
35035.15,189489.5,549348.77,721.52
36035.86,189490.12,549350.58,721.52
37036.55,189491.74,549358.21,721.53
