time,total,idle,mem_total,mem_free,1704/cpu,1704/rss,36856/cpu,36856/rss,37875/cpu,37875/rss
1003.36,2231389,2036906,3887864,408248,106062,764244,850,54748,123,16792
2005.87,2231786,2037294,3887864,408540,106071,764244,850,54748,124,16792
3008.21,2232180,2037664,3887864,408540,106089,764244,851,54748,124,16792
4010.5,2232571,2038030,3887864,408036,106112,764244,853,54748,125,16792
5013.04,2232966,2038347,3887864,407812,106157,764288,861,54752,126,16792
6014.26,2233367,2038639,3887864,407812,106253,764360,867,54756,127,16792
7015.38,2233758,2038991,3887864,406128,106269,764388,869,54756,127,16792
8016.82,2234150,2039354,3887864,406420,106293,762732,874,54756,129,16796
9018.02,2234544,2039732,3887864,406568,106305,762764,875,54756,129,16796
10020.46,2234939,2040119,3887864,403944,106314,764464,875,54756,129,16796
11022.09,2235324,2040361,3887864,396884,106376,762436,887,54760,129,16796
12024.84,2235718,2040649,3887864,397836,106389,762448,889,54760,129,16796
13026.3,2236116,2040937,3887864,398896,106403,762492,889,54760,129,16796
14027.91,2236518,2041228,3887864,400124,106414,762576,890,54760,129,16796
15029.57,2236915,2041514,3887864,401296,106428,762584,890,54760,129,16796
16033.03,2237309,2041805,3887864,400468,106444,762612,892,54760,130,16796
17034.47,2237703,2042081,3887864,395356,106458,762768,892,54760,130,16796
18035.87,2238100,2042399,3887864,402748,106471,762808,892,54760,130,16796
19037.22,2238504,2042684,3887864,402524,106493,762580,894,54764,130,16796
20038.38,2238907,2042980,3887864,402524,106500,762572,894,54764,130,16796
21039.44,2239295,2043260,3887864,400808,106529,762628,899,54776,131,16808
22040.48,2239693,2043635,3887864,400808,106544,762636,901,54776,132,16808
23041.5,2240092,2044024,3887864,400836,106552,762636,901,54776,132,16808
24042.5,2240488,2044417,3887864,401344,106556,762636,901,54776,132,16808
25043.6,2240888,2044803,3887864,401596,106564,762632,901,54776,132,16808
26046.15,2241281,2045185,3887864,401348,106573,762636,901,54776,132,16808
27049.26,2241673,2045566,3887864,401680,106583,762636,901,54776,132,16808
28050.52,2242070,2045933,3887864,403060,106594,762636,901,54776,133,16808
29051.64,2242466,2046317,3887864,402568,106602,762636,901,54776,133,16808
30052.9,2242867,2046708,3887864,402896,106609,762636,901,54776,133,16808
31054.24,2243265,2047096,3887864,403316,106615,762636,901,54776,133,16812
