time,total,idle,mem_total,mem_free,1657/cpu,1657/rss
1007.72,2232793,2144636,3887864,1553968,23673,183068
2009.54,2233192,2145021,3887864,1553900,23682,183068
3011.13,2233589,2145400,3887864,1553864,23687,183068
4012.69,2233986,2145792,3887864,1553904,23690,183068
5013.48,2234379,2146155,3887864,1554024,23693,183068
6015.47,2234778,2146552,3887864,1554024,23694,183068
7016.15,2235177,2146946,3887864,1554024,23697,183068
8016.78,2235576,2147344,3887864,1554528,23698,183068
9017.43,2235976,2147742,3887864,1554780,23699,183068
10018.94,2236376,2148140,3887864,1555016,23700,183068
11023.17,2236772,2148530,3887864,1555996,23702,183068
12024.49,2237163,2148905,3887864,1554928,23707,183068
13025.86,2237558,2149288,3887864,1555096,23708,183068
14027.28,2237956,2149670,3887864,1555120,23711,183068
15028.19,2238351,2150023,3887864,1554348,23714,183068
16028.85,2238748,2150414,3887864,1555680,23716,183068
17029.48,2239146,2150806,3887864,1555820,23717,183068
18030.16,2239544,2151202,3887864,1556608,23719,183068
19030.85,2239940,2151592,3887864,1556604,23719,183068
20032.17,2240337,2151982,3887864,1556820,23720,183068
21033.72,2240729,2152364,3887864,1557260,23723,183068
22034.88,2241124,2152732,3887864,1556420,23740,183716
23036.4,2241521,2153126,3887864,1556436,23742,183716
24037.77,2241919,2153518,3887864,1554956,23746,183716
25039.17,2242316,2153903,3887864,1553512,23749,183716
26040.01,2242714,2154279,3887864,1552972,23751,183716
27040.68,2243114,2154678,3887864,1552972,23752,183716
28041.34,2243514,2155076,3887864,1553728,23752,183716
29041.97,2243914,2155474,3887864,1553236,23754,183716
30042.6,2244311,2155871,3887864,1553364,23755,183716
31044.08,2244709,2156267,3887864,1554372,23757,183716
32045.64,2245103,2156649,3887864,1553636,23765,183716
