time,sent,received,total
1.58,192835.94,567086.03,742.11
1002.39,192836.15,567086.24,742.11
2003.09,192837.08,567093.84,742.12
3003.8,192837.19,567095.11,742.12
4004.78,192837.37,567095.22,742.12
5005.88,192837.57,567095.33,742.12
6006.64,192837.96,567096.83,742.12
7007.32,192838.05,567097.01,742.12
8007.99,192839.0,567097.88,742.12
9008.67,192839.11,567098.03,742.13
10009.45,192839.11,567098.09,742.13
11011.08,192878.5,567507.39,742.56
12011.8,192914.2,567541.43,742.63
13012.49,192919.09,567546.2,742.64
14013.16,192929.36,567555.76,742.66
15013.92,192947.64,567556.54,742.68
16014.78,192947.89,567556.7,742.68
17016.38,192948.77,567565.46,742.69
18017.66,192948.77,567565.52,742.69
19018.6,192949.94,567566.37,742.69
20019.52,192950.26,567566.61,742.69
21020.71,192950.56,567568.05,742.69
22021.98,192950.95,567568.6,742.69
23023.3,192950.95,567568.66,742.69
24024.43,192951.06,567568.82,742.69
