time,total,idle,mem_total,mem_free,1704/cpu,1704/rss,36856/cpu,36856/rss,37875/cpu,37875/rss
1003.36,2314815,2111417,3887864,316292,110030,763028,1200,55112,186,17492
2004.46,2315210,2111797,3887864,315544,110043,763032,1201,55112,186,17492
3005.5,2315612,2112188,3887864,313556,110051,764688,1202,55112,186,17492
4007.35,2316007,2112567,3887864,313548,110061,764696,1203,55112,186,17492
5009.35,2316401,2112929,3887864,313820,110085,764700,1206,55112,187,17492
6010.56,2316798,2113294,3887864,313820,110100,764700,1206,55112,187,17492
7011.56,2317194,2113686,3887864,313892,110104,764700,1206,55112,187,17492
8012.56,2317592,2114076,3887864,314172,110110,764688,1206,55112,187,17492
9013.58,2317990,2114457,3887864,313924,110118,764684,1206,55112,187,17492
10014.96,2318390,2114845,3887864,313620,110124,764688,1206,55112,187,17492
11018.42,2318775,2115041,3887864,313112,110193,762948,1219,55136,187,17492
12020.15,2319171,2115334,3887864,312840,110210,762948,1221,55136,187,17496
13021.25,2319570,2115667,3887864,312600,110220,762948,1221,55136,187,17496
14022.29,2319964,2116008,3887864,312600,110244,762948,1226,55144,188,17500
15023.32,2320364,2116393,3887864,312600,110255,762948,1226,55144,188,17500
16025.15,2320759,2116773,3887864,312600,110268,762948,1227,55144,188,17500
17029.35,2321154,2117137,3887864,312600,110290,762944,1233,55148,188,17512
18031.65,2321552,2117511,3887864,312360,110306,762960,1233,55148,189,17512
19033.15,2321947,2117874,3887864,312552,110327,763016,1236,55148,189,17512
20034.92,2322339,2118234,3887864,312848,110353,763104,1238,55148,189,17520
21037.14,2322735,2118593,3887864,311224,110369,764744,1238,55148,189,17520
22039.69,2323127,2118950,3887864,313888,110384,764748,1238,55148,190,17520
23042.34,2323524,2119335,3887864,313888,110395,764748,1239,55148,190,17520
24044.59,2323919,2119705,3887864,313892,110409,764748,1239,55148,190,17520
