time,total,idle,mem_total,mem_free,1657/cpu,1657/rss
1003.13,2345948,2254015,3887864,1391248,24487,182400
2005.37,2346348,2254412,3887864,1391500,24488,182400
3007.03,2346747,2254807,3887864,1391500,24491,182400
4008.56,2347143,2255202,3887864,1391308,24493,182400
5009.99,2347545,2255590,3887864,1388568,24496,182400
6014.73,2347946,2255987,3887864,1388564,24498,182400
7015.99,2348345,2256369,3887864,1384072,24504,182404
8016.77,2348744,2256746,3887864,1384464,24507,182404
9017.41,2349141,2257139,3887864,1384212,24509,182404
10018.13,2349541,2257536,3887864,1384220,24511,182404
11018.85,2349938,2257928,3887864,1384792,24512,182404
12019.58,2350337,2258325,3887864,1385296,24513,182404
13020.67,2350732,2258712,3887864,1385548,24515,182404
14021.46,2351125,2259062,3887864,1385452,24517,182404
15022.25,2351522,2259397,3887864,1385756,24519,182404
16022.97,2351920,2259737,3887864,1385116,24520,182404
17023.63,2352319,2260132,3887864,1385404,24522,182404
18024.27,2352717,2260514,3887864,1384364,24523,182404
19025.51,2353114,2260896,3887864,1383360,24529,182404
20026.93,2353515,2261288,3887864,1383360,24530,182404
21028.33,2353912,2261673,3887864,1383612,24535,182404
22029.71,2354310,2262068,3887864,1383864,24536,182404
23031.17,2354706,2262456,3887864,1384216,24541,183052
24032.67,2355105,2262852,3887864,1383732,24543,183052
25034.07,2355504,2263245,3887864,1384204,24546,183052
26035.82,2355902,2263634,3887864,1385320,24549,183052
27037.48,2356300,2264028,3887864,1386040,24553,183052
28038.37,2356697,2264400,3887864,1385228,24555,183052
