time,sent,received,total
3.74,83468.99,518776.14,588.13
1006.99,83476.7,518777.05,588.14
2009.05,83476.81,518777.21,588.14
3010.35,83476.81,518777.27,588.14
4011.29,83479.18,518778.27,588.14
5011.98,83479.46,518778.8,588.14
6012.56,83479.46,518778.99,588.14
7013.19,83479.72,518779.05,588.14
8013.81,83479.72,518779.11,588.14
9014.42,83479.72,518779.17,588.14
10015.47,83479.94,518779.48,588.14
11016.43,83509.38,519177.36,588.56
12017.14,83545.26,519207.05,588.62
13017.79,83553.27,519213.62,588.64
14018.49,83568.63,519600.18,589.03
15019.24,83601.71,519626.38,589.09
16019.92,83655.69,519664.93,589.18
17020.99,83661.8,519670.29,589.19
18022.27,83662.13,519670.71,589.19
19023.21,83663.89,519671.1,589.19
20024.32,83665.32,519689.5,589.21
21025.52,83665.39,519689.7,589.21
22026.79,83665.71,519689.98,589.21
23028.1,83665.78,519690.24,589.21
24028.85,83666.92,519691.62,589.22
25029.5,83667.14,519691.9,589.22
26030.14,83667.21,519692.13,589.22
27030.77,83667.68,519692.86,589.22
