time,total,idle,mem_total,mem_free,11145/cpu,11145/rss,62719/cpu,62719/rss,62820/cpu,62820/rss
1003.37,5047759,4951110,16370456,10003196,52203,764836,208,17148,555,55916
2008.43,5048361,4951703,16370456,10003196,52209,764836,208,17148,555,55916
3012.49,5048958,4952290,16370456,10003448,52214,764836,208,17148,555,55916
4016.51,5049559,4952880,16370456,10003196,52222,764836,208,17148,557,55916
5021.86,5050156,4953467,16370456,10010504,52227,764836,208,17148,557,55916
6026.42,5050755,4954062,16370456,10010504,52231,764836,208,17148,557,55916
7029.89,5051354,4954654,16370456,10010504,52237,764836,208,17148,557,55916
8034.74,5051954,4955250,16370456,10010504,52240,764836,208,17148,557,55916
9039.27,5052558,4955845,16370456,10010504,52245,764836,208,17148,557,55916
10043.83,5053157,4956435,16370456,10004960,52249,764836,208,17148,557,55916
11046.78,5053754,4956911,16370456,9996784,52269,764332,208,17148,561,56044
12053.22,5054352,4957407,16370456,9953912,52277,764332,208,17148,562,56044
13057.29,5054950,4957995,16370456,9953912,52285,764332,208,17148,563,56044
14060.84,5055549,4958589,16370456,9953688,52289,764332,208,17148,563,56044
15064.17,5056148,4959178,16370456,9959228,52293,764332,208,17148,563,56044
16069.4,5056747,4959772,16370456,9959228,52298,764332,209,17148,563,56044
17072.03,5057347,4960366,16370456,9959228,52303,764332,209,17148,563,56044
18076.72,5057946,4960957,16370456,9959228,52311,765996,209,17148,564,56044
19082.17,5058545,4961549,16370456,9959228,52317,765996,209,17148,564,56044
20087.26,5059147,4962144,16370456,9959228,52322,765996,209,17148,565,56044
21091.01,5059748,4962739,16370456,9959228,52327,765996,209,17148,566,56044
22094.58,5060347,4963331,16370456,9959228,52332,765996,209,17148,566,56044
