time,total,idle,mem_total,mem_free,11145/cpu,11145/rss,62719/cpu,62719/rss,62820/cpu,62820/rss
1004.68,5278239,5176541,16370456,9891256,54702,766140,249,17412,714,56336
2009.46,5278838,5177135,16370456,9891004,54706,766140,249,17412,714,56336
3015.66,5279439,5177729,16370456,9891004,54712,766140,249,17412,714,56336
4021.88,5280041,5178322,16370456,9891004,54718,766396,250,17412,714,56336
5027.31,5280642,5178915,16370456,9896064,54723,766524,250,17412,715,56336
6033.66,5281245,5179509,16370456,9895840,54729,766524,250,17412,715,56336
7038.56,5281845,5180100,16370456,9900172,54734,766524,251,17412,715,56336
8043.26,5282442,5180687,16370456,9896964,54740,766524,251,17412,715,56336
9049.07,5283044,5181279,16370456,9896500,54747,766524,251,17412,715,56336
10052.97,5283643,5181866,16370456,9875080,54752,766652,251,17412,716,56336
11055.56,5284243,5182340,16370456,9888252,54773,764712,251,17412,719,56464
12061.79,5284845,5182928,16370456,9888000,54780,764840,251,17412,721,56464
13066.87,5285445,5183522,16370456,9889228,54785,764840,251,17412,721,56464
14072.46,5286045,5184113,16370456,9890608,54792,764968,251,17412,721,56464
15076.28,5286643,5184706,16370456,9891124,54797,764968,251,17412,721,56464
16081.56,5287245,5185298,16370456,9890856,54803,765480,251,17412,721,56464
17085.02,5287845,5185891,16370456,9890856,54808,765480,251,17412,722,56464
18091.16,5288446,5186484,16370456,9889820,54812,765480,251,17412,722,56464
19095.94,5289044,5187077,16370456,9889124,54817,765480,251,17412,722,56464
20099.31,5289644,5187669,16370456,9889260,54823,765608,251,17412,722,56464
21102.86,5290244,5188259,16370456,9889260,54830,765736,252,17412,723,56592
22107.01,5290842,5188852,16370456,9889260,54836,765736,252,17412,724,56592
