time,sent,received,total
3.86,42440.85,1004765.23,1022.66
1006.27,42442.98,1004766.83,1022.67
2010.26,42446.32,1004769.21,1022.67
3014.83,42449.71,1004771.6,1022.68
4019.39,42452.83,1004773.91,1022.68
5023.31,42456.28,1004776.3,1022.69
6028.29,42459.62,1004778.69,1022.69
7031.41,42462.74,1004781.07,1022.7
8037.33,42466.09,1004783.46,1022.7
9040.63,42469.47,1004785.85,1022.71
10044.66,42473.29,1004788.5,1022.72
11049.85,42487.7,1005172.28,1023.1
12053.78,42491.04,1005174.67,1023.11
13058.22,42494.35,1005177.06,1023.12
14062.99,42497.53,1005179.3,1023.12
15066.75,42500.94,1005181.69,1023.13
16069.78,42504.39,1005184.14,1023.13
17072.91,42507.59,1005186.39,1023.14
18076.81,42510.97,1005188.78,1023.14
19080.64,42514.29,1005191.16,1023.15
20083.87,42517.26,1005193.27,1023.15
21087.04,42520.71,1005195.66,1023.16
