time,sent,received,total
1.96,4777.27,2354.64,6.96
1002.71,4783.33,2358.96,6.97
2003.46,4783.33,2359.22,6.97
3004.15,4783.33,2359.28,6.97
4004.77,4788.72,2361.54,6.98
5007.37,4789.35,2362.11,6.98
6008.52,4790.71,2362.91,6.99
7009.5,4795.16,2363.82,6.99
8010.54,4795.16,2363.88,6.99
9011.67,4795.54,2364.27,6.99
10012.93,4796.71,2365.0,6.99
11013.93,4799.63,2366.22,7.0
12014.73,4811.45,2369.15,7.01
13015.36,4812.65,2370.13,7.01
14015.98,4816.75,2370.61,7.02
15016.59,4819.46,2373.11,7.02
16017.59,4822.11,2376.2,7.03
17018.43,4827.77,2378.4,7.04
18019.1,4831.65,2378.75,7.04
19019.74,4831.65,2380.43,7.04
20020.52,4833.11,2384.25,7.05
21021.16,4834.44,2384.8,7.05
22022.11,4837.74,2386.64,7.05
23023.23,4838.11,2386.83,7.05
24026.08,4838.11,2386.89,7.06
25027.14,4843.44,2388.95,7.06
26028.15,4844.77,2389.5,7.06
