time,sent,received,total
4.43,1508.13,6839.05,8.15
1005.64,1509.9,6841.34,8.16
2006.81,1509.9,6841.6,8.16
3007.56,1509.9,6841.66,8.16
4008.14,1511.97,6847.2,8.16
5008.73,1512.58,6847.68,8.16
6009.33,1513.61,6849.02,8.17
7009.93,1514.55,6853.44,8.17
8010.88,1514.55,6853.5,8.17
9012.01,1514.92,6853.89,8.17
10013.23,1516.09,6854.62,8.17
11014.42,1516.67,6856.35,8.18
12015.22,1543.28,8664.43,9.97
13015.88,1544.31,8669.33,9.97
14016.51,1544.72,8673.43,9.98
15017.2,1546.44,8674.67,9.98
16017.81,1549.07,8675.87,9.98
17018.8,1551.42,8681.2,9.99
18020.0,1553.4,8684.96,10.0
19021.22,1553.4,8685.01,10.0
20022.37,1558.09,8687.18,10.0
21023.52,1558.67,8688.35,10.01
22024.67,1560.53,8691.61,10.01
23025.74,1560.9,8691.8,10.01
24026.42,1560.9,8691.86,10.01
25027.02,1562.97,8697.14,10.02
26027.62,1563.55,8698.27,10.02
27028.21,1565.98,8700.46,10.03
