time,total,idle,mem_total,mem_free,2228/cpu,2228/rss,3699/cpu,3699/rss
1008.61,370412,357139,3887864,2573796,37,2820,1447,94724
2010.85,370812,357532,3887864,2574048,37,2820,1452,94724
3011.74,371209,357906,3887864,2572168,37,2820,1454,94724
4012.49,371610,358305,3887864,2572420,37,2820,1454,94724
5013.36,372007,358697,3887864,2574920,37,2820,1457,94728
6014.26,372406,359093,3887864,2574668,37,2820,1460,94728
7015.07,372804,359485,3887864,2574420,37,2820,1464,94728
8016.89,373202,359882,3887864,2574924,37,2820,1464,94728
9018.68,373602,360277,3887864,2574672,37,2820,1468,94728
10020.62,374002,360673,3887864,2574924,37,2820,1469,94728
11022.44,374397,361055,3887864,2575040,37,2820,1472,94732
12023.68,374800,361396,3887864,2574988,37,2820,1473,94732
13024.77,375200,361725,3887864,2572992,37,2820,1478,94732
14026.03,375601,362073,3887864,2572740,38,2820,1478,94732
15030.77,376006,362417,3887864,2572740,38,2820,1482,94732
16031.83,376404,362769,3887864,2572740,38,2820,1484,94732
17033.04,376808,363111,3887864,2574380,38,2820,1486,94732
18034.3,377211,363459,3887864,2575132,38,2820,1486,94732
19035.44,377614,363806,3887864,2575132,38,2820,1488,94732
20036.61,378018,364154,3887864,2575336,38,2820,1489,94732
21037.46,378418,364530,3887864,2573572,38,2820,1490,94736
22039.14,378817,364925,3887864,2573572,38,2820,1492,94736
