time,total,idle,mem_total,mem_free,1980/cpu,1980/rss,1983/cpu,1983/rss,2001/cpu,2001/rss,2015/cpu,2015/rss,2760/cpu,2760/rss,2781/cpu,2781/rss,3796/cpu,3796/rss,3986/cpu,3986/rss
1008.31,432767,388698,3887864,1575096,5391,73048,2601,70772,12562,409392,3122,116428,513,89208,121,41892,95,14680,455,53644
2011.42,433157,389045,3887864,1575348,5397,73048,2606,70772,12572,409392,3125,116432,514,89208,121,41892,95,14680,455,53644
3014.54,433554,389395,3887864,1575348,5402,73048,2609,70772,12583,409396,3127,116432,515,89208,121,41892,95,14680,456,53644
4017.43,433946,389745,3887864,1575348,5409,73048,2611,70772,12594,409396,3129,116432,515,89208,121,41892,95,14680,456,53644
5020.65,434338,390098,3887864,1575348,5414,73048,2614,70772,12606,409396,3133,116432,516,89208,121,41892,96,14680,458,53652
6024.39,434729,390446,3887864,1575100,5420,73048,2617,70772,12618,409396,3137,116432,516,89208,121,41892,96,14680,459,53652
7026.53,435122,390796,3887864,1575424,5427,73048,2621,70772,12631,409396,3140,116432,516,89208,121,41892,96,14680,459,53652
8028.53,435516,391170,3887864,1575484,5430,73048,2622,70772,12637,409396,3142,116432,516,89208,121,41896,96,14680,459,53652
9030.51,435915,391555,3887864,1575480,5432,73048,2623,70772,12641,409396,3143,116432,516,89208,121,41896,96,14680,459,53652
10036.34,436313,391937,3887864,1569552,5434,73052,2624,70772,12646,409396,3144,116432,516,89208,121,41896,97,14680,460,53652
11038.39,436708,392214,3887864,1570244,5449,73144,2626,70772,12694,409408,3148,116432,518,89208,121,41896,97,14680,469,53776
12044.51,437099,392579,3887864,1570244,5456,73332,2628,70772,12705,409408,3149,116432,518,89208,121,41896,97,14680,471,53836
13047.9,437493,392930,3887864,1570244,5465,73332,2632,70772,12721,409408,3155,116452,518,89208,121,41896,97,14680,471,53836
14051.34,437883,393274,3887864,1570312,5471,73332,2634,70772,12734,409408,3158,116452,518,89208,121,41896,97,14680,473,53876
15054.99,438274,393630,3887864,1569968,5479,73344,2638,70772,12746,409408,3160,116452,519,89208,121,41896,97,14680,473,53876
16057.08,438671,393978,3887864,1570376,5485,73352,2639,70772,12768,409420,3164,116452,519,89208,121,41896,97,14680,481,53916
17059.13,439063,394341,3887864,1570096,5489,73352,2640,70772,12775,409420,3165,116452,519,89208,121,41896,97,14680,482,53916
18061.13,439456,394714,3887864,1570256,5491,73352,2642,70772,12780,409420,3166,116452,520,89208,123,41896,97,14684,482,53916
19063.33,439855,395093,3887864,1571096,5495,73352,2643,70772,12787,409420,3168,116452,521,89208,123,41896,98,14684,482,53916
20065.35,440253,395477,3887864,1572156,5496,73352,2644,70772,12793,409420,3169,116452,521,89208,123,41896,98,14688,483,53920
21068.92,440643,395848,3887864,1572336,5501,73352,2647,70772,12800,409420,3171,116452,521,89208,123,41896,98,14692,483,53920
