time,total,idle,mem_total,mem_free,1980/cpu,1980/rss,1983/cpu,1983/rss,2001/cpu,2001/rss,2015/cpu,2015/rss,2760/cpu,2760/rss,2781/cpu,2781/rss,3796/cpu,3796/rss,3986/cpu,3986/rss
1009.28,449295,403892,3887864,1573196,5603,73372,2702,70772,12998,409460,3222,116520,529,89212,124,41896,100,14832,487,53920
2011.26,449690,404248,3887864,1573448,5610,73376,2703,70772,13008,409460,3224,116520,529,89212,124,41896,100,14832,487,53920
3013.08,450085,404627,3887864,1573448,5614,73376,2705,70772,13014,409460,3226,116520,529,89212,124,41896,100,14832,487,53920
4015.27,450482,405008,3887864,1573448,5616,73376,2706,70772,13018,409460,3228,116520,529,89212,124,41896,101,14832,487,53920
5017.16,450878,405384,3887864,1573448,5618,73376,2708,70772,13023,409460,3229,116520,529,89212,124,41896,101,14832,487,53920
6019.16,451272,405741,3887864,1572944,5621,73376,2709,70772,13030,409460,3231,116520,530,89212,125,41896,101,14860,489,53920
7023.08,451672,406113,3887864,1573000,5626,73376,2712,70772,13039,409464,3232,116520,530,89212,125,41896,101,14860,489,53920
8027.03,452064,406478,3887864,1573252,5631,73376,2715,70772,13048,409464,3234,116524,530,89212,125,41896,101,14864,489,53920
9030.13,452457,406837,3887864,1573504,5636,73376,2718,70772,13058,409464,3238,116524,530,89212,125,41896,101,14864,489,53920
10033.18,452850,407197,3887864,1571240,5640,73376,2723,70772,13067,409464,3240,116524,530,89212,125,41896,101,14864,489,53920
11035.19,453243,407472,3887864,1557528,5648,73376,2725,70772,13084,409464,3243,116524,532,89216,125,41896,102,14864,489,53920
12037.19,453644,407847,3887864,1559912,5651,73404,2728,70804,13089,409464,3244,116524,533,89216,125,41896,102,14864,489,53920
13039.22,454041,408226,3887864,1559408,5654,73492,2730,70804,13096,409464,3246,116524,533,89216,125,41896,102,14864,489,53920
14041.21,454441,408610,3887864,1560156,5656,73496,2730,70804,13099,409464,3248,116524,533,89216,125,41896,102,14864,489,53920
15043.24,454835,408945,3887864,1561680,5660,73604,2732,70804,13145,409464,3250,116524,533,89216,125,41896,102,14868,489,53920
16046.57,455227,409304,3887864,1562220,5663,73604,2735,70804,13154,409464,3252,116524,533,89216,126,41896,102,14868,490,53920
17049.91,455620,409659,3887864,1562756,5675,73812,2738,70804,13167,409464,3255,116524,534,89216,126,41896,102,14868,490,53920
18053.62,456016,410028,3887864,1563984,5680,73816,2741,70804,13175,409464,3257,116524,534,89216,126,41896,102,14872,490,53920
19055.76,456407,410379,3887864,1564616,5690,73816,2742,70804,13191,409464,3260,116524,534,89216,126,41896,102,14872,491,53920
20057.78,456804,410761,3887864,1566024,5691,73816,2744,70804,13196,409464,3261,116524,534,89216,126,41896,102,14872,491,53920
21059.79,457200,411140,3887864,1566596,5695,73816,2746,70804,13203,409464,3263,116524,535,89216,126,41896,102,14872,491,53920
