time,sent,received,total
2.01,2440.78,36547.88,38.07
1002.7,2442.27,36549.37,38.08
2003.35,2443.04,36553.53,38.08
3004.32,2443.41,36553.77,38.08
4005.93,2444.58,36554.5,38.08
5006.9,2446.03,36556.49,38.09
6007.99,2449.15,36560.08,38.09
7009.13,2450.44,36564.23,38.1
8009.87,2450.44,36564.29,38.1
9010.47,2450.44,36564.35,38.1
10011.13,2451.21,36565.66,38.1
11011.72,2454.29,36569.09,38.11
12012.32,2455.13,36573.25,38.11
13013.3,2456.8,36576.26,38.12
14014.44,2456.8,36576.31,38.12
15015.66,2457.38,36577.54,38.12
16016.79,2459.55,36581.09,38.12
17017.89,2460.38,36585.25,38.13
18018.64,2460.75,36585.44,38.13
19019.24,2460.75,36585.5,38.13
20019.89,2462.12,36588.1,38.13
21020.5,2468.84,36590.65,38.14
22021.1,2470.86,36596.89,38.15
