time,sent,received,total
2.55,6234.09,3066.73,9.08
1003.91,6234.49,3066.94,9.08
2004.9,6234.49,3067.0,9.08
3006.01,6239.34,3068.26,9.09
4007.15,6241.36,3069.36,9.09
5008.2,6241.36,3069.42,9.09
6009.18,6241.36,3069.48,9.09
7010.01,6241.36,3069.54,9.09
8010.7,6242.72,3070.4,9.09
9011.31,6246.34,3072.38,9.1
10014.11,6251.26,3078.07,9.11
11015.19,6265.07,3085.93,9.13
12015.81,6265.31,3086.12,9.13
13016.69,6270.54,3087.65,9.14
14017.42,6273.33,3089.82,9.14
15018.06,6274.03,3090.35,9.14
16018.7,6277.51,3092.03,9.15
17019.28,6277.51,3092.09,9.15
18019.87,6277.89,3092.28,9.15
19020.48,6279.21,3092.83,9.15
20021.08,6283.74,3096.06,9.16
21021.7,6287.91,3096.83,9.16
22022.41,6287.91,3096.89,9.16
23023.03,6292.08,3097.71,9.17
24023.98,6302.74,3100.59,9.18
