time,total,idle,mem_total,mem_free,2228/cpu,2228/rss,3699/cpu,3699/rss
1007.83,524594,506095,3887864,2562480,54,2820,2313,94972
2009.99,524993,506492,3887864,2562528,54,2820,2315,94972
3011.96,525389,506875,3887864,2562980,54,2820,2326,94976
4014.02,525789,507268,3887864,2563856,54,2820,2328,94976
5015.78,526186,507654,3887864,2563672,54,2820,2329,94976
6016.71,526584,508023,3887864,2562160,54,2820,2330,94976
7017.52,526984,508421,3887864,2562160,54,2820,2331,94976
8018.34,527382,508818,3887864,2562428,54,2820,2331,94976
9019.63,527782,509217,3887864,2562428,54,2820,2332,94976
10020.42,528181,509612,3887864,2563124,54,2820,2334,94976
11021.26,528575,509965,3887864,2563152,54,2820,2338,94976
12022.06,528976,510312,3887864,2563648,54,2820,2340,94980
13022.87,529376,510656,3887864,2563560,54,2820,2343,94980
14023.67,529778,511052,3887864,2563572,54,2820,2344,94980
15024.46,530177,511451,3887864,2563864,54,2820,2344,94980
16026.41,530572,511831,3887864,2560452,54,2820,2346,94980
17028.39,530971,512228,3887864,2560452,55,2820,2348,94980
18030.52,531370,512623,3887864,2560496,55,2820,2350,94980
19032.55,531769,513019,3887864,2560020,55,2820,2350,94980
20034.59,532171,513409,3887864,2560000,55,2820,2354,94980
21036.61,532566,513792,3887864,2559748,55,2820,2359,94984
22038.63,532967,514188,3887864,2560000,55,2820,2360,94984
23040.72,533365,514576,3887864,2560552,55,2820,2367,94992
24042.66,533762,514966,3887864,2560664,55,2820,2371,94992
25044.7,534158,515358,3887864,2561076,55,2820,2374,94992
