time,sent,received,total
1.44,18124.57,6547.11,24.09
1002.15,18130.8,6549.9,24.1
2002.73,18132.62,6551.03,24.1
3003.32,18163.25,6554.09,24.14
4004.22,18163.83,6554.3,24.14
5005.42,18164.31,6554.46,24.14
6006.48,18165.94,6555.55,24.14
7007.58,18170.06,6559.62,24.15
8008.84,18170.48,6560.02,24.15
9010.27,18170.48,6560.07,24.15
10010.99,18171.08,6560.23,24.15
11011.58,18171.67,6560.5,24.15
12012.17,18172.47,6560.74,24.15
13012.77,18172.68,6560.9,24.15
14013.39,18174.03,6562.27,24.16
15015.74,18174.03,6562.33,24.16
16016.9,18177.95,6564.78,24.16
17017.97,18179.41,6565.8,24.17
18019.09,18179.81,6565.85,24.17
19019.84,18187.99,6578.62,24.19
20020.42,18188.29,6578.88,24.19
21021.01,18188.29,6578.94,24.19
22021.59,18189.94,6580.58,24.19
23022.19,18190.06,6580.64,24.19
24023.19,18190.24,6580.75,24.19
25024.35,18190.43,6580.8,24.19
26025.62,18190.61,6580.96,24.19
27027.04,18192.34,6582.37,24.19
28028.17,18196.06,6588.15,24.2
29029.21,18198.7,6591.84,24.21
30029.98,18199.26,6592.08,24.21
31030.57,18201.82,6593.69,24.21
32031.17,18201.82,6593.75,24.21
33031.77,18202.07,6593.94,24.21
34032.37,18203.15,6594.48,24.22
35033.26,18203.73,6594.73,24.22
36034.33,18204.12,6594.98,24.22
37035.27,18206.5,6597.13,24.22
38036.26,18206.5,6597.18,24.22
39037.43,18206.5,6597.24,24.22
40038.18,18206.86,6597.49,24.22
41038.77,18207.21,6597.59,24.22
42039.37,18207.63,6597.75,24.22
43039.99,18207.63,6597.81,24.22
44040.58,18209.84,6599.63,24.23
45041.6,18210.03,6599.74,24.23
46042.35,18353.68,6614.39,24.38
47042.94,18359.56,6618.86,24.39
48043.53,18397.98,6625.78,24.44
49044.13,18500.63,6641.11,24.55
50044.74,18500.85,6641.22,24.55
51045.77,18500.85,6641.28,24.55
52046.84,18502.52,6642.7,24.56
53048.13,18502.52,6642.76,24.56
54049.26,18502.72,6642.82,24.56
55050.45,18505.5,6645.27,24.56
56051.44,18505.73,6645.43,24.56
57052.38,18506.87,6646.3,24.56
58053.51,18507.03,6646.41,24.56
59054.5,18508.44,6647.83,24.57
60055.36,18508.57,6648.02,24.57
61056.03,18687.58,6666.02,24.76
62056.63,18690.75,6668.38,24.76
63057.21,18733.14,6675.49,24.81
64057.85,18772.13,6680.55,24.86
65058.43,18851.49,6690.03,24.94
66059.02,18890.11,6693.16,24.98
67059.62,18893.89,6698.05,24.99
68060.21,18894.96,6698.84,24.99
69060.8,18894.96,6698.9,24.99
70061.42,18897.75,6700.79,25.0
71062.0,18898.14,6700.89,25.0
72062.6,18899.11,6701.11,25.0
73063.2,18955.24,6703.79,25.06
74063.79,18956.59,6705.13,25.06
75064.38,18957.0,6705.32,25.06
76065.41,18959.16,6706.82,25.06
77066.48,18960.29,6707.03,25.07
78067.5,18961.95,6707.89,25.07
79068.6,18964.85,6713.14,25.08
80069.58,18965.28,6713.52,25.08
81070.53,18965.53,6713.71,25.08
82071.26,18967.05,6715.08,25.08
83071.86,18967.05,6715.08,25.08
84072.45,18967.54,6715.38,25.08
85073.04,18967.85,6715.49,25.08
86073.64,18968.46,6715.97,25.08
87074.6,18969.11,6716.21,25.08
88075.65,18970.59,6717.51,25.09
89076.59,18971.02,6717.98,25.09
90077.65,18972.82,6719.46,25.09
91078.37,18975.26,6721.03,25.09
92078.97,18975.75,6721.4,25.09
93079.55,18975.75,6721.46,25.09
94080.15,18975.75,6721.52,25.09
95080.73,18977.57,6722.34,25.1
96081.66,18978.49,6722.69,25.1
97082.76,18980.39,6724.17,25.1
98083.8,18982.15,6726.26,25.11
99085.14,18982.48,6726.5,25.11
100086.28,18983.18,6727.01,25.11
101087.28,18983.18,6727.07,25.11
102087.99,18983.57,6727.23,25.11
103088.58,18983.67,6727.43,25.11
104089.17,18983.67,6727.49,25.11
105089.81,18985.09,6729.02,25.11
106090.4,18987.32,6730.55,25.11
107091.37,18987.7,6730.88,25.12
108092.42,18988.05,6730.99,25.12
109093.57,18990.79,6736.48,25.12
110094.55,18991.18,6736.72,25.12
111095.63,18991.18,6736.78,25.12
112096.38,18992.91,6738.26,25.13
113097.0,18992.91,6738.32,25.13
114097.76,18993.14,6738.42,25.13
115098.39,18996.77,6741.31,25.13
116099.19,18997.35,6741.47,25.13
117100.02,18997.67,6741.67,25.14
118101.06,18998.22,6741.96,25.14
119102.19,19000.1,6743.2,25.14
120103.27,19001.45,6744.57,25.14
121104.3,19004.3,6746.66,25.15
122105.2,19004.65,6746.85,25.15
123105.95,19005.22,6747.06,25.15
124106.53,19005.44,6747.17,25.15
125107.11,19006.52,6747.56,25.15
126107.69,19009.7,6752.37,25.16
127108.28,19011.61,6753.93,25.16
128109.26,19012.04,6754.39,25.16
129110.51,19013.09,6755.23,25.16
130111.63,19013.87,6755.49,25.17
131112.75,19014.34,6755.93,25.17
132113.83,19015.34,6756.19,25.17
133114.53,19015.56,6756.3,25.17
134115.1,19029.16,6758.61,25.18
135115.69,19030.93,6760.03,25.19
136116.29,19034.61,6761.68,25.19
137116.89,19035.4,6761.95,25.19
138117.95,19035.93,6762.24,25.19
139118.99,19039.12,6768.29,25.2
140120.0,19039.12,6768.35,25.2
141121.09,19039.12,6768.41,25.2
142122.32,19040.58,6770.96,25.21
143123.08,19040.83,6771.15,25.21
144123.67,19041.02,6771.26,25.21
145124.26,19041.2,6771.37,25.21
146124.85,19041.6,6771.53,25.21
147125.46,19041.85,6771.64,25.21
148126.44,19042.19,6771.8,25.21
149127.56,19042.37,6771.91,25.21
150128.56,19044.92,6774.35,25.21
151129.64,19047.02,6775.98,25.22
152130.78,19047.58,6776.14,25.22
153131.54,19047.76,6776.25,25.22
154132.12,19048.16,6776.41,25.22
155132.72,19048.81,6776.66,25.22
156133.35,19049.81,6777.36,25.22
157133.94,19051.47,6778.86,25.22
158134.93,19051.57,6779.06,25.22
159135.91,19051.82,6779.25,25.23
160136.98,19054.55,6781.24,25.23
161138.32,19054.71,6781.35,25.23
162139.45,19054.94,6781.46,25.23
163140.35,19054.94,6781.51,25.23
164140.98,19055.15,6781.62,25.23
165141.59,19057.04,6783.13,25.23
166142.18,19059.64,6785.01,25.24
167142.78,19060.17,6785.29,25.24
168143.37,19060.17,6785.35,25.24
169144.24,19062.64,6790.84,25.25
