time,sent,received,total
5.37,6294.53,20110.69,25.79
1005.88,6300.69,20160.03,25.84
2006.5,6304.33,20164.84,25.85
3007.11,6307.91,20194.68,25.88
4007.71,6308.04,20195.15,25.88
5008.82,6308.23,20195.75,25.88
6010.01,6308.46,20196.15,25.88
7011.22,6313.71,20201.54,25.89
8012.42,6314.03,20201.82,25.89
9013.4,6314.1,20202.05,25.89
10014.1,6314.22,20202.47,25.89
11014.74,6314.29,20202.68,25.89
12015.37,6314.67,20203.47,25.9
13016.08,6314.85,20203.53,25.9
14016.76,6314.92,20203.79,25.9
15017.74,6316.29,20205.15,25.9
16018.84,6317.93,20207.45,25.9
17020.02,6319.88,20209.65,25.91
18021.37,6320.33,20210.24,25.91
19022.39,6325.77,20211.91,25.92
20023.46,6334.39,20218.34,25.93
21024.28,6334.45,20218.57,25.93
22024.91,6335.99,20220.08,25.93
23028.8,6336.36,20220.27,25.93
24029.5,6336.69,20220.38,25.93
25030.15,6336.75,20220.6,25.93
26031.2,6336.88,20221.0,25.93
27032.64,6337.98,20222.34,25.94
28034.11,6338.6,20222.61,25.94
29035.45,6338.6,20222.67,25.94
30036.68,6340.67,20227.19,25.94
31037.48,6347.64,20233.19,25.96
32038.1,6398.42,20272.22,26.04
33038.8,6449.01,20311.66,26.13
34039.45,6499.78,20351.03,26.22
35040.09,6551.39,20391.42,26.31
36041.09,6602.34,20431.35,26.4
37042.13,6655.11,20472.51,26.49
38043.2,6706.54,20512.98,26.58
39044.39,6757.13,20552.27,26.67
40045.43,6807.72,20591.51,26.76
41047.22,6859.5,20633.51,26.85
42048.96,6910.95,20672.81,26.94
43049.81,6958.26,20708.18,27.02
44050.44,7005.86,20744.48,27.1
45051.52,7057.21,20785.17,27.19
46052.31,7117.46,20904.3,27.36
47056.72,7174.23,21004.56,27.52
48057.45,7232.1,21053.36,27.62
49058.11,7296.98,21132.97,27.76
50058.77,7357.53,21268.62,27.96
51059.45,7408.11,21307.66,28.04
52060.09,7459.8,21346.73,28.13
53060.77,7510.52,21387.31,28.22
54061.4,7561.1,21426.55,28.31
55062.06,7611.82,21465.97,28.4
56063.02,7665.23,21507.71,28.49
57063.78,7716.13,21547.39,28.58
58064.46,7767.61,21587.26,28.67
59065.1,7818.26,21626.49,28.75
60065.75,7870.22,21667.5,28.84
61066.55,7923.56,21718.51,28.95
62067.3,7991.65,21921.99,29.21
63068.32,8051.24,21971.81,29.32
64069.04,8108.94,22050.69,29.45
65069.75,8167.63,22130.69,29.59
66070.42,8227.4,22244.84,29.76
67071.35,8283.83,22323.73,29.89
68072.48,8337.72,22365.75,29.98
69073.57,8388.24,22405.23,30.07
70074.64,8440.64,22446.59,30.16
71075.73,8491.42,22486.7,30.25
72076.54,8542.2,22526.43,30.34
73077.22,8592.91,22565.77,30.43
74077.85,8647.31,22660.12,30.57
75078.52,8699.43,22701.07,30.66
76079.19,8751.94,22742.04,30.75
77080.32,8800.7,22780.21,30.84
78081.45,8849.4,22818.83,30.93
79082.54,8906.48,22862.25,31.02
80083.6,8957.13,22902.1,31.11
81084.7,9008.34,22941.95,31.2
82085.49,9059.35,22981.6,31.29
83086.16,9111.37,23022.18,31.38
84086.82,9162.42,23061.5,31.47
85087.48,9213.51,23100.9,31.56
86088.15,9264.16,23140.2,31.64
87089.18,9315.36,23180.95,31.73
88090.18,9366.72,23221.19,31.82
89091.24,9418.09,23261.37,31.91
90092.39,9469.86,23301.82,32.0
91093.48,9520.94,23341.36,32.09
92094.34,9573.25,23382.97,32.18
93095.13,9624.66,23422.53,32.27
94095.8,9675.0,23461.45,32.36
95096.51,9725.94,23501.5,32.45
96097.17,9777.62,23542.18,32.54
97098.14,9828.5,23581.68,32.63
98099.23,9881.93,23623.05,32.72
99100.41,9933.38,23663.86,32.81
100101.48,9984.21,23703.57,32.9
101102.56,10035.5,23743.58,32.99
102103.55,10086.22,23783.08,33.08
103104.34,10136.47,23822.08,33.16
104105.03,10187.22,23861.55,33.25
105105.69,10239.34,23901.9,33.34
106106.38,10290.06,23941.33,33.43
107107.07,10342.34,23982.9,33.52
108108.04,10393.18,24022.83,33.61
109109.21,10449.61,24064.52,33.71
110110.29,10500.43,24104.0,33.79
111111.31,10551.01,24143.44,33.88
112112.31,10601.67,24182.84,33.97
113113.04,10653.68,24223.93,34.06
114113.71,10704.27,24263.37,34.15
115114.39,10754.98,24303.17,34.24
116115.07,10809.3,24346.29,34.33
117115.76,10860.05,24385.87,34.42
118116.79,10910.63,24425.36,34.51
119117.96,10962.48,24466.55,34.6
120119.06,11014.99,24507.95,34.69
121120.45,11055.46,24539.41,34.76
122121.42,11057.6,24541.89,34.76
123122.14,11057.85,24542.16,34.77
124122.8,11058.04,24542.84,34.77
125123.46,11058.42,24543.6,34.77
126124.15,11058.67,24543.87,34.77
127124.85,11061.88,24548.66,34.78
128126.07,11063.47,24550.48,34.78
129127.27,11063.93,24550.92,34.78
130128.65,11064.91,24552.33,34.78
131129.98,11065.04,24552.75,34.78
132130.99,11065.6,24553.63,34.78
133131.77,11065.73,24554.13,34.78
134132.49,11068.3,24567.38,34.8
135133.18,11070.1,24569.14,34.8
136133.88,11070.17,24569.46,34.8
137134.67,11071.97,24571.79,34.81
138135.86,11072.1,24572.22,34.81
139137.12,11078.11,24574.87,34.82
140138.17,11078.89,24575.65,34.82
141139.42,11078.89,24575.71,34.82
142140.51,11078.89,24575.76,34.82
143141.31,11081.64,24577.36,34.82
144142.04,11082.16,24577.47,34.82
145142.71,11082.29,24577.87,34.82
146143.38,11082.48,24578.09,34.82
147144.04,11082.67,24578.76,34.83
148145.26,11082.67,24578.81,34.83
149146.64,11082.87,24579.36,34.83
150147.89,11085.46,24581.87,34.83
151149.17,11085.55,24581.99,34.83
152152.88,11087.59,24584.45,34.84
153154.03,11087.66,24584.67,34.84
154154.83,11087.66,24584.73,34.84
155155.52,11087.95,24585.3,34.84
156156.23,11088.51,24586.28,34.84
157156.91,11088.97,24587.09,34.84
158157.59,11090.44,24588.51,34.84
159158.77,11090.79,24588.79,34.84
160160.13,11092.82,24590.75,34.85
161161.57,11093.05,24591.51,34.85
162165.03,11093.11,24591.72,34.85
163166.4,11093.18,24591.99,34.85
164167.23,11093.18,24592.05,34.85
165167.92,11094.54,24593.67,34.85
166168.85,11094.98,24594.06,34.85
167169.55,11096.98,24596.56,34.86
168170.26,11097.21,24597.05,34.86
169171.43,11102.92,24599.32,34.87
170172.87,11102.92,24599.38,34.87
171174.11,11104.0,24600.35,34.87
172175.12,11104.07,24600.61,34.87
173176.38,11105.58,24603.19,34.87
174177.21,11105.64,24603.43,34.87
175177.89,11105.89,24603.83,34.87
