response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0201,0.0108,0.0000,0.0001,0.0090,0.0001,200,0.1028
0.0242,0.0108,0.0000,0.0002,0.0127,0.0000,200,0.1023
0.0238,0.0111,0.0000,0.0000,0.0126,0.0001,200,0.1027
0.0252,0.0111,0.0000,0.0000,0.0140,0.0001,200,0.1026
0.0255,0.0113,0.0000,0.0002,0.0140,0.0000,200,0.1024
0.0282,0.0110,0.0000,0.0001,0.0171,0.0000,200,0.1027
0.0297,0.0112,0.0000,0.0001,0.0182,0.0000,200,0.1024
0.0308,0.0112,0.0000,0.0002,0.0193,0.0000,200,0.1024
0.0310,0.0113,0.0000,0.0001,0.0193,0.0001,200,0.1023
0.0310,0.0112,0.0000,0.0001,0.0194,0.0000,200,0.1022
0.0204,0.0095,0.0000,0.0000,0.0107,0.0000,200,0.2026
0.0209,0.0096,0.0000,0.0000,0.0111,0.0001,200,0.2026
0.0254,0.0098,0.0000,0.0000,0.0155,0.0001,200,0.2024
0.0253,0.0096,0.0000,0.0001,0.0155,0.0000,200,0.2026
0.0258,0.0099,0.0000,0.0000,0.0158,0.0001,200,0.2024
0.0256,0.0097,0.0000,0.0000,0.0158,0.0001,200,0.2026
0.0258,0.0097,0.0000,0.0000,0.0160,0.0001,200,0.2026
0.0261,0.0099,0.0000,0.0000,0.0161,0.0001,200,0.2024
0.0271,0.0099,0.0000,0.0001,0.0171,0.0000,200,0.2024
0.0271,0.0098,0.0000,0.0000,0.0173,0.0000,200,0.2026
0.0215,0.0105,0.0000,0.0001,0.0108,0.0001,200,0.3031
0.0219,0.0105,0.0000,0.0000,0.0113,0.0000,200,0.3032
0.0233,0.0105,0.0000,0.0001,0.0125,0.0001,200,0.3031
0.0260,0.0105,0.0000,0.0000,0.0154,0.0000,200,0.3032
0.0261,0.0105,0.0000,0.0001,0.0154,0.0000,200,0.3032
0.0263,0.0107,0.0000,0.0000,0.0155,0.0000,200,0.3030
0.0264,0.0105,0.0000,0.0001,0.0157,0.0000,200,0.3032
0.0268,0.0108,0.0000,0.0001,0.0158,0.0000,200,0.3028
0.0280,0.0105,0.0000,0.0001,0.0173,0.0000,200,0.3032
0.0286,0.0106,0.0000,0.0001,0.0178,0.0000,200,0.3031
0.0210,0.0097,0.0000,0.0001,0.0111,0.0001,200,0.4032
0.0209,0.0097,0.0000,0.0000,0.0111,0.0000,200,0.4033
0.0214,0.0100,0.0000,0.0000,0.0112,0.0001,200,0.4029
0.0228,0.0098,0.0000,0.0001,0.0129,0.0000,200,0.4032
0.0264,0.0098,0.0000,0.0001,0.0165,0.0001,200,0.4033
0.0265,0.0098,0.0000,0.0000,0.0165,0.0001,200,0.4032
0.0265,0.0098,0.0000,0.0001,0.0166,0.0000,200,0.4031
0.0264,0.0098,0.0000,0.0000,0.0166,0.0000,200,0.4032
0.0264,0.0098,0.0000,0.0000,0.0166,0.0000,200,0.4032
0.0266,0.0098,0.0000,0.0001,0.0166,0.0000,200,0.4031
0.0194,0.0093,0.0000,0.0000,0.0100,0.0001,200,0.5031
0.0196,0.0091,0.0000,0.0000,0.0104,0.0001,200,0.5032
0.0208,0.0091,0.0000,0.0000,0.0116,0.0000,200,0.5031
0.0229,0.0091,0.0000,0.0001,0.0136,0.0001,200,0.5032
0.0230,0.0091,0.0000,0.0000,0.0137,0.0000,200,0.5032
0.0264,0.0093,0.0000,0.0000,0.0169,0.0000,200,0.5029
0.0263,0.0092,0.0000,0.0000,0.0170,0.0000,200,0.5031
0.0265,0.0094,0.0000,0.0000,0.0169,0.0001,200,0.5028
0.0263,0.0092,0.0000,0.0000,0.0171,0.0000,200,0.5032
0.0265,0.0092,0.0000,0.0000,0.0171,0.0001,200,0.5031
0.0217,0.0095,0.0000,0.0000,0.0121,0.0001,200,0.6029
