time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1006.99,1190581,1132720,3887864,1858088,9740,209656,24101,487756,89,79372,1674,65148,6582,117584,2950,111804
2008.51,1190978,1133100,3887864,1859396,9741,209656,24104,487756,89,79372,1675,65148,6583,117584,2950,111804
3009.92,1191376,1133486,3887864,1859756,9745,209656,24111,487760,89,79372,1675,65148,6585,117584,2950,111804
4011.33,1191775,1133879,3887864,1860000,9746,209656,24113,487760,89,79372,1675,65152,6586,117584,2951,111804
5015.01,1192173,1134270,3887864,1860692,9747,209656,24117,487760,89,79372,1675,65152,6588,117584,2951,111804
6018.44,1192564,1134638,3887864,1861076,9752,209656,24131,487760,89,79372,1677,65152,6592,117584,2952,111804
7021.52,1192957,1135022,3887864,1861284,9755,209656,24138,487760,89,79372,1677,65152,6595,117584,2952,111804
8025.48,1193353,1135397,3887864,1861524,9762,209656,24149,487760,89,79372,1678,65152,6596,117584,2954,111804
9028.38,1193751,1135778,3887864,1861928,9764,209656,24153,487760,89,79372,1678,65152,6599,117584,2954,111804
10031.84,1194148,1136159,3887864,1862632,9767,209656,24161,487760,89,79372,1678,65152,6604,117584,2954,111804
11035.3,1194545,1136534,3887864,1863020,9771,209656,24169,487760,89,79372,1681,65024,6607,117584,2956,111804
12037.35,1194943,1136899,3887864,1858724,9773,209656,24173,487760,89,79372,1682,65024,6608,117584,2956,111804
13038.96,1195341,1137293,3887864,1859032,9774,209656,24176,487760,89,79372,1682,65024,6609,117584,2956,111804
14040.5,1195740,1137686,3887864,1860404,9776,209656,24179,487760,89,79372,1682,65024,6612,117584,2956,111804
15042.28,1196138,1138077,3887864,1860656,9776,209656,24183,487760,89,79372,1682,65024,6613,117588,2956,111804
16043.96,1196541,1138467,3887864,1860656,9779,209656,24187,487760,89,79372,1682,65024,6615,117588,2957,111804
17048.27,1196936,1138853,3887864,1861052,9781,209656,24192,487760,89,79372,1683,65024,6617,117588,2958,111804
18052.45,1197334,1139229,3887864,1861564,9788,209656,24203,487760,89,79372,1683,65024,6620,117588,2958,111804
19056.83,1197731,1139612,3887864,1862012,9791,209656,24208,487760,89,79372,1684,65024,6622,117588,2959,111804
20061.39,1198127,1139997,3887864,1861896,9794,209656,24214,487760,89,79372,1684,65024,6625,117588,2959,111804
21065.23,1198524,1140365,3887864,1862824,9801,209656,24227,487760,89,79372,1684,65024,6629,117588,2961,111804
22066.97,1198922,1140733,3887864,1864484,9802,209656,24230,487760,89,79372,1685,65024,6631,117588,2961,111804
23070.07,1199325,1141128,3887864,1864684,9803,209656,24232,487760,89,79372,1685,65024,6632,117588,2961,111804
24072.0,1199726,1141520,3887864,1865152,9804,209656,24236,487760,89,79372,1685,65024,6633,117588,2961,111804
25073.87,1200125,1141916,3887864,1865596,9806,209656,24237,487760,89,79372,1685,65024,6634,117588,2961,111804
26075.67,1200522,1142305,3887864,1865740,9808,209656,24242,487760,89,79372,1685,65024,6635,117588,2962,111804
27079.67,1200918,1142695,3887864,1865984,9811,209656,24246,487760,89,79372,1686,65024,6636,117588,2962,111804
28083.37,1201312,1143068,3887864,1865940,9818,209656,24257,487760,89,79372,1686,65024,6639,117588,2964,111804
29086.55,1201712,1143456,3887864,1866156,9820,209656,24261,487760,89,79372,1687,65024,6641,117588,2964,111804
30090.95,1202105,1143835,3887864,1866340,9823,209656,24269,487760,89,79372,1687,65024,6645,117588,2964,111804
31095.1,1202498,1144210,3887864,1866340,9829,209656,24278,487760,89,79372,1688,65024,6647,117588,2966,111804
32096.87,1202897,1144576,3887864,1866744,9831,209656,24284,487760,89,79372,1688,65024,6649,117588,2966,111804
33098.5,1203299,1144972,3887864,1862780,9831,209656,24285,487760,89,79372,1688,65024,6650,117588,2966,111804
34100.19,1203695,1145360,3887864,1862856,9835,209656,24290,487760,89,79372,1689,65024,6651,117588,2966,111804
35101.87,1204096,1145757,3887864,1862856,9836,209656,24290,487760,89,79372,1689,65024,6652,117588,2966,111804
36106.44,1204488,1146060,3887864,1862980,9839,209656,24375,487792,89,79372,1690,65024,6655,117588,2968,111804
37109.74,1204888,1146396,3887864,1847512,9840,209656,24433,502752,89,79372,1690,65024,6656,117588,2968,111804
38113.97,1205282,1146769,3887864,1847512,9846,209656,24444,502928,92,79372,1690,65024,6659,117588,2969,111804
