response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0005,0.0000,0.0000,0.0010,0.0001,200,0.1026
0.0017,0.0005,0.0000,0.0000,0.0011,0.0000,200,0.1026
0.0018,0.0005,0.0000,0.0001,0.0012,0.0000,200,0.1026
0.0018,0.0004,0.0000,0.0000,0.0012,0.0001,200,0.1026
0.0022,0.0005,0.0000,0.0001,0.0015,0.0000,200,0.1022
0.0021,0.0006,0.0000,0.0000,0.0013,0.0000,200,0.1024
0.0024,0.0008,0.0000,0.0001,0.0015,0.0000,200,0.1021
0.0021,0.0005,0.0000,0.0001,0.0015,0.0001,200,0.1025
0.0023,0.0005,0.0000,0.0000,0.0016,0.0000,200,0.1023
0.0027,0.0006,0.0000,0.0000,0.0019,0.0001,200,0.1024
0.0018,0.0007,0.0000,0.0000,0.0010,0.0001,200,0.2026
0.0021,0.0008,0.0000,0.0002,0.0009,0.0000,200,0.2024
0.0018,0.0006,0.0000,0.0001,0.0011,0.0000,200,0.2028
0.0019,0.0007,0.0000,0.0000,0.0011,0.0001,200,0.2027
0.0022,0.0008,0.0000,0.0002,0.0011,0.0001,200,0.2025
0.0020,0.0007,0.0000,0.0000,0.0012,0.0000,200,0.2027
0.0024,0.0006,0.0000,0.0001,0.0017,0.0001,200,0.2027
0.0025,0.0006,0.0000,0.0001,0.0017,0.0000,200,0.2027
0.0027,0.0006,0.0000,0.0002,0.0018,0.0000,200,0.2026
0.0028,0.0005,0.0000,0.0001,0.0021,0.0000,200,0.2027
0.0020,0.0008,0.0000,0.0001,0.0010,0.0001,200,0.3030
0.0018,0.0007,0.0000,0.0000,0.0010,0.0001,200,0.3032
0.0019,0.0008,0.0000,0.0000,0.0010,0.0001,200,0.3032
0.0020,0.0007,0.0000,0.0001,0.0011,0.0001,200,0.3031
0.0021,0.0008,0.0000,0.0001,0.0011,0.0001,200,0.3030
0.0020,0.0007,0.0000,0.0001,0.0012,0.0000,200,0.3031
0.0022,0.0010,0.0000,0.0001,0.0011,0.0000,200,0.3029
0.0019,0.0006,0.0000,0.0002,0.0012,0.0000,200,0.3032
0.0022,0.0009,0.0000,0.0001,0.0011,0.0000,200,0.3030
0.0019,0.0007,0.0000,0.0000,0.0011,0.0000,200,0.3032
0.0014,0.0006,0.0000,0.0000,0.0007,0.0001,200,0.4027
0.0016,0.0007,0.0000,0.0000,0.0008,0.0001,200,0.4025
0.0016,0.0008,0.0000,0.0000,0.0007,0.0000,200,0.4025
0.0017,0.0007,0.0000,0.0000,0.0008,0.0000,200,0.4024
0.0018,0.0007,0.0000,0.0001,0.0010,0.0000,200,0.4023
0.0016,0.0005,0.0000,0.0000,0.0010,0.0001,200,0.4026
0.0015,0.0006,0.0000,0.0000,0.0008,0.0000,200,0.4027
0.0015,0.0005,0.0000,0.0000,0.0009,0.0000,200,0.4027
0.0016,0.0006,0.0000,0.0000,0.0009,0.0000,200,0.4026
0.0015,0.0005,0.0000,0.0001,0.0009,0.0000,200,0.4027
0.0023,0.0011,0.0000,0.0001,0.0010,0.0001,200,0.5025
0.0021,0.0010,0.0000,0.0001,0.0010,0.0000,200,0.5026
0.0022,0.0011,0.0000,0.0000,0.0010,0.0001,200,0.5026
0.0021,0.0010,0.0000,0.0000,0.0010,0.0001,200,0.5027
0.0021,0.0008,0.0000,0.0000,0.0012,0.0000,200,0.5027
0.0021,0.0010,0.0000,0.0000,0.0010,0.0001,200,0.5027
0.0021,0.0009,0.0000,0.0001,0.0011,0.0001,200,0.5027
0.0022,0.0010,0.0000,0.0000,0.0012,0.0000,200,0.5026
0.0021,0.0010,0.0000,0.0001,0.0011,0.0000,200,0.5027
0.0021,0.0009,0.0000,0.0000,0.0011,0.0000,200,0.5028
0.0021,0.0008,0.0000,0.0000,0.0012,0.0001,200,0.6022
0.0021,0.0008,0.0000,0.0000,0.0012,0.0001,200,0.6023
0.0021,0.0008,0.0000,0.0001,0.0012,0.0000,200,0.6023
0.0022,0.0007,0.0000,0.0002,0.0013,0.0001,200,0.6022
0.0021,0.0007,0.0000,0.0000,0.0012,0.0001,200,0.6023
0.0023,0.0008,0.0000,0.0000,0.0014,0.0000,200,0.6021
0.0025,0.0008,0.0000,0.0003,0.0013,0.0000,200,0.6021
0.0026,0.0008,0.0000,0.0001,0.0017,0.0000,200,0.6022
0.0028,0.0011,0.0000,0.0000,0.0017,0.0000,200,0.6020
0.0028,0.0008,0.0000,0.0000,0.0019,0.0000,200,0.6023
0.0021,0.0008,0.0000,0.0001,0.0011,0.0001,200,0.7024
0.0021,0.0008,0.0000,0.0000,0.0012,0.0001,200,0.7025
0.0022,0.0007,0.0000,0.0001,0.0013,0.0000,200,0.7025
0.0024,0.0009,0.0000,0.0001,0.0012,0.0001,200,0.7023
0.0024,0.0009,0.0000,0.0001,0.0013,0.0001,200,0.7023
0.0021,0.0007,0.0000,0.0000,0.0013,0.0001,200,0.7025
