time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
1010.67,8005839,7858728,16370460,9459980,3987,109788,23075,63568,40229,497140,2150,65080,14465,123752
2014.59,8006434,7859311,16370460,9457472,3987,109788,23076,63568,40231,497140,2150,65080,14466,123752
3018.42,8007031,7859900,16370460,9458784,3987,109788,23078,63696,40234,497140,2150,65080,14467,123752
4024.56,8007631,7860492,16370460,9458784,3987,109788,23080,63696,40237,497140,2150,65080,14468,123752
5030.15,8008230,7861078,16370460,9464292,3988,109788,23081,63824,40240,497140,2150,65080,14469,123752
6034.85,8008830,7861671,16370460,9465264,3988,109788,23082,63824,40243,497140,2150,65080,14471,123752
7040.63,8009428,7862264,16370460,9466872,3988,109788,23084,63824,40245,497140,2150,65080,14471,123752
8045.18,8010026,7862854,16370460,9466872,3988,109788,23085,63824,40249,497140,2150,65080,14473,123752
9048.47,8010623,7863444,16370460,9466872,3988,109788,23087,63824,40251,497140,2150,65080,14474,123752
10051.35,8011222,7864034,16370460,9465108,3989,109788,23088,65616,40253,497140,2150,65080,14475,123752
11056.22,8011820,7864626,16370460,9465108,3989,109788,23089,65744,40256,497140,2150,65080,14476,123752
12060.61,8012418,7865217,16370460,9465108,3990,109788,23090,65744,40259,497140,2150,65080,14477,123752
13064.79,8013017,7865808,16370460,9465108,3990,109788,23092,65744,40261,497140,2150,65080,14478,123752
14069.92,8013615,7866397,16370460,9465304,3990,109788,23094,65744,40264,497140,2150,65080,14479,123752
15074.2,8014212,7866977,16370460,9469392,3990,109788,23097,63800,40268,497140,2151,65080,14483,123752
16079.94,8014810,7867570,16370460,9469140,3991,109788,23097,63800,40271,497140,2151,65080,14484,123752
17088.97,8015411,7868163,16370460,9469140,3991,109788,23098,63800,40274,497140,2152,65080,14485,123752
18091.14,8016008,7868755,16370460,9469140,3992,109788,23100,63800,40277,497140,2152,65080,14486,123752
19093.41,8016605,7869343,16370460,9469140,3992,109788,23101,63800,40279,497140,2152,65080,14487,123752
20098.44,8017202,7869932,16370460,9469140,3992,109788,23103,65336,40282,497140,2152,65080,14489,123752
21103.78,8017801,7870496,16370460,9457548,3992,109788,23104,65336,40312,516468,2152,65080,14491,123752
22109.74,8018402,7871089,16370460,9453516,3992,109788,23105,65336,40314,516468,2152,65080,14491,123752
23115.23,8019000,7871679,16370460,9453516,3993,109788,23107,65336,40318,516468,2153,65080,14492,123752
24119.51,8019601,7872271,16370460,9453516,3994,109788,23109,65336,40320,516596,2153,65080,14494,123752
25125.58,8020198,7872854,16370460,9460460,3994,109788,23112,65572,40324,516724,2153,65080,14494,123752
26131.61,8020798,7873448,16370460,9460652,3994,109788,23112,65572,40327,516724,2153,65080,14496,123752
27135.57,8021396,7874038,16370460,9460652,3995,109788,23114,65572,40330,516724,2153,65080,14498,123752
28142.14,8021996,7874630,16370460,9460652,3995,109788,23115,65572,40333,516724,2153,65080,14498,123752
29146.02,8022595,7875220,16370460,9460652,3995,109788,23117,65572,40335,516724,2154,65080,14499,123752
30150.68,8023193,7875804,16370460,9459392,3996,109788,23118,65572,40339,516852,2154,65080,14501,123752
31155.38,8023789,7876389,16370460,9459392,3997,109788,23118,65572,40341,516980,2154,65080,14503,123752
32160.67,8024389,7876971,16370460,9459392,3997,109788,23120,65572,40344,516980,2154,65080,14503,123752
33165.59,8024985,7877554,16370460,9459392,3997,109788,23122,65572,40347,516980,2154,65080,14505,123752
34170.62,8025583,7878138,16370460,9459392,3997,109788,23123,63800,40350,516980,2155,65080,14505,123752
35175.03,8026177,7878715,16370460,9461660,3997,109788,23127,63800,40354,517108,2155,65080,14507,123752
36177.84,8026774,7879302,16370460,9461660,3997,109788,23127,63800,40356,517108,2155,65080,14509,123752
37183.36,8027371,7879888,16370460,9461408,3998,109788,23128,63800,40358,517108,2155,65080,14509,123752
38187.31,8027968,7880474,16370460,9461156,3999,109788,23130,63800,40361,517236,2156,65080,14510,123752
39190.69,8028565,7881058,16370460,9461156,3999,109788,23130,63800,40364,517236,2156,65080,14511,123752
40195.84,8029166,7881644,16370460,9461156,3999,109788,23131,63800,40367,517236,2156,65080,14512,123752
41199.56,8029761,7882229,16370460,9461156,3999,109788,23133,63800,40369,517236,2156,65080,14514,123752
42203.29,8030358,7882811,16370460,9461156,4000,109788,23134,63800,40372,517236,2156,65080,14514,123752
43207.5,8030957,7883394,16370460,9460904,4000,109788,23136,63928,40375,517236,2156,65080,14515,123752
44211.64,8031555,7883978,16370460,9460404,4002,109788,23138,63928,40378,517236,2156,65080,14517,123752
45217.2,8032152,7884537,16370460,9457392,4002,109788,23147,63972,40387,518388,2157,65080,14519,123752
46221.52,8032741,7885033,16370460,9396032,4002,109788,23154,63804,40395,520052,2158,65080,14520,123752
47224.82,8033334,7885608,16370460,9426132,4002,109788,23156,63804,40398,520052,2158,65080,14522,123752
48226.72,8033932,7886192,16370460,9425804,4003,109788,23157,63804,40400,520052,2158,65080,14523,123752
49229.84,8034527,7886775,16370460,9425476,4003,109788,23159,63804,40403,520308,2158,65080,14524,123752
50232.6,8035124,7887355,16370460,9426548,4003,109788,23159,63804,40405,520308,2158,65080,14525,123752
51235.45,8035720,7887937,16370460,9426596,4003,109788,23161,63804,40408,520436,2158,65080,14526,123752
52238.73,8036317,7888521,16370460,9426344,4003,109788,23162,63804,40410,520436,2158,65080,14527,123752
53242.7,8036913,7889103,16370460,9426344,4003,109788,23164,63804,40413,520436,2158,65080,14528,123752
54246.07,8037508,7889685,16370460,9425840,4004,109788,23165,63804,40416,520692,2158,65080,14529,123752
55250.82,8038106,7890268,16370460,9425084,4005,109788,23167,63804,40418,520948,2159,65080,14530,123752
56255.17,8038701,7890848,16370460,9417316,4005,109788,23168,63804,40421,520948,2159,65080,14531,123752
57260.12,8039298,7891431,16370460,9417064,4005,109788,23169,63804,40425,520948,2159,65080,14532,123752
58265.61,8039895,7892016,16370460,9417064,4006,109788,23170,63804,40427,521076,2160,65080,14533,123752
59269.0,8040493,7892599,16370460,9416056,4006,109788,23171,63932,40430,521204,2160,65080,14535,123752
60273.19,8041089,7893152,16370460,9410580,4006,109788,23179,64200,40439,524404,2160,65080,14538,123752
61277.27,8041677,7893614,16370460,9339684,4006,109788,23189,64184,40464,531956,2161,65080,14540,123752
62280.69,8042272,7894185,16370460,9361872,4007,109788,23191,64184,40466,532084,2161,65080,14540,123752
63285.7,8042869,7894763,16370460,9359632,4007,109788,23192,64184,40470,532212,2161,65080,14542,123752
64291.06,8043467,7895345,16370460,9359632,4008,109788,23194,64312,40473,532340,2161,65080,14543,123752
65296.17,8044065,7895927,16370460,9359632,4008,109788,23195,64312,40475,532468,2161,65080,14544,123752
66300.84,8044662,7896504,16370460,9363396,4008,109788,23197,65208,40478,532596,2161,65080,14545,123880
67304.44,8045260,7897089,16370460,9363176,4008,109788,23197,65208,40481,532596,2161,65080,14546,123880
68308.43,8045856,7897671,16370460,9362924,4008,109788,23199,65208,40484,532596,2161,65080,14548,123880
69313.9,8046452,7898256,16370460,9362924,4010,109788,23200,65208,40486,532596,2162,65080,14549,123880
70319.64,8047052,7898835,16370460,9361164,4010,109788,23203,65336,40489,532596,2162,65080,14550,123880
71322.44,8047649,7899419,16370460,9361164,4010,109788,23203,65336,40491,532596,2162,65080,14551,123880
72325.24,8048245,7899999,16370460,9360916,4010,109788,23204,65336,40494,532596,2162,65080,14551,123880
73327.87,8048841,7900580,16370460,9360412,4010,109788,23206,65336,40497,532596,2162,65080,14553,123880
74330.48,8049438,7901160,16370460,9360412,4011,109788,23209,65336,40500,532596,2162,65080,14554,123880
75333.41,8050033,7901739,16370460,9359656,4011,109788,23209,65336,40503,532596,2162,65080,14554,123880
76337.18,8050629,7902316,16370460,9361212,4011,109788,23212,65336,40506,532596,2162,65080,14556,123880
77341.47,8051224,7902898,16370460,9360484,4011,109788,23213,65336,40508,532596,2163,65080,14557,123880
78344.31,8051822,7903482,16370460,9360484,4011,109788,23215,65336,40511,532596,2163,65080,14558,123880
79348.77,8052419,7904065,16370460,9360236,4012,109788,23215,65464,40512,532596,2163,65080,14559,123880
80352.47,8053015,7904644,16370460,9358976,4012,109788,23216,65592,40516,532596,2163,65080,14560,123880
81356.69,8053611,7905227,16370460,9358220,4012,109788,23217,65592,40519,532596,2164,65080,14562,123880
82360.61,8054208,7905806,16370460,9357716,4012,109788,23218,65592,40521,532596,2164,65080,14563,124008
83363.41,8054805,7906385,16370460,9356960,4013,109788,23221,64632,40524,532596,2164,65080,14563,124008
84368.02,8055403,7906966,16370460,9355968,4013,109788,23222,64600,40527,532596,2164,65080,14564,124008
85372.79,8056001,7907550,16370460,9355968,4013,109788,23224,64600,40529,532596,2164,65080,14566,124008
86376.7,8056599,7908127,16370460,9352160,4014,109788,23227,65496,40532,532596,2164,65080,14567,124008
87380.0,8057194,7908709,16370460,9351684,4015,109788,23228,65496,40536,532596,2164,65080,14568,124008
88384.94,8057791,7909291,16370460,9350928,4015,109788,23229,65496,40538,532596,2164,65080,14570,124008
89388.71,8058387,7909870,16370460,9347400,4015,109788,23230,66520,40541,532596,2164,65080,14570,124008
90391.09,8058982,7910448,16370460,9345664,4015,109788,23232,66648,40544,532852,2164,65080,14572,124392
91395.44,8059575,7911029,16370460,9345664,4015,109788,23233,66648,40546,532852,2165,65080,14573,124392
92398.87,8060170,7911609,16370460,9345412,4016,109788,23234,66648,40549,532852,2165,65080,14574,124392
93403.51,8060767,7912190,16370460,9345412,4016,109788,23237,66648,40552,532852,2165,65080,14576,124392
94407.2,8061365,7912773,16370460,9345412,4016,109788,23239,66776,40555,532980,2165,65080,14576,124392
95412.59,8061962,7913356,16370460,9345160,4016,109788,23240,66904,40558,532980,2165,65080,14577,124904
96418.36,8062561,7913939,16370460,9344908,4018,109788,23242,66904,40561,532980,2166,65080,14579,124904
97420.71,8063156,7914518,16370460,9335332,4018,109788,23243,66904,40564,532980,2166,65080,14580,124904
98423.22,8063749,7915100,16370460,9335332,4018,109788,23244,66904,40566,532980,2166,65080,14581,125032
99426.34,8064346,7915683,16370460,9336592,4018,109788,23246,65260,40568,532980,2166,65080,14582,125032
100429.62,8064943,7916261,16370460,9335836,4018,109788,23246,65260,40571,532980,2166,65080,14583,125032
101432.67,8065541,7916846,16370460,9335052,4018,109788,23247,65260,40574,532980,2166,65080,14584,125032
102435.64,8066136,7917427,16370460,9335052,4018,109788,23249,65260,40576,532980,2166,65080,14586,125032
103439.79,8066734,7918010,16370460,9334800,4019,109788,23251,65260,40580,532980,2167,65080,14586,125032
104444.7,8067331,7918589,16370460,9334548,4020,109788,23252,65124,40582,532980,2167,65080,14588,125160
105448.84,8067927,7919171,16370460,9334044,4020,109788,23253,65124,40585,532980,2167,65080,14588,125160
106452.63,8068522,7919753,16370460,9334044,4020,109788,23255,65124,40587,532980,2167,65080,14590,125160
