time,sent,received,total
5.09,375248.88,1779882.75,2104.62
1006.24,375255.46,1779885.23,2104.63
2010.21,375259.05,1779887.68,2104.63
3014.0,375262.19,1779889.93,2104.64
4018.34,375265.71,1779892.44,2104.65
5021.73,375268.97,1779894.83,2104.65
6025.51,375272.04,1779897.0,2104.66
7029.82,375275.37,1779899.39,2104.66
8034.38,375278.57,1779901.64,2104.67
9040.53,375282.05,1779904.09,2104.67
10045.38,375288.16,1779906.61,2104.68
11048.77,375291.44,1779908.92,2104.69
12054.32,375295.01,1779911.5,2104.69
13058.33,375298.73,1779913.95,2104.7
14061.73,375302.32,1779916.34,2104.71
15065.01,375305.72,1779918.72,2104.71
16068.65,375309.03,1779921.11,2104.72
17073.91,375312.52,1779923.63,2104.72
18078.0,375315.72,1779925.87,2104.73
19082.17,375319.1,1779928.26,2104.73
20086.28,375322.69,1779930.78,2104.74
21091.84,375326.17,1779933.36,2104.75
22097.21,375329.48,1779935.74,2104.75
23100.67,375332.91,1779938.13,2104.76
24104.8,375336.21,1779940.52,2104.76
25107.21,375339.59,1779942.9,2104.77
26111.1,375342.96,1779945.29,2104.77
27114.7,375346.32,1779947.68,2104.78
28118.59,375349.84,1779950.13,2104.78
29122.71,375353.05,1779952.5,2104.79
30127.77,375365.52,1779959.64,2104.81
31130.44,375429.21,1780007.73,2104.92
32133.2,375492.44,1780056.79,2105.03
33136.53,375555.86,1780105.26,2105.14
34140.0,375619.07,1780153.47,2105.25
35143.71,375682.58,1780202.2,2105.36
36151.53,375745.77,1780250.74,2105.46
37155.49,375808.92,1780298.68,2105.57
38159.27,375872.26,1780346.9,2105.68
39162.97,375935.84,1780395.11,2105.79
40166.79,375999.28,1780443.12,2105.9
41170.95,376062.8,1780491.66,2106.01
42175.2,376126.38,1780540.13,2106.12
43180.14,376189.86,1780588.74,2106.23
44185.72,376253.18,1780636.75,2106.34
45190.23,376316.65,1780685.42,2106.45
46195.09,376389.63,1780737.89,2106.57
47198.54,376452.58,1780787.07,2106.68
48204.43,376515.67,1780835.79,2106.79
49211.96,376582.04,1780887.5,2106.9
50214.83,376652.03,1780942.67,2107.03
51217.6,376715.45,1780991.85,2107.14
52220.7,376779.03,1781040.39,2107.25
53223.86,376842.17,1781088.93,2107.35
54228.64,376905.76,1781137.79,2107.46
55231.41,376969.19,1781186.2,2107.57
56235.57,377032.55,1781234.54,2107.68
57238.68,377095.71,1781282.54,2107.79
58241.5,377158.88,1781331.2,2107.9
59245.99,377222.11,1781379.99,2108.01
60250.31,377285.54,1781428.33,2108.12
61254.22,377360.56,1781482.46,2108.25
62258.74,377423.93,1781530.67,2108.35
63264.17,377487.31,1781579.59,2108.46
64268.67,377550.64,1781628.45,2108.57
65272.66,377614.04,1781676.8,2108.68
66275.89,377677.52,1781725.21,2108.79
67280.2,377741.04,1781773.75,2108.9
68284.89,377804.43,1781822.87,2109.01
69287.44,377868.02,1781871.99,2109.12
70291.53,377931.12,1781921.3,2109.23
71295.9,377994.25,1781969.89,2109.34
72299.48,378057.65,1782019.33,2109.45
73303.42,378121.53,1782068.0,2109.56
74307.04,378185.08,1782116.41,2109.67
75311.74,378249.2,1782168.33,2109.78
76315.54,378318.32,1782218.02,2109.9
77318.22,378381.46,1782266.61,2110.01
78320.69,378444.82,1782315.41,2110.12
79323.34,378508.09,1782363.55,2110.23
80326.49,378571.61,1782411.95,2110.33
81330.04,378634.85,1782460.75,2110.44
