time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
1006.56,8351496,8198511,16370460,9450964,4166,109788,23992,64696,42039,499872,2245,65080,15148,124440
2011.07,8352096,8199098,16370460,9450964,4166,109788,23993,64824,42042,499872,2245,65080,15149,124440
3015.07,8352693,8199687,16370460,9450964,4168,109788,23996,64824,42045,499872,2245,65080,15150,124440
4019.23,8353290,8200274,16370460,9450964,4168,109788,23997,64824,42048,499872,2245,65080,15152,124440
5022.58,8353889,8200866,16370460,9450964,4168,109788,23998,64824,42051,499872,2245,65080,15153,124440
6026.25,8354488,8201457,16370460,9450964,4168,109788,24000,64824,42054,499872,2245,65080,15154,124440
7030.52,8355086,8202050,16370460,9450964,4169,109788,24002,64824,42056,499872,2245,65080,15155,124440
8035.38,8355685,8202642,16370460,9450964,4169,109788,24002,64824,42058,499872,2246,65080,15156,124440
9041.15,8356285,8203230,16370460,9449816,4169,109788,24004,64952,42061,499872,2246,65080,15157,124440
10046.4,8356883,8203821,16370460,9449920,4169,109788,24005,64952,42064,499872,2246,65080,15158,124440
11049.84,8357481,8204413,16370460,9450092,4169,109788,24005,64952,42067,499872,2246,65080,15159,124440
12054.96,8358078,8205001,16370460,9450288,4170,109788,24008,65080,42069,499872,2246,65080,15160,124440
13058.95,8358678,8205590,16370460,9450344,4170,109788,24011,65080,42074,499872,2246,65080,15161,124440
14062.08,8359274,8206179,16370460,9450344,4170,109788,24013,65080,42077,499872,2246,65080,15162,124440
15065.58,8359872,8206771,16370460,9450344,4170,109788,24013,65208,42080,499872,2246,65080,15164,124440
16069.48,8360469,8207363,16370460,9450344,4171,109788,24015,65208,42083,499872,2246,65080,15164,124440
17074.72,8361069,8207953,16370460,9450344,4172,109788,24017,65208,42087,499872,2247,65080,15166,124440
18078.68,8361668,8208546,16370460,9450344,4172,109788,24019,65208,42089,499872,2247,65080,15167,124440
19083.03,8362266,8209130,16370460,9452736,4172,109788,24020,65208,42092,499872,2247,65080,15168,124440
20087.12,8362865,8209719,16370460,9452744,4172,109788,24021,66104,42095,499872,2248,65080,15170,124440
21092.84,8363463,8210311,16370460,9452744,4172,109788,24023,66104,42098,499872,2248,65080,15170,124440
22097.84,8364061,8210901,16370460,9452744,4173,109788,24024,66104,42100,499872,2248,65080,15172,124440
23100.91,8364659,8211489,16370460,9452744,4173,109788,24026,66104,42103,499872,2248,65080,15172,124440
24105.2,8365257,8212078,16370460,9452744,4173,109788,24028,66104,42106,499872,2248,65080,15174,124440
25107.84,8365855,8212669,16370460,9452744,4173,109788,24029,66104,42110,499872,2248,65080,15175,124440
26111.67,8366453,8213261,16370460,9452744,4173,109788,24030,66104,42113,499872,2248,65080,15176,124440
27115.27,8367052,8213854,16370460,9452744,4174,109788,24031,66104,42115,499872,2248,65080,15177,124440
28119.63,8367650,8214445,16370460,9452744,4175,109788,24033,66104,42118,499872,2248,65080,15178,124440
29123.51,8368247,8215031,16370460,9464468,4175,109788,24035,66488,42121,499872,2248,65080,15180,124440
30127.97,8368844,8215615,16370460,9463588,4175,109788,24037,66616,42125,499872,2249,65080,15181,124440
31130.78,8369437,8216193,16370460,9463084,4175,109788,24038,66616,42128,499872,2249,65080,15181,124440
32133.76,8370031,8216769,16370460,9463084,4176,109788,24039,66744,42131,499872,2249,65080,15183,124440
33137.2,8370626,8217344,16370460,9462832,4176,109788,24041,66744,42134,499872,2249,65080,15184,124440
34140.61,8371221,8217917,16370460,9462832,4176,109788,24043,66744,42136,499872,2249,65080,15187,124440
35144.74,8371816,8218494,16370460,9462076,4176,109788,24044,66744,42139,499872,2249,65080,15188,124440
36153.07,8372414,8219076,16370460,9462076,4177,109788,24046,66744,42141,499872,2249,65080,15190,124440
37156.08,8373007,8219654,16370460,9462076,4177,109788,24046,66744,42143,499872,2249,65080,15190,124440
38159.84,8373605,8220232,16370460,9462076,4178,109788,24047,66744,42146,499872,2249,65080,15192,124440
39163.77,8374201,8220805,16370460,9450488,4178,109788,24049,66500,42149,499872,2251,65080,15193,124440
40167.43,8374795,8221381,16370460,9449984,4178,109788,24051,66500,42151,499872,2251,65080,15194,124440
41171.45,8375389,8221933,16370460,9435580,4178,109788,24052,66500,42180,512928,2251,65080,15195,124440
42175.67,8375983,8222508,16370460,9436792,4178,109788,24052,66500,42183,512928,2251,65080,15196,124440
43181.07,8376578,8223085,16370460,9436588,4179,109788,24054,66500,42186,513056,2251,65080,15197,124440
44186.41,8377174,8223660,16370460,9436088,4180,109788,24057,66732,42190,513312,2251,65080,15198,124440
45191.16,8377768,8224214,16370460,9433328,4180,109788,24065,64800,42198,513824,2251,65080,15201,124440
46196.14,8378357,8224699,16370460,9434164,4180,109788,24074,64900,42208,515232,2252,65080,15203,124440
47199.21,8378954,8225276,16370460,9431288,4180,109788,24076,65028,42211,515360,2252,65080,15204,124440
48206.48,8379553,8225858,16370460,9429276,4181,109788,24076,65028,42214,515360,2252,65080,15204,124440
49212.65,8380149,8226429,16370460,9420472,4182,109788,24078,65028,42216,515488,2253,65080,15206,124440
50215.27,8380744,8227005,16370460,9420472,4182,109788,24078,65028,42218,515488,2254,65080,15207,124440
51218.03,8381341,8227587,16370460,9420472,4182,109788,24080,65028,42222,515488,2254,65080,15208,124440
52220.97,8381937,8228165,16370460,9420900,4182,109788,24081,65028,42224,515488,2254,65080,15209,124440
53224.38,8382532,8228744,16370460,9422376,4183,109788,24082,65156,42227,515488,2254,65080,15211,124440
54228.89,8383132,8229324,16370460,9422712,4183,109788,24084,65284,42230,515616,2254,65080,15212,124440
55231.74,8383729,8229905,16370460,9423004,4183,109788,24085,65284,42234,515616,2254,65080,15213,124440
56236.77,8384325,8230486,16370460,9423004,4184,109788,24087,65284,42236,515744,2254,65080,15214,124440
57238.91,8384922,8231068,16370460,9422504,4184,109788,24088,65284,42239,515872,2254,65080,15215,124440
58241.96,8385516,8231648,16370460,9422700,4184,109788,24089,65284,42243,516000,2254,65080,15217,124440
59246.21,8386112,8232230,16370460,9422756,4184,109788,24091,65284,42244,516000,2254,65080,15217,124440
60251.24,8386709,8232775,16370460,9397844,4185,109788,24101,65856,42255,518944,2255,65080,15220,124440
61254.88,8387300,8233246,16370460,9365996,4185,109788,24110,66680,42265,523936,2255,65080,15223,124440
62258.33,8387896,8233821,16370460,9363736,4185,109788,24113,66680,42267,524448,2255,65080,15223,124440
63263.75,8388495,8234401,16370460,9363736,4187,109788,24114,66808,42271,524448,2255,65080,15225,124440
64269.2,8389093,8234979,16370460,9376536,4187,109788,24117,67064,42274,524576,2255,65080,15226,124440
65273.24,8389689,8235559,16370460,9376288,4188,109788,24118,67064,42275,524832,2256,65080,15226,124440
66276.52,8390287,8236140,16370460,9376288,4188,109788,24119,67064,42279,524960,2257,65080,15228,124440
67280.71,8390883,8236721,16370460,9376288,4188,109788,24120,67064,42281,525216,2257,65080,15229,124440
68285.52,8391482,8237302,16370460,9374284,4188,109788,24122,68984,42286,525600,2257,65080,15230,124440
69287.79,8392075,8237882,16370460,9374036,4188,109788,24123,68984,42287,525600,2257,65080,15232,124440
70292.88,8392671,8238456,16370460,9364484,4188,109788,24124,68984,42291,525856,2257,65080,15233,124440
71296.42,8393269,8239037,16370460,9364484,4190,109788,24125,68984,42294,526112,2257,65080,15234,124440
72300.03,8393866,8239613,16370460,9364484,4190,109788,24127,69112,42297,526368,2257,65080,15235,124440
73303.78,8394461,8240194,16370460,9363728,4190,109788,24128,69112,42300,526496,2257,65080,15237,124440
74307.58,8395058,8240773,16370460,9363728,4190,109788,24129,69112,42303,526624,2257,65080,15238,124440
75313.37,8395655,8241354,16370460,9363224,4191,109788,24131,69240,42306,527136,2257,65080,15239,124440
76316.03,8396252,8241922,16370460,9363224,4191,109788,24132,69240,42322,527512,2258,65080,15240,124440
77318.59,8396846,8242502,16370460,9363224,4191,109788,24133,69240,42326,527512,2258,65080,15241,124440
78321.23,8397443,8243083,16370460,9363224,4192,109788,24136,69240,42329,527512,2258,65080,15243,124440
79323.92,8398036,8243661,16370460,9362972,4192,109788,24136,69368,42332,527512,2258,65080,15244,124440
80327.08,8398630,8244237,16370460,9363228,4192,109788,24137,69368,42334,527512,2258,65080,15244,124440
81330.65,8399226,8244820,16370460,9363228,4192,109788,24139,69368,42337,527512,2259,65080,15246,124440
82333.82,8399822,8245393,16370460,9360764,4192,109788,24142,69368,42339,527512,2259,65080,15247,124440
83337.52,8400418,8245973,16370460,9360764,4192,109788,24143,69368,42342,527512,2259,65080,15248,124440
84340.63,8401014,8246553,16370460,9360764,4193,109788,24144,67768,42344,527640,2259,65080,15249,124440
85344.0,8401611,8247134,16370460,9360764,4193,109788,24145,67896,42348,527640,2260,65080,15250,124440
86346.4,8402207,8247717,16370460,9360764,4193,109788,24146,67896,42350,527640,2260,65080,15251,124440
87349.89,8402804,8248298,16370460,9360512,4194,109788,24148,67896,42354,527640,2260,65080,15253,124440
88353.25,8403401,8248880,16370460,9360512,4194,109788,24149,67896,42357,527640,2260,65080,15254,124440
89357.81,8403998,8249463,16370460,9360260,4194,109788,24151,67896,42359,527640,2260,65080,15255,124440
90362.33,8404596,8250039,16370460,9359252,4194,109788,24152,68024,42362,527640,2260,65080,15255,124440
91366.99,8405191,8250619,16370460,9359252,4195,109788,24153,68024,42365,527640,2260,65080,15257,124440
92371.72,8405787,8251195,16370460,9359252,4195,109788,24155,68152,42368,527640,2260,65080,15258,124440
93376.46,8406386,8251778,16370460,9359252,4195,109788,24157,68152,42370,527640,2260,65080,15259,124440
94380.54,8406982,8252356,16370460,9359252,4196,109788,24158,68280,42373,527640,2260,65080,15259,124440
95385.58,8407577,8252939,16370460,9359252,4196,109788,24160,68280,42375,527640,2260,65080,15261,124440
96392.34,8408175,8253524,16370460,9359004,4196,109788,24160,68280,42377,527640,2260,65080,15262,124440
97398.32,8408772,8254108,16370460,9359004,4196,109788,24161,68280,42379,527640,2260,65080,15263,124440
98401.47,8409366,8254688,16370460,9359004,4196,109788,24164,68536,42383,527640,2260,65080,15265,124440
99407.14,8409963,8255269,16370460,9359004,4197,109788,24166,68536,42386,527640,2261,65080,15266,124440
100411.71,8410562,8255844,16370460,9358260,4197,109788,24166,68536,42389,527640,2261,65080,15266,124440
101416.67,8411158,8256423,16370460,9357280,4198,109788,24170,68308,42391,527640,2261,65080,15268,124440
102419.73,8411754,8257000,16370460,9357280,4198,109788,24172,68308,42395,527640,2262,65080,15269,124440
103422.61,8412350,8257582,16370460,9357280,4198,109788,24174,68308,42398,527640,2262,65080,15270,124440
104425.34,8412946,8258159,16370460,9356524,4198,109788,24176,69576,42402,527640,2262,65080,15271,124440
105429.45,8413543,8258742,16370460,9356272,4199,109788,24177,69576,42405,527640,2262,65080,15272,124696
106432.06,8414138,8259324,16370460,9356272,4199,109788,24178,69576,42407,527640,2262,65080,15274,124696
107435.11,8414735,8259907,16370460,9356272,4199,109788,24180,69576,42409,527640,2262,65080,15275,124696
108438.61,8415329,8260486,16370460,9356272,4199,109788,24181,69704,42413,527640,2262,65080,15276,124696
109442.93,8415926,8261064,16370460,9356020,4201,109788,24183,69704,42416,527640,2262,65080,15277,124696
110447.11,8416522,8261643,16370460,9355800,4201,109788,24185,69704,42418,527640,2262,65080,15278,124696
111450.21,8417117,8262221,16370460,9341688,4201,109788,24185,69704,42420,527640,2262,65080,15279,124696
112453.81,8417713,8262799,16370460,9342616,4201,109788,24187,69704,42423,527640,2263,65080,15281,124824
113458.73,8418311,8263378,16370460,9344528,4201,109788,24189,69704,42427,527640,2263,65080,15282,124824
114462.83,8418910,8263957,16370460,9345784,4202,109788,24191,69704,42431,527640,2263,65080,15283,125208
115467.7,8419507,8264538,16370460,9346660,4202,109788,24191,69704,42433,527640,2263,65080,15285,125208
116472.88,8420104,8265122,16370460,9346960,4202,109788,24193,69704,42435,527640,2263,65080,15285,125208
117478.97,8420702,8265705,16370460,9346960,4202,109788,24193,69704,42438,527640,2263,65080,15286,125208
118483.92,8421299,8266287,16370460,9346960,4202,109788,24195,69704,42441,527640,2263,65080,15288,125208
119488.55,8421895,8266867,16370460,9346456,4203,109788,24196,69832,42444,527640,2263,65080,15289,125336
120492.9,8422490,8267445,16370460,9346456,4203,109788,24198,69832,42447,527640,2264,65080,15291,125336
121496.78,8423089,8268032,16370460,9355304,4204,109788,24198,69832,42450,527640,2264,65080,15292,125336
122500.48,8423686,8268620,16370460,9355052,4204,109788,24201,69960,42453,527640,2264,65080,15292,125336
123503.74,8424284,8269211,16370460,9355052,4204,109788,24202,70088,42455,527640,2265,65080,15294,125336
124507.12,8424880,8269796,16370460,9355052,4204,109788,24205,68472,42458,527640,2265,65080,15295,125336
125512.84,8425480,8270389,16370460,9355052,4204,109788,24205,68472,42460,527640,2265,65080,15296,125336
126517.42,8426079,8270980,16370460,9355052,4204,109788,24206,68472,42463,527640,2265,65080,15298,125464
127521.98,8426678,8271574,16370460,9355052,4204,109788,24207,68472,42466,527640,2265,65080,15299,125464
128527.08,8427276,8272164,16370460,9355052,4206,109788,24209,68472,42469,527640,2265,65080,15300,125464
129531.95,8427874,8272754,16370460,9355052,4206,109788,24210,68600,42473,527640,2265,65080,15301,125464
130537.48,8428473,8273344,16370460,9355052,4206,109788,24211,68600,42475,527640,2266,65080,15303,125464
131541.41,8429071,8273932,16370460,9354800,4206,109788,24212,68600,42478,527640,2266,65080,15303,125464
132545.76,8429668,8274518,16370460,9354800,4206,109788,24214,68600,42480,527640,2267,65080,15305,125464
133550.46,8430267,8275110,16370460,9354800,4206,109788,24216,68600,42483,527640,2267,65080,15306,125464
134556.53,8430866,8275700,16370460,9354800,4207,109788,24217,68368,42487,527640,2267,65080,15307,125464
135560.11,8431463,8276287,16370460,9354296,4207,109788,24218,68368,42491,527640,2267,65080,15309,125976
136565.88,8432061,8276879,16370460,9354296,4208,109788,24220,68368,42493,527640,2267,65080,15310,125976
137571.0,8432661,8277470,16370460,9354296,4208,109788,24222,70032,42496,527640,2267,65080,15311,125976
138576.33,8433259,8278060,16370460,9354296,4208,109788,24223,70160,42500,527640,2267,65080,15312,125976
139580.0,8433856,8278647,16370460,9354044,4209,109788,24226,70160,42503,527640,2267,65080,15314,126104
140585.58,8434455,8279233,16370460,9353792,4209,109788,24228,70160,42506,527640,2267,65080,15314,126104
141590.64,8435053,8279820,16370460,9340952,4209,109788,24230,70160,42508,527640,2267,65080,15316,126104
142596.05,8435651,8280410,16370460,9349016,4209,109788,24231,70160,42510,527640,2267,65080,15316,126104
143600.33,8436249,8281000,16370460,9348764,4209,109788,24233,70160,42513,527640,2268,65080,15318,126104
144606.82,8436851,8281589,16370460,9348764,4210,109788,24234,70160,42518,527640,2269,65080,15320,126872
145615.88,8437451,8282181,16370460,9348764,4210,109788,24235,70160,42521,527640,2269,65080,15321,127000
146619.46,8438051,8282773,16370460,9348764,4210,109788,24237,70160,42524,527640,2269,65080,15322,127128
147623.64,8438649,8283366,16370460,9348764,4211,109788,24237,70160,42527,527640,2269,65080,15323,127128
148629.73,8439249,8283957,16370460,9348764,4211,109788,24238,70160,42530,527640,2269,65080,15325,127128
149642.75,8439852,8284552,16370460,9348764,4211,109788,24241,70160,42533,527640,2269,65080,15325,127256
150645.28,8440449,8285136,16370460,9348764,4211,109788,24242,70160,42536,527640,2269,65080,15327,127384
151648.82,8441046,8285721,16370460,9349016,4212,109788,24244,70160,42539,527640,2269,65080,15329,127384
152652.44,8441642,8286309,16370460,9348776,4212,109788,24247,70160,42542,527640,2270,65080,15329,127384
153656.52,8442240,8286899,16370460,9348776,4213,109788,24247,70160,42545,527640,2270,65080,15330,127384
154660.74,8442836,8287483,16370460,9348272,4214,109788,24249,68388,42548,527640,2270,65080,15333,127384
155664.99,8443435,8288076,16370460,9348272,4214,109788,24250,68388,42551,527640,2270,65080,15334,127384
156670.9,8444034,8288670,16370460,9352292,4214,109788,24251,68388,42552,527640,2270,65080,15336,127384
157675.69,8444633,8289265,16370460,9352292,4214,109788,24251,68388,42555,527640,2270,65080,15337,127384
158680.42,8445230,8289853,16370460,9351548,4214,109788,24253,68388,42558,527640,2270,65080,15338,127384
159683.93,8445829,8290441,16370460,9351296,4214,109788,24256,68516,42562,527640,2270,65080,15340,127384
160686.54,8446427,8291026,16370460,9351296,4215,109788,24258,68516,42565,527640,2270,65080,15342,127384
161690.11,8447026,8291618,16370460,9351296,4215,109788,24258,68516,42568,527640,2271,65080,15342,127384
162695.05,8447624,8292202,16370460,9351956,4215,109788,24260,68516,42570,527640,2271,65080,15344,127384
163699.18,8448223,8292788,16370460,9351704,4216,109788,24264,68516,42574,527640,2271,65080,15344,127384
164702.82,8448820,8293378,16370460,9351704,4217,109788,24266,68516,42576,527640,2272,65080,15346,127384
165707.69,8449418,8293970,16370460,9351704,4217,109788,24267,68516,42579,527640,2272,65080,15348,127512
166714.25,8450019,8294564,16370460,9351704,4217,109788,24267,68516,42582,527640,2272,65080,15349,127512
167719.02,8450620,8295157,16370460,9351704,4217,109788,24268,68516,42584,527640,2272,65080,15350,127512
168723.93,8451220,8295746,16370460,9351704,4217,109788,24270,68516,42587,527640,2273,65080,15351,127512
169728.45,8451816,8296334,16370460,9351704,4217,109788,24272,68516,42590,527640,2273,65080,15352,127512
170732.55,8452416,8296922,16370460,9353764,4218,109788,24273,68516,42593,527640,2273,65080,15352,127512
171738.84,8453014,8297513,16370460,9353764,4218,109788,24275,68516,42596,527640,2273,65080,15354,127512
172744.69,8453612,8298100,16370460,9347812,4219,109788,24276,68644,42599,527640,2273,65080,15354,127512
173750.39,8454210,8298688,16370460,9347812,4219,109788,24278,68428,42602,527640,2273,65080,15357,127512
174755.55,8454809,8299278,16370460,9351596,4219,109788,24279,68428,42606,527640,2273,65080,15358,127512
175761.31,8455409,8299870,16370460,9351596,4219,109788,24281,68428,42608,527640,2273,65080,15359,127512
176765.18,8456008,8300463,16370460,9351356,4219,109788,24281,68428,42611,527640,2274,65080,15361,127512
177769.75,8456607,8301057,16370460,9351356,4221,109788,24282,68428,42613,527640,2274,65080,15361,127512
178775.32,8457207,8301648,16370460,9352720,4221,109788,24284,70092,42616,527640,2274,65080,15363,127512
179782.0,8457806,8302240,16370460,9352004,4221,109788,24286,70220,42619,527640,2274,65080,15363,127512
180787.21,8458400,8302753,16370460,9363868,4222,109788,24295,68728,42628,527640,2274,65080,15366,127512
181791.64,8458999,8303321,16370460,9370484,4222,109788,24299,68728,42633,527640,2274,65080,15367,127512
182796.66,8459596,8303904,16370460,9378972,4223,109788,24301,68856,42636,527640,2274,65080,15368,127512
183801.46,8460194,8304495,16370460,9378760,4223,109788,24303,68856,42638,527640,2274,65080,15370,127512
184806.41,8460793,8305083,16370460,9378520,4223,109788,24304,68856,42641,527640,2275,65080,15370,127512
185811.18,8461392,8305677,16370460,9378520,4224,109788,24305,68856,42642,527640,2275,65080,15372,127512
186815.21,8461993,8306270,16370460,9378520,4224,109788,24307,68856,42646,527640,2276,65080,15373,127512
187820.0,8462590,8306860,16370460,9378520,4224,109788,24308,68856,42649,527640,2276,65080,15374,127512
188822.22,8463188,8307449,16370460,9378520,4225,109788,24309,68856,42651,527640,2276,65080,15375,127512
189827.71,8463787,8308039,16370460,9378520,4225,109788,24311,68856,42654,527640,2276,65080,15376,127512
190831.93,8464386,8308629,16370460,9378520,4225,109788,24311,68984,42657,527640,2276,65080,15378,127512
191835.32,8464984,8309219,16370460,9378520,4225,109788,24314,68984,42660,527640,2276,65080,15379,127512
192839.61,8465580,8309804,16370460,9379052,4225,109788,24315,68984,42663,527640,2276,65080,15379,127512
193844.52,8466179,8310393,16370460,9379092,4226,109788,24318,68568,42666,527640,2276,65080,15381,127512
194849.35,8466775,8310983,16370460,9379092,4227,109788,24320,68568,42669,527640,2277,65080,15382,127512
195853.48,8467365,8311469,16370460,9412100,4227,109788,24330,68828,42693,512480,2277,65080,15385,127512
196858.38,8467962,8312040,16370460,9410600,4227,109788,24336,68688,42699,512480,2277,65080,15387,127512
197863.88,8468558,8312629,16370460,9410600,4227,109788,24337,68688,42702,512480,2278,65080,15388,127512
198868.58,8469157,8313221,16370460,9410600,4228,109788,24338,68688,42705,512480,2278,65080,15389,127512
199873.45,8469756,8313811,16370460,9410600,4228,109788,24340,68688,42708,512480,2278,65080,15390,127512
200880.72,8470354,8314399,16370460,9410600,4228,109788,24341,68688,42711,512480,2278,65080,15391,127512
201882.83,8470952,8314987,16370460,9410600,4228,109788,24343,68688,42713,512480,2278,65080,15393,127512
202884.16,8471547,8315570,16370460,9417644,4229,109788,24345,68688,42717,512480,2278,65080,15393,127512
203886.91,8472143,8316155,16370460,9417644,4230,109788,24346,68816,42720,512480,2279,65080,15395,127512
204890.42,8472739,8316745,16370460,9417644,4230,109788,24349,68816,42724,512480,2279,65080,15396,127512
205894.26,8473339,8317335,16370460,9417644,4230,109788,24350,68816,42728,512480,2279,65080,15398,127512
206898.57,8473936,8317929,16370460,9417644,4231,109788,24351,68816,42729,512480,2279,65080,15399,127512
207901.1,8474534,8318521,16370460,9417644,4231,109788,24352,68816,42731,512480,2279,65080,15400,127512
208904.47,8475132,8319111,16370460,9417644,4231,109788,24353,68816,42734,512480,2279,65080,15401,127512
209907.84,8475729,8319700,16370460,9417644,4231,109788,24355,68816,42738,512480,2279,65080,15403,127512
210912.85,8476329,8320288,16370460,9417644,4232,109788,24356,69072,42742,512480,2280,65080,15405,127512
211917.2,8476926,8320877,16370460,9417896,4232,109788,24357,69072,42744,512480,2280,65080,15405,127512
212920.68,8477525,8321469,16370460,9417896,4232,109788,24358,69200,42747,512480,2280,65080,15406,127512
213923.72,8478122,8322052,16370460,9408320,4233,109788,24361,68976,42749,512480,2280,65080,15408,127512
214927.35,8478721,8322645,16370460,9408952,4233,109788,24362,68976,42752,512480,2281,65080,15409,127512
215931.02,8479320,8323238,16370460,9410496,4233,109788,24362,68976,42754,512480,2281,65080,15409,127512
216934.5,8479919,8323828,16370460,9410496,4233,109788,24366,70768,42757,512480,2281,65080,15411,127512
217937.53,8480515,8324418,16370460,9412488,4234,109788,24367,70768,42760,512480,2281,65080,15412,127512
218941.13,8481115,8325009,16370460,9413312,4234,109788,24368,70768,42763,512480,2281,65080,15413,127512
219946.14,8481714,8325599,16370460,9413312,4234,109788,24369,70768,42766,512480,2281,65080,15414,127512
220950.17,8482311,8326186,16370460,9413312,4234,109788,24371,70768,42770,512480,2281,65080,15416,127512
221955.65,8482912,8326777,16370460,9413312,4235,109788,24372,70768,42772,512480,2281,65080,15417,127512
222960.77,8483511,8327369,16370460,9413312,4235,109788,24374,70768,42775,512480,2281,65080,15418,127512
223965.63,8484107,8327953,16370460,9421220,4236,109788,24377,70760,42778,512480,2282,65080,15418,127512
224970.96,8484705,8328545,16370460,9421220,4236,109788,24378,70760,42782,512480,2282,65080,15420,127512
225976.04,8485303,8329135,16370460,9421220,4236,109788,24379,70760,42785,512480,2282,65080,15422,127512
226979.9,8485903,8329727,16370460,9420968,4236,109788,24380,71656,42788,512480,2282,65080,15423,127512
227983.74,8486501,8330319,16370460,9420968,4236,109788,24382,71656,42790,512480,2282,65080,15424,127512
228988.6,8487099,8330907,16370460,9420212,4238,109788,24384,71656,42793,512480,2282,65080,15426,127512
229992.43,8487697,8331497,16370460,9420212,4238,109788,24385,71656,42796,512480,2282,65080,15426,127512
230998.23,8488294,8332088,16370460,9420212,4238,109788,24387,71656,42798,512480,2282,65080,15428,127512
232002.56,8488892,8332677,16370460,9420212,4238,109788,24388,71656,42800,512480,2282,65080,15428,127512
233008.41,8489492,8333268,16370460,9420212,4238,109788,24389,71656,42803,512480,2283,65080,15430,127512
234013.62,8490089,8333852,16370460,9431348,4239,109788,24391,70152,42807,512480,2283,65080,15431,127512
235016.54,8490680,8334418,16370460,9424520,4240,109788,24393,70152,42811,512480,2284,65080,15432,127512
236021.76,8491279,8335009,16370460,9424772,4240,109788,24395,68732,42814,512480,2284,65080,15433,127512
237024.19,8491877,8335603,16370460,9424772,4240,109788,24395,68732,42817,512480,2284,65080,15435,127512
238027.86,8492473,8336194,16370460,9424800,4240,109788,24397,68732,42819,512480,2284,65080,15435,127512
239032.1,8493071,8336784,16370460,9424800,4240,109788,24399,69756,42822,512480,2284,65080,15437,127512
240038.62,8493672,8337377,16370460,9424800,4240,109788,24401,69884,42825,512480,2284,65080,15438,127512
241045.0,8494270,8337967,16370460,9424800,4241,109788,24402,69884,42828,512480,2284,65080,15439,127512
242049.2,8494869,8338555,16370460,9424800,4241,109788,24405,69884,42831,512480,2284,65080,15441,127512
243054.54,8495468,8339147,16370460,9424800,4241,109788,24407,69884,42833,512480,2284,65080,15441,127512
244060.75,8496068,8339731,16370460,9424268,4242,109788,24409,69884,42837,512480,2284,65080,15442,127512
245065.7,8496666,8340323,16370460,9424016,4243,109788,24410,69884,42839,512480,2284,65080,15444,127512
