response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2945,0.0904,0.0000,0.0000,0.2039,0.0001,200,0.1036
0.2946,0.0903,0.0000,0.0001,0.2040,0.0001,200,0.1034
0.2947,0.0901,0.0000,0.0001,0.2041,0.0002,200,0.1035
0.2948,0.0903,0.0000,0.0001,0.2043,0.0001,200,0.1033
0.2946,0.0904,0.0000,0.0000,0.2041,0.0001,200,0.1036
0.2950,0.0903,0.0000,0.0001,0.2045,0.0001,200,0.1033
0.3464,0.2944,0.0000,0.0002,0.0518,0.0001,200,0.1037
0.3464,0.2943,0.0000,0.0001,0.0518,0.0001,200,0.1038
0.3608,0.2944,0.0000,0.0001,0.0662,0.0001,200,0.1037
0.3609,0.2945,0.0000,0.0001,0.0662,0.0001,200,0.1037
0.0708,0.0154,0.0000,0.0000,0.0552,0.0001,200,0.3982
0.0839,0.0156,0.0000,0.0000,0.0682,0.0000,200,0.3982
0.0849,0.0157,0.0000,0.0000,0.0692,0.0001,200,0.3981
0.0949,0.0157,0.0000,0.0000,0.0790,0.0001,200,0.3981
0.0947,0.0155,0.0000,0.0000,0.0791,0.0000,200,0.3983
0.1060,0.0161,0.0000,0.0000,0.0898,0.0001,200,0.3983
0.0838,0.0187,0.0000,0.0001,0.0650,0.0001,200,0.4501
0.0881,0.0187,0.0000,0.0000,0.0693,0.0001,200,0.4502
0.0565,0.0222,0.0000,0.0000,0.0342,0.0001,200,0.4820
0.1011,0.0396,0.0000,0.0001,0.0614,0.0001,200,0.4647
0.0968,0.0353,0.0000,0.0000,0.0614,0.0001,200,0.4690
0.0828,0.0212,0.0000,0.0001,0.0615,0.0000,200,0.4830
0.0729,0.0187,0.0000,0.0000,0.0540,0.0001,200,0.4929
0.1013,0.0397,0.0000,0.0000,0.0615,0.0000,200,0.4645
0.0731,0.0187,0.0000,0.0000,0.0543,0.0001,200,0.4930
0.0931,0.0295,0.0000,0.0000,0.0634,0.0000,200,0.5043
0.0829,0.0317,0.0000,0.0001,0.0510,0.0000,200,0.5339
0.0829,0.0275,0.0000,0.0001,0.0552,0.0000,200,0.5383
0.0884,0.0273,0.0000,0.0000,0.0610,0.0001,200,0.5385
0.0718,0.0204,0.0000,0.0000,0.0513,0.0001,200,0.5658
0.0816,0.0205,0.0000,0.0000,0.0610,0.0000,200,0.5657
0.0816,0.0205,0.0000,0.0000,0.0610,0.0001,200,0.5657
0.0881,0.0203,0.0000,0.0001,0.0676,0.0000,200,0.5659
0.1036,0.0203,0.0000,0.0000,0.0832,0.0001,200,0.5661
0.1039,0.0204,0.0000,0.0000,0.0834,0.0000,200,0.5658
0.0943,0.0132,0.0000,0.0001,0.0810,0.0000,200,0.6035
