time,total,idle,mem_total,mem_free,2559/cpu,2559/rss
1007.21,5669490,5485660,3887864,986748,47922,184616
2008.04,5669889,5486056,3887864,988840,47923,184616
3008.82,5670282,5486423,3887864,988104,47928,184616
4009.64,5670683,5486803,3887864,979480,47931,184616
5010.29,5671080,5487195,3887864,990796,47933,184616
6012.33,5671480,5487584,3887864,991084,47937,184616
7014.23,5671881,5487974,3887864,991112,47940,184616
8015.82,5672280,5488366,3887864,990632,47942,184616
9017.43,5672677,5488756,3887864,990884,47945,184616
10019.02,5673075,5489144,3887864,991136,47949,184616
11026.8,5673474,5489526,3887864,991136,47956,184616
12028.34,5673872,5489916,3887864,991136,47959,184616
13029.76,5674273,5490307,3887864,991136,47962,184616
14031.25,5674669,5490693,3887864,991168,47968,184616
15032.08,5675064,5491064,3887864,991540,47971,184616
16032.8,5675462,5491453,3887864,991540,47973,184616
17033.44,5675862,5491850,3887864,991540,47974,184616
18034.08,5676260,5492248,3887864,992044,47975,184616
19034.71,5676660,5492641,3887864,992072,47978,184616
20035.92,5677059,5493028,3887864,991820,47982,184616
21037.47,5677456,5493413,3887864,992216,47987,184616
22038.97,5677857,5493805,3887864,992704,47989,184616
23040.39,5678257,5494196,3887864,992704,47992,184616
24042.24,5678655,5494585,3887864,992972,47997,184616
25043.04,5679049,5494955,3887864,993864,48000,184616
26043.73,5679448,5495345,3887864,993864,48002,184616
27044.39,5679848,5495742,3887864,993864,48004,184616
28045.05,5680248,5496138,3887864,994172,48005,184616
29045.68,5680647,5496536,3887864,994172,48006,184616
30046.83,5681045,5496918,3887864,994424,48018,184616
31048.6,5681444,5497297,3887864,994200,48022,184616
32050.18,5681825,5497642,3887864,993816,48025,184616
33051.47,5682205,5497990,3887864,993360,48028,184616
34053.22,5682585,5498335,3887864,993644,48034,184616
35054.15,5682968,5498670,3887864,990208,48037,184616
36054.91,5683354,5499032,3887864,990208,48039,184616
37055.73,5683746,5499397,3887864,990208,48042,184620
38056.92,5684137,5499777,3887864,990668,48044,184620
39057.76,5684528,5500151,3887864,990228,48045,184620
40059.04,5684919,5500512,3887864,989956,48048,184620
41060.43,5685308,5500852,3887864,990080,48053,184620
42062.2,5685694,5501207,3887864,989932,48056,184620
43063.59,5686082,5501561,3887864,989728,48058,184620
44065.01,5686471,5501904,3887864,989576,48064,184620
45066.01,5686858,5502232,3887864,980788,48067,184620
46066.86,5687251,5502597,3887864,988912,48069,184620
47068.01,5687635,5502861,3887864,972408,48085,185064
48068.8,5688021,5503136,3887864,966024,48094,185064
49070.64,5688403,5503437,3887864,959108,48105,185200
50071.89,5688797,5503720,3887864,953372,48118,185204
51075.56,5689184,5504064,3887864,959996,48124,185204
52077.16,5689583,5504418,3887864,960188,48126,185204
53078.56,5689973,5504745,3887864,962524,48131,185204
54080.01,5690359,5505080,3887864,962708,48138,185204
55086.96,5690754,5505425,3887864,964068,48142,185204
56087.84,5691142,5505767,3887864,964136,48145,185204
57088.66,5691536,5506130,3887864,964280,48147,185204
58089.56,5691930,5506505,3887864,964804,48148,185204
59090.42,5692323,5506878,3887864,964900,48150,185204
60094.64,5692718,5507252,3887864,965204,48152,185204
61095.79,5693100,5507586,3887864,965200,48156,185204
62096.78,5693486,5507836,3887864,954076,48175,185484
63097.63,5693876,5508143,3887864,932108,48181,185504
64100.07,5694262,5508372,3887864,931012,48202,185520
65101.07,5694650,5508665,3887864,929528,48214,185520
66101.92,5695046,5509003,3887864,925312,48218,185520
67103.24,5695437,5509356,3887864,926584,48220,185520
68105.05,5695831,5509708,3887864,928052,48223,185520
69106.37,5696218,5510042,3887864,929852,48225,185520
70107.73,5696603,5510379,3887864,930664,48229,185520
71109.27,5696993,5510722,3887864,931452,48234,185520
72110.85,5697384,5511072,3887864,933608,48237,185520
73112.44,5697774,5511412,3887864,933760,48239,185520
74113.96,5698159,5511746,3887864,934264,48248,185520
75115.45,5698545,5512092,3887864,935280,48252,185520
76117.18,5698939,5512416,3887864,942716,48256,185520
77118.1,5699330,5512780,3887864,942464,48258,185520
78118.97,5699720,5513144,3887864,942464,48260,185520
79119.8,5700115,5513511,3887864,942460,48261,185520
80120.62,5700502,5513877,3887864,943216,48263,185520
81122.11,5700898,5514234,3887864,942640,48272,185528
82123.44,5701282,5514570,3887864,943112,48274,185528
83124.93,5701673,5514915,3887864,942452,48278,185528
84126.51,5702057,5515257,3887864,942344,48284,185528
85127.99,5702449,5515606,3887864,942320,48288,185528
86129.03,5702838,5515916,3887864,935568,48293,185528
87129.88,5703232,5516288,3887864,941968,48294,185528
88130.72,5703619,5516656,3887864,941464,48295,185528
89131.54,5704014,5517028,3887864,941384,48297,185528
90132.36,5704404,5517384,3887864,941636,48300,185528
91133.85,5704796,5517746,3887864,941340,48303,185528
92135.23,5705183,5518094,3887864,941340,48305,185528
93136.67,5705575,5518442,3887864,942144,48310,185528
94138.14,5705958,5518768,3887864,941136,48319,185528
95139.41,5706348,5519114,3887864,941588,48323,185528
96140.79,5706735,5519454,3887864,942432,48328,185528
97141.63,5707128,5519796,3887864,939212,48332,185528
98142.33,5707524,5520161,3887864,938960,48333,185528
99143.06,5707919,5520526,3887864,938960,48335,185528
100143.85,5708312,5520893,3887864,939324,48338,185528
101144.61,5708708,5521261,3887864,938568,48340,185528
102145.94,5709095,5521598,3887864,938156,48343,185528
103147.38,5709484,5521946,3887864,937932,48346,185528
104148.97,5709866,5522288,3887864,938316,48354,185528
105150.62,5710257,5522636,3887864,938008,48356,185528
106152.04,5710639,5522967,3887864,937248,48362,185528
107152.95,5711033,5523298,3887864,935220,48370,185528
108153.8,5711425,5523669,3887864,935220,48372,185528
109154.66,5711818,5524037,3887864,935220,48374,185528
110155.38,5712210,5524400,3887864,935380,48377,185528
111156.15,5712599,5524761,3887864,935416,48379,185528
112157.53,5712988,5525114,3887864,935732,48381,185528
113159.21,5713379,5525447,3887864,935068,48387,185528
114161.02,5713765,5525786,3887864,934644,48394,185528
115162.9,5714151,5526128,3887864,934732,48399,185528
116166.04,5714541,5526466,3887864,934868,48404,185528
117168.07,5714935,5526802,3887864,931396,48406,185528
118168.89,5715328,5527172,3887864,931488,48408,185528
119169.71,5715726,5527536,3887864,931932,48409,185528
120170.58,5716118,5527903,3887864,931868,48412,185528
121171.35,5716514,5528279,3887864,932316,48415,185528
122172.87,5716915,5528675,3887864,932396,48416,185528
