time,sent,received,total
2.41,81769.28,467400.13,536.3
1003.12,81778.81,467402.48,536.31
2003.81,81791.27,467403.28,536.32
3004.5,81793.79,467404.83,536.33
4005.19,81793.98,467404.94,536.33
5005.83,81794.54,467407.42,536.33
6006.48,81796.77,467409.05,536.33
7007.5,81797.08,467409.29,536.33
8008.26,81797.22,467409.4,536.33
9008.87,81797.62,467409.79,536.33
10009.52,81800.9,467410.0,536.34
11010.22,81801.13,467410.26,536.34
12010.91,81801.75,467410.74,536.34
13011.8,81805.42,467414.07,536.35
14012.53,81806.17,467414.33,536.35
15013.5,81806.17,467414.39,536.35
16014.39,81808.17,467416.43,536.35
17015.1,81808.39,467416.67,536.35
18015.86,81808.74,467416.83,536.35
19016.9,81809.77,467417.23,536.35
20018.12,81810.37,467418.56,536.36
21018.87,81812.19,467420.12,536.36
22019.52,81812.51,467420.36,536.36
23020.2,81812.8,467420.52,536.36
24020.83,81813.64,467421.83,536.36
25021.49,81815.32,467424.91,536.37
26022.18,81816.2,467425.26,536.37
27022.86,81816.58,467425.5,536.37
28023.5,81818.43,467427.02,536.37
29024.22,81819.12,467427.32,536.37
30024.91,81822.62,467427.48,536.38
31025.9,81884.29,467488.1,536.5
32026.64,81943.67,467547.04,536.61
33027.27,82014.36,467616.64,536.75
34027.89,82100.45,467704.59,536.92
35028.5,82168.13,467773.41,537.05
36029.19,82240.76,467846.12,537.19
37030.17,82305.09,467910.58,537.32
38030.96,82383.25,467990.32,537.47
39031.59,82451.96,468059.35,537.61
40033.5,82519.21,468126.87,537.74
41034.14,82578.41,468187.5,537.86
42034.78,82654.34,468263.49,538.0
43035.76,82682.16,468291.07,538.06
44036.93,82696.57,468305.02,538.09
45037.81,82715.46,468323.46,538.12
46038.53,82811.65,468358.48,538.25
47039.25,82893.09,468421.78,538.39
48040.72,82995.24,468494.95,538.56
49041.58,83071.81,468542.98,538.69
50043.54,83110.28,468582.67,538.76
51044.69,83136.37,468611.06,538.82
52045.56,83164.58,468637.09,538.87
53046.19,83191.17,468663.51,538.92
54046.82,83227.06,468700.61,538.99
55047.45,83257.75,468731.86,539.05
56048.09,83279.42,468752.66,539.09
57049.6,83297.74,468771.62,539.13
58050.56,83331.99,468805.49,539.2
59051.2,83360.2,468834.66,539.25
60051.85,83385.76,468859.45,539.3
61052.52,83475.79,468884.84,539.41
62054.05,83552.8,468926.47,539.53
63055.55,83619.3,468961.64,539.63
64056.31,83688.96,469008.97,539.74
65056.96,83746.34,469043.6,539.83
66057.61,83779.73,469076.37,539.9
67058.26,83811.39,469108.46,539.96
68058.96,83836.82,469133.91,540.01
69059.63,83881.95,469165.23,540.08
70060.22,83916.95,469200.17,540.15
71060.91,83948.11,469231.78,540.21
72061.61,83979.29,469262.45,540.27
73062.25,84006.01,469289.18,540.33
74063.36,84039.26,469321.63,540.39
75064.55,84070.44,469352.48,540.45
76065.35,84100.96,469382.12,540.51
77066.0,84130.46,469411.97,540.57
78066.66,84161.14,469443.19,540.63
79067.31,84202.59,469484.47,540.71
80067.96,84229.98,469512.47,540.76
81068.82,84262.84,469545.38,540.83
82069.63,84293.09,469575.07,540.89
83070.34,84334.24,469617.04,540.97
84071.03,84369.03,469652.13,541.04
85071.97,84396.59,469682.42,541.09
86072.76,84425.68,469711.15,541.15
87073.87,84461.31,469747.59,541.22
88075.02,84492.15,469778.13,541.28
89075.79,84517.69,469803.29,541.33
90076.41,84540.88,469826.1,541.37
91077.05,84584.39,469869.26,541.46
92077.73,84613.74,469898.11,541.51
93078.56,84636.99,469920.38,541.56
94079.77,84659.72,469943.03,541.6
95080.96,84698.06,469982.78,541.68
96081.82,84729.4,470014.35,541.74
97082.5,84768.67,470052.85,541.82
98083.14,84795.53,470079.72,541.87
99083.8,84837.82,470121.34,541.95
100084.44,84867.39,470151.2,542.01
101085.48,84897.05,470181.11,542.07
102086.37,84926.09,470209.71,542.12
103087.04,84961.22,470244.74,542.19
104088.62,84986.57,470270.04,542.24
105089.35,85010.53,470293.49,542.29
106090.01,85042.46,470324.31,542.35
107091.24,85071.19,470354.35,542.41
108092.04,85111.57,470394.29,542.49
109092.68,85143.14,470426.2,542.55
110093.36,85173.86,470458.02,542.61
111094.01,85205.14,470489.27,542.67
112094.66,85245.26,470529.43,542.75
113095.32,85275.75,470559.77,542.81
114095.96,85300.6,470584.56,542.86
115096.68,85338.35,470624.13,542.93
116097.38,85369.34,470654.47,542.99
117098.03,85389.72,470674.89,543.03
118099.06,85417.89,470702.34,543.09
119100.18,85453.02,470738.5,543.16
120100.94,85488.08,470773.38,543.22
121101.58,85497.01,470778.71,543.24
122102.23,85497.83,470779.05,543.24
123102.89,85497.83,470779.11,543.24
124103.61,85498.14,470779.36,543.24
125104.31,85498.79,470781.02,543.24
126105.03,85500.87,470782.54,543.25
127106.27,85503.19,470784.54,543.25
128107.13,85503.67,470784.83,543.25
129107.78,85504.46,470785.27,543.25
130108.78,85504.8,470785.48,543.25
131109.59,85505.16,470785.64,543.25
132110.24,85505.38,470785.93,543.25
133110.89,85506.04,470786.2,543.25
134111.53,85508.35,470787.86,543.26
135112.18,85508.54,470787.97,543.26
136113.08,85508.54,470788.03,543.26
137113.9,85512.6,470790.89,543.26
138114.57,85512.98,470791.05,543.27
139115.22,85513.95,470791.36,543.27
140115.87,85515.12,470793.44,543.27
141116.5,85515.38,470793.74,543.27
142117.8,85517.43,470795.42,543.27
143118.98,85517.59,470795.53,543.27
144119.76,85517.77,470795.64,543.27
145120.42,85528.67,470799.35,543.29
146121.05,85529.78,470799.8,543.29
147121.73,85531.39,470801.04,543.29
148122.51,85532.36,470801.58,543.29
149123.69,85535.09,470804.07,543.3
150124.83,85535.56,470804.43,543.3
151125.61,85535.74,470804.54,543.3
152126.25,85538.55,470806.14,543.3
153126.89,85543.01,470809.54,543.31
154127.54,85543.23,470809.65,543.31
155128.19,85547.34,470813.47,543.32
156129.48,85548.23,470813.91,543.32
157130.42,85551.91,470816.58,543.33
158131.06,85551.91,470816.64,543.33
159132.49,85552.39,470816.88,543.33
160133.21,85552.87,470817.14,543.33
161133.87,85553.09,470817.25,543.33
162134.88,85554.32,470817.79,543.33
163135.69,85554.9,470818.31,543.33
164136.39,85555.88,470818.9,543.33
165137.04,85557.3,470820.36,543.34
166137.71,85557.78,470820.58,543.34
167138.37,85560.14,470822.84,543.34
168139.02,85561.49,470823.77,543.34
169139.66,85561.68,470823.88,543.34
170140.3,85562.37,470825.5,543.35
171140.94,85562.5,470825.79,543.35
172141.97,85564.21,470827.42,543.35
173143.16,85565.11,470827.74,543.35
174144.34,85565.47,470827.9,543.35
175145.12,85567.83,470830.96,543.36
176145.83,85568.59,470831.58,543.36
177146.48,85569.52,470831.97,543.36
178147.13,85570.28,470832.75,543.36
179147.78,85570.97,470833.05,543.36
180148.72,85572.85,470834.65,543.37
181149.52,85573.62,470834.87,543.37
182153.79,85621.53,470836.66,543.42
183154.63,85683.17,470843.44,543.48
184155.36,85869.78,470858.91,543.68
185156.0,85869.94,470860.23,543.68
186156.99,85871.51,470860.47,543.68
187158.3,85873.66,470862.11,543.69
188159.07,85898.74,470865.22,543.71
189159.69,85899.08,470865.38,543.71
190160.32,85899.76,470865.69,543.72
191160.98,85899.92,470865.8,543.72
192161.65,85900.67,470866.42,543.72
193162.64,85901.14,470866.63,543.72
194165.43,85901.76,470866.84,543.72
195166.12,85903.34,470869.38,543.72
196166.77,85903.69,470869.63,543.72
197167.62,85906.13,470871.28,543.73
198168.43,86041.62,470879.41,543.87
199169.36,86044.25,470879.85,543.87
200170.08,86044.94,470881.32,543.87
201170.71,86045.38,470881.54,543.87
202171.34,86047.12,470884.21,543.88
203171.96,86047.35,470884.37,543.88
204172.58,86047.35,470884.43,543.88
205173.28,86049.12,470887.14,543.88
206173.96,86049.77,470887.43,543.88
207174.58,86050.02,470887.67,543.88
208175.21,86051.17,470888.03,543.89
209177.42,86053.14,470889.64,543.89
210178.37,86054.68,470891.06,543.89
211179.47,86055.08,470891.22,543.89
212180.22,86055.82,470891.51,543.89
213180.84,86061.5,470895.64,543.9
214181.55,86062.07,470895.85,543.9
215182.17,86062.55,470897.32,543.91
216182.77,86063.52,470897.58,543.91
217183.67,86066.61,470899.52,543.91
218185.01,86067.45,470900.28,543.91
219186.26,86068.88,470901.5,543.92
220186.9,86069.65,470901.89,543.92
221187.51,86069.78,470902.0,543.92
222188.15,86070.18,470902.29,543.92
223189.12,86070.83,470902.6,543.92
224190.4,86071.64,470902.86,543.92
225191.29,86074.39,470905.55,543.92
226191.91,86074.58,470905.66,543.93
227192.52,86075.39,470906.25,543.93
228193.19,86077.47,470907.72,543.93
229195.15,86079.05,470909.14,543.93
230196.13,86079.75,470910.61,543.94
231196.88,86079.93,470910.72,543.94
232197.57,86081.57,470912.36,543.94
233198.21,86081.79,470912.75,543.94
234198.82,86082.44,470913.1,543.94
235199.46,86084.76,470916.65,543.95
236200.1,86085.14,470916.9,543.95
237200.73,86085.55,470917.27,543.95
238201.36,86086.34,470917.53,543.95
239201.99,86086.79,470917.69,543.95
240202.69,86089.6,470920.07,543.95
241203.69,86089.91,470920.23,543.96
242204.79,86090.38,470920.52,543.96
243205.56,86092.42,470921.97,543.96
244206.19,86092.52,470922.17,543.96
245208.38,86095.39,470925.27,543.96
246209.01,86095.88,470925.51,543.97
247209.68,86096.4,470925.85,543.97
248210.64,86097.85,470927.28,543.97
249211.43,86114.32,470929.75,543.99
250212.1,86115.65,470930.73,543.99
251212.78,86115.9,470930.92,543.99
252213.45,86116.53,470931.35,543.99
253214.07,86116.66,470931.51,543.99
254215.01,86117.93,470932.01,543.99
255217.92,86120.68,470934.56,544.0
256218.68,86120.81,470934.67,544.0
257219.32,86121.25,470935.04,544.0
258219.96,86123.41,470936.36,544.0
259220.59,86123.98,470936.57,544.0
260222.42,86125.21,470938.76,544.01
261223.05,86125.55,470939.0,544.01
262223.68,86126.12,470939.24,544.01
263224.31,86127.53,470940.67,544.01
264224.99,86127.72,470940.72,544.01
265225.78,86129.85,470943.83,544.02
266226.77,86130.04,470943.94,544.02
267227.55,86130.75,470944.33,544.02
268228.19,86131.18,470944.44,544.02
269228.81,86132.73,470945.15,544.02
270231.03,86138.02,470947.69,544.03
271231.7,86139.68,470949.12,544.03
272232.83,86140.35,470949.68,544.03
273233.9,86146.94,470954.91,544.04
274234.53,86147.16,470955.02,544.04
275235.52,86148.47,470958.16,544.05
276236.31,86149.0,470958.37,544.05
277236.94,86149.09,470958.55,544.05
278237.93,86151.01,470960.11,544.05
279239.04,86151.68,470960.37,544.05
280239.8,86152.54,470960.74,544.06
