time,sent,received,total
3.79,77851.42,780048.43,837.79
1004.84,77854.46,780077.15,837.82
2005.51,77855.27,780089.78,837.84
3006.19,77855.43,780089.92,837.84
4006.85,77856.97,780091.08,837.84
5007.45,77857.29,780091.46,837.84
6008.58,77861.17,780093.39,837.85
7009.8,77861.3,780093.84,837.85
8010.88,77861.52,780094.18,837.85
9012.12,77861.58,780094.39,837.85
10013.31,77861.91,780094.67,837.85
11014.49,77862.02,780094.83,837.85
12015.51,77862.22,780095.13,837.85
13016.69,77862.69,780095.59,837.85
14017.93,77866.11,780099.06,837.86
15019.22,77866.31,780099.7,837.86
16019.99,77868.4,780101.64,837.86
17020.6,77868.4,780101.7,837.86
18021.22,77868.56,780101.83,837.86
19021.8,77868.69,780102.34,837.86
20022.41,77869.2,780103.25,837.86
21023.36,77871.92,780105.02,837.87
22024.36,77871.92,780105.08,837.87
23025.48,77872.48,780105.62,837.87
24026.68,77873.74,780105.68,837.87
25027.8,77874.18,780106.77,837.87
26028.54,77877.02,780107.98,837.88
27029.16,77877.37,780108.85,837.88
28029.75,77877.63,780109.16,837.88
29030.36,77879.45,780111.46,837.88
30030.97,77879.57,780111.52,837.88
31032.0,77888.54,780117.83,837.9
32033.05,78035.01,780231.42,838.15
33034.72,78158.85,780325.95,838.36
34036.12,78289.01,780424.35,838.59
35037.0,78408.08,780514.85,838.79
36037.68,78547.45,780618.72,839.03
37038.31,78693.98,780732.9,839.28
38038.99,78818.21,780825.81,839.5
39039.66,78933.39,780913.87,839.69
40040.26,79049.53,781001.58,839.89
41041.09,79203.77,781117.84,840.16
42041.99,79320.14,781206.76,840.36
43042.94,79406.84,781271.82,840.51
44044.11,79444.03,781299.55,840.57
45045.2,79477.47,781326.97,840.63
46045.9,79506.07,781351.25,840.68
47051.24,79559.39,781466.31,840.84
48052.1,79723.42,781604.74,841.14
49052.81,79848.92,781742.99,841.4
50053.44,79937.79,781806.31,841.55
51054.32,80006.71,781856.32,841.66
52055.29,80110.93,781932.5,841.84
53056.54,80193.89,781990.58,841.98
54057.57,80275.44,782049.78,842.11
55058.67,80354.36,782106.73,842.25
56059.74,80450.84,782176.05,842.41
57060.47,80527.77,782230.06,842.54
58061.06,80596.32,782279.88,842.65
59061.68,80670.24,782332.85,842.78
60062.31,80761.23,782398.71,842.93
61062.96,80851.11,782462.33,843.08
62064.23,80936.33,782621.76,843.32
63064.97,81011.68,782678.55,843.45
64065.64,81118.64,782804.25,843.67
65066.28,81228.85,782907.45,843.88
66066.92,81313.34,782969.32,844.03
