time,total,idle,mem_total,mem_free,2559/cpu,2559/rss
1005.41,5900809,5707535,3887864,986808,50025,185824
2006.08,5901208,5707903,3887864,983368,50031,185824
3006.8,5901605,5708292,3887864,985536,50033,185824
4007.45,5902003,5708688,3887864,985536,50036,185824
5008.09,5902398,5709068,3887864,986312,50037,185824
6010.01,5902795,5709460,3887864,986484,50040,185824
7011.29,5903193,5709845,3887864,986768,50045,185824
8019.43,5903593,5710232,3887864,987204,50048,185824
9020.97,5903992,5710623,3887864,987212,50050,185824
10022.44,5904391,5711015,3887864,987020,50054,185824
11023.99,5904788,5711396,3887864,987020,50058,185824
12025.26,5905186,5711782,3887864,987316,50064,185824
13026.7,5905582,5712164,3887864,987728,50070,185824
14028.36,5905982,5712554,3887864,987980,50074,185824
15029.86,5906380,5712948,3887864,987980,50077,185824
16030.62,5906778,5713319,3887864,990000,50080,185824
17031.24,5907178,5713713,3887864,990124,50082,185824
18031.92,5907579,5714109,3887864,991068,50083,185824
19032.61,5907978,5714506,3887864,990820,50084,185824
20033.47,5908377,5714901,3887864,991152,50087,185824
21034.87,5908776,5715294,3887864,992028,50089,185824
22036.04,5909176,5715682,3887864,991736,50094,185824
23037.51,5909574,5716064,3887864,991236,50099,185824
24039.11,5909970,5716455,3887864,990980,50103,185824
25040.5,5910371,5716846,3887864,990980,50105,185824
26041.22,5910771,5717214,3887864,990448,50110,185824
27041.94,5911169,5717603,3887864,990616,50116,185824
28042.65,5911568,5717997,3887864,991120,50117,185824
29043.32,5911970,5718394,3887864,991412,50118,185824
30043.98,5912368,5718791,3887864,991452,50120,185824
31046.01,5912766,5719179,3887864,991540,50122,185824
32047.67,5913150,5719523,3887864,990456,50126,185824
33048.98,5913541,5719864,3887864,989720,50133,185824
34051.8,5913925,5720214,3887864,989968,50136,185824
35052.97,5914313,5720563,3887864,989736,50140,185824
36053.73,5914695,5720891,3887864,989288,50144,185824
37054.53,5915085,5721252,3887864,989288,50147,185824
38055.53,5915479,5721624,3887864,989288,50149,185824
39056.46,5915870,5721997,3887864,989288,50150,185824
40057.17,5916259,5722371,3887864,989560,50152,185824
41058.38,5916647,5722731,3887864,988828,50154,185824
42059.83,5917035,5723086,3887864,988328,50157,185824
43061.24,5917423,5723437,3887864,987824,50165,185824
44062.69,5917811,5723816,3887864,987824,50168,185824
45064.09,5918209,5724197,3887864,987824,50170,185824
46065.02,5918601,5724553,3887864,988380,50175,185824
47065.9,5918993,5724846,3887864,977800,50191,185828
48067.71,5919378,5725085,3887864,960904,50201,185828
49068.78,5919767,5725342,3887864,951252,50219,185868
50069.53,5920159,5725701,3887864,951368,50223,185868
51071.76,5920557,5726072,3887864,953028,50225,185868
52073.03,5920946,5726408,3887864,955048,50229,185868
53074.39,5921335,5726741,3887864,956872,50234,185868
54075.9,5921721,5727083,3887864,958452,50240,185868
55077.88,5922110,5727432,3887864,959744,50243,185868
56081.21,5922504,5727772,3887864,961456,50247,185868
57082.26,5922893,5728110,3887864,963484,50250,185868
58083.03,5923282,5728482,3887864,964064,50252,185868
59083.87,5923670,5728853,3887864,964692,50252,185868
60084.65,5924061,5729222,3887864,965432,50254,185868
61085.48,5924454,5729589,3887864,965784,50255,185868
62086.65,5924838,5729866,3887864,963496,50276,185868
63089.87,5925225,5730122,3887864,944052,50290,185868
64090.64,5925612,5730328,3887864,927320,50309,185868
65091.46,5925999,5730650,3887864,926692,50316,185868
66092.25,5926394,5731014,3887864,930568,50319,185868
67093.29,5926778,5731349,3887864,941756,50323,185868
68096.16,5927168,5731695,3887864,943080,50327,185868
69097.56,5927558,5732035,3887864,944248,50329,185868
70098.82,5927944,5732379,3887864,944568,50333,185868
71100.02,5928330,5732716,3887864,944956,50338,185868
72101.7,5928719,5733057,3887864,945504,50341,185868
73102.65,5929107,5733388,3887864,946240,50350,185868
74103.45,5929495,5733756,3887864,946328,50351,185868
75104.2,5929886,5734131,3887864,947272,50353,185868
76104.92,5930282,5734507,3887864,947164,50355,185868
77105.68,5930668,5734842,3887864,949556,50359,185932
78106.94,5931057,5735204,3887864,949308,50361,185932
79108.28,5931443,5735544,3887864,949008,50372,185932
80109.57,5931827,5735885,3887864,949080,50380,185932
81110.76,5932220,5736223,3887864,949460,50382,185932
82112.1,5932611,5736567,3887864,949488,50387,185932
83113.07,5933004,5736909,3887864,949604,50391,185932
84113.91,5933398,5737280,3887864,950032,50393,185932
85114.69,5933794,5737640,3887864,950100,50394,185932
86115.48,5934185,5738007,3887864,950032,50397,185932
87116.35,5934580,5738355,3887864,948956,50399,185932
88117.81,5934977,5738722,3887864,948904,50402,185932
89119.13,5935364,5739062,3887864,948652,50405,185932
90120.69,5935754,5739410,3887864,948776,50408,185932
91122.2,5936145,5739761,3887864,948556,50410,185932
92123.5,5936531,5740106,3887864,948884,50416,185932
93125.19,5936917,5740437,3887864,948296,50424,185932
94126.66,5937305,5740779,3887864,949068,50429,185932
95128.57,5937695,5741120,3887864,949068,50432,185932
96130.14,5938081,5741467,3887864,949156,50436,185932
97131.85,5938472,5741798,3887864,948476,50443,185932
98132.85,5938858,5742141,3887864,948552,50445,185932
99135.09,5939247,5742512,3887864,948552,50447,185932
100139.06,5939642,5742884,3887864,948852,50448,185936
101139.85,5940038,5743254,3887864,949140,50448,185936
102140.68,5940430,5743615,3887864,948920,50451,185936
103141.61,5940820,5743947,3887864,948952,50469,185936
104142.5,5941216,5744319,3887864,949424,50470,185936
105143.26,5941609,5744692,3887864,949680,50472,185936
106144.14,5942003,5745057,3887864,949932,50473,185936
107145.01,5942388,5745419,3887864,950060,50477,185936
108146.49,5942778,5745766,3887864,950456,50480,185936
109148.17,5943166,5746117,3887864,951032,50483,185936
110149.22,5943555,5746446,3887864,951084,50490,185936
111150.33,5943945,5746815,3887864,951084,50491,185936
112151.18,5944335,5747183,3887864,951556,50493,185936
113152.01,5944726,5747550,3887864,951364,50496,185936
114152.84,5945123,5747911,3887864,951788,50500,185936
115157.14,5945517,5748277,3887864,951536,50501,185936
116158.56,5945904,5748619,3887864,951544,50505,185936
117160.11,5946287,5748960,3887864,951544,50512,185936
118161.09,5946681,5749285,3887864,942688,50516,185936
119161.98,5947078,5749658,3887864,943088,50517,185936
120162.83,5947476,5750027,3887864,944272,50518,185936
121163.56,5947866,5750405,3887864,945096,50520,185936
122164.37,5948265,5750798,3887864,946236,50522,185936
123165.57,5948662,5751182,3887864,947760,50527,185936
124167.17,5949061,5751572,3887864,948732,50533,185936
125168.7,5949463,5751964,3887864,949524,50537,185936
126170.31,5949858,5752348,3887864,949704,50542,185936
127172.03,5950253,5752728,3887864,950832,50549,185936
128172.93,5950648,5753092,3887864,945660,50553,185936
129173.66,5951045,5753483,3887864,945468,50559,185936
130174.42,5951445,5753879,3887864,945468,50562,185936
131175.16,5951845,5754271,3887864,945880,50563,185936
132175.9,5952244,5754665,3887864,946236,50565,185936
133177.33,5952641,5755059,3887864,946740,50568,185936
134178.83,5953036,5755431,3887864,946244,50578,185936
135180.61,5953437,5755824,3887864,946528,50580,185936
136182.31,5953835,5756217,3887864,947480,50584,185936
137184.07,5954230,5756594,3887864,947216,50590,185936
138185.39,5954631,5756970,3887864,943444,50597,185936
139186.21,5955029,5757354,3887864,948676,50598,185936
140186.97,5955427,5757746,3887864,948676,50602,185936
141187.79,5955826,5758144,3887864,948964,50603,185936
142188.53,5956226,5758537,3887864,949116,50605,185936
143189.31,5956625,5758930,3887864,948484,50607,185936
144190.67,5957019,5759312,3887864,948660,50613,185936
145192.24,5957418,5759702,3887864,948760,50617,185936
146193.74,5957817,5760091,3887864,949288,50620,185936
147195.3,5958215,5760472,3887864,949540,50627,185936
148197.08,5958612,5760856,3887864,949540,50632,185936
149198.07,5959010,5761229,3887864,943080,50634,185936
150198.88,5959408,5761625,3887864,943080,50636,185936
151199.7,5959810,5762023,3887864,944380,50637,185936
152200.51,5960208,5762414,3887864,944692,50639,185936
153201.3,5960606,5762809,3887864,945320,50641,185936
154202.68,5961000,5763191,3887864,946208,50647,185936
155204.04,5961398,5763576,3887864,946208,50651,185936
156205.51,5961797,5763958,3887864,946756,50665,185936
157207.32,5962196,5764340,3887864,947160,50671,185936
158209.11,5962592,5764724,3887864,947580,50677,185936
159210.06,5962989,5765098,3887864,946972,50679,185936
160210.9,5963388,5765495,3887864,947224,50681,185936
161211.76,5963786,5765892,3887864,947224,50682,185936
162212.79,5964186,5766286,3887864,947980,50684,185936
163213.64,5964586,5766681,3887864,947980,50685,185936
164215.34,5964983,5767068,3887864,947724,50690,185936
165217.23,5965382,5767462,3887864,948196,50692,185936
166219.05,5965783,5767855,3887864,948700,50695,185936
167220.92,5966182,5768237,3887864,948096,50701,185936
168222.74,5966580,5768617,3887864,948204,50707,185936
169223.8,5966976,5768988,3887864,946140,50709,185936
170224.61,5967376,5769380,3887864,945644,50714,185936
171225.48,5967775,5769777,3887864,945644,50715,185936
172226.31,5968173,5770171,3887864,945900,50717,185936
173227.13,5968570,5770565,3887864,945928,50718,185936
174228.87,5968970,5770955,3887864,944920,50723,185936
175230.69,5969370,5771348,3887864,945036,50726,185936
176232.6,5969766,5771734,3887864,945792,50730,185936
177234.46,5970165,5772115,3887864,946408,50736,185936
178236.27,5970562,5772502,3887864,946664,50740,185936
179238.13,5970957,5772880,3887864,941224,50742,185936
180239.13,5971356,5773270,3887864,944504,50744,185936
181239.96,5971756,5773667,3887864,945792,50746,185936
182240.75,5972156,5774058,3887864,946548,50748,185936
183242.06,5972546,5774324,3887864,935032,50762,185936
184244.85,5972928,5774553,3887864,944136,50785,185940
185246.01,5973323,5774852,3887864,950044,50807,185944
186246.79,5973722,5775238,3887864,949708,50809,185944
