time,sent,received,total
2.09,113533.19,1389616.03,1467.92
1003.03,113537.32,1389618.25,1467.92
2007.0,113540.47,1389620.64,1467.93
3013.18,113543.62,1389623.15,1467.94
4019.15,113546.99,1389625.67,1467.94
5024.95,113550.36,1389628.19,1467.95
6028.54,113553.47,1389630.43,1467.95
7033.24,113556.97,1389632.82,1467.96
8038.96,113560.18,1389635.21,1467.96
9044.28,113563.65,1389637.59,1467.97
10049.61,113566.39,1389639.49,1467.97
11054.28,113569.15,1389641.46,1467.98
12057.6,113572.59,1389643.85,1467.98
13062.98,113576.06,1389646.3,1467.99
14067.27,113579.48,1389648.69,1468.0
15072.49,113582.83,1389651.27,1468.0
16078.95,113585.93,1389653.65,1468.01
17083.5,113589.41,1389656.1,1468.01
18090.39,113592.83,1389658.62,1468.02
19097.43,113596.07,1389661.07,1468.02
20101.56,113599.4,1389663.46,1468.03
21107.02,113602.62,1389665.91,1468.04
22110.67,113605.78,1389668.29,1468.04
23114.69,113608.89,1389670.68,1468.05
24118.11,113612.33,1389673.13,1468.05
25122.27,113615.77,1389675.52,1468.06
26125.9,113619.14,1389677.91,1468.06
27129.1,113622.12,1389680.15,1468.07
28132.72,113625.37,1389682.4,1468.07
29137.1,113627.91,1389684.23,1468.08
30142.63,113636.89,1389691.36,1468.09
31145.57,113690.46,1389739.56,1468.19
32150.43,113744.39,1389788.29,1468.29
33154.06,113798.07,1389836.44,1468.39
34158.54,113851.91,1389884.84,1468.49
35162.01,113905.84,1389932.93,1468.59
36166.02,113959.69,1389981.47,1468.69
37172.31,114013.08,1390029.73,1468.79
38175.52,114067.21,1390078.14,1468.89
39179.4,114121.2,1390126.23,1468.99
40184.42,114175.05,1390174.57,1469.09
41188.16,114229.51,1390223.82,1469.19
42194.15,114283.31,1390271.96,1469.29
43198.57,114337.14,1390320.82,1469.39
44203.2,114391.06,1390368.91,1469.49
45206.41,114444.91,1390417.19,1469.59
46211.17,114508.06,1390469.86,1469.7
47213.21,114561.83,1390519.38,1469.81
48217.07,114619.92,1390571.19,1469.91
49220.16,114673.98,1390619.54,1470.01
50222.67,114728.11,1390667.75,1470.11
51225.16,114782.13,1390716.68,1470.21
52228.14,114835.99,1390765.15,1470.31
53230.51,114889.61,1390813.63,1470.41
54233.7,114943.5,1390862.49,1470.51
55237.12,114997.19,1390911.09,1470.61
56239.92,115051.25,1390959.31,1470.71
57249.22,115106.04,1391008.85,1470.81
58250.86,115157.92,1391055.7,1470.91
59254.42,115211.88,1391103.85,1471.01
60258.21,115265.65,1391152.06,1471.11
61262.09,115331.57,1391205.42,1471.23
62264.43,115385.41,1391253.9,1471.33
63269.92,115439.22,1391302.37,1471.43
64273.92,115493.13,1391350.98,1471.53
65279.96,115547.18,1391399.71,1471.63
66285.04,115600.93,1391448.63,1471.73
67288.15,115655.06,1391497.11,1471.83
68296.32,115710.38,1391546.51,1471.93
69297.72,115763.26,1391594.37,1472.03
70298.83,115815.05,1391641.54,1472.12
71302.58,115868.73,1391690.02,1472.22
72305.78,115922.73,1391738.88,1472.33
73310.2,115976.38,1391787.48,1472.42
74315.7,116034.63,1391840.21,1472.53
75318.04,116088.38,1391888.66,1472.63
76320.42,116142.92,1391937.71,1472.73
77322.55,116196.91,1391986.64,1472.83
78325.05,116250.87,1392034.86,1472.93
79328.54,116304.67,1392083.33,1473.04
80331.93,116358.35,1392132.13,1473.13
81339.2,116412.33,1392181.06,1473.24
82341.39,116465.93,1392229.79,1473.33
83348.64,116521.61,1392279.91,1473.44
84349.73,116573.37,1392326.85,1473.54
85351.71,116626.62,1392374.51,1473.63
86356.51,116680.37,1392422.78,1473.73
87361.12,116734.19,1392471.45,1473.83
88364.45,116788.09,1392519.99,1473.93
89369.25,116842.11,1392568.2,1474.03
90373.46,116896.06,1392616.87,1474.13
91377.74,116950.6,1392666.05,1474.23
92383.05,117004.61,1392714.4,1474.33
93387.57,117058.37,1392762.75,1474.43
94390.72,117112.15,1392811.41,1474.53
95395.6,117166.21,1392860.21,1474.63
96401.9,117220.24,1392908.88,1474.74
97406.23,117274.36,1392957.74,1474.84
98414.4,117332.95,1393011.02,1474.94
99416.81,117387.07,1393059.24,1475.04
100420.53,117440.85,1393107.46,1475.14
101423.29,117494.95,1393156.58,1475.25
102426.52,117548.84,1393205.76,1475.35
103430.17,117602.77,1393254.49,1475.45
104435.72,117656.85,1393302.98,1475.55
105439.75,117709.92,1393350.64,1475.64
106443.83,117763.31,1393398.89,1475.74
107447.1,117817.1,1393447.42,1475.84
108450.66,117871.0,1393495.9,1475.94
109454.51,117925.19,1393544.62,1476.04
110458.62,117978.65,1393592.96,1476.14
111463.56,118032.62,1393641.5,1476.24
112468.99,118086.63,1393689.97,1476.34
113473.73,118140.39,1393738.71,1476.44
114480.39,118194.21,1393787.31,1476.54
115485.86,118247.95,1393836.23,1476.64
116492.04,118301.98,1393885.42,1476.75
117497.35,118355.94,1393933.63,1476.84
118502.67,118409.71,1393982.43,1476.95
119506.9,118463.42,1394030.91,1477.04
120514.01,118497.25,1394061.08,1477.11
121520.32,118500.34,1394063.33,1477.11
122524.66,118503.58,1394065.71,1477.12
123529.61,118506.88,1394068.16,1477.12
124533.86,118510.05,1394070.55,1477.13
125538.4,118513.43,1394072.94,1477.13
126543.32,118516.85,1394075.53,1477.14
127548.31,118520.01,1394077.77,1477.15
128551.57,118523.31,1394080.23,1477.15
129555.58,118526.68,1394082.61,1477.16
130561.02,118529.75,1394085.06,1477.16
131565.09,118533.02,1394087.51,1477.17
132570.55,118536.36,1394090.03,1477.17
133574.95,118539.8,1394092.42,1477.18
134577.44,118542.96,1394094.8,1477.18
135582.07,118546.5,1394097.32,1477.19
136588.53,118549.55,1394099.63,1477.2
137593.07,118552.92,1394102.08,1477.2
138597.79,118556.56,1394104.66,1477.21
139603.75,118560.04,1394107.18,1477.21
140608.23,118563.22,1394109.49,1477.22
141614.61,118566.38,1394111.94,1477.22
142619.64,118569.47,1394114.19,1477.23
143624.83,118573.0,1394116.77,1477.24
144629.58,118576.16,1394119.02,1477.24
145632.99,118579.26,1394121.33,1477.25
146639.0,118582.49,1394123.85,1477.25
147643.96,118585.97,1394126.23,1477.26
148648.41,118589.06,1394128.62,1477.26
149652.53,118592.49,1394131.13,1477.27
150655.91,118595.46,1394133.38,1477.27
151660.86,118598.77,1394135.76,1477.28
152664.95,118602.2,1394138.34,1477.29
153669.67,118605.5,1394140.73,1477.29
154674.33,118608.87,1394143.12,1477.3
155679.55,118612.31,1394145.63,1477.3
156684.0,118615.44,1394148.08,1477.31
157689.03,118618.91,1394150.6,1477.31
158692.67,118622.39,1394152.99,1477.32
159697.0,118625.6,1394155.24,1477.32
160700.86,118628.83,1394157.62,1477.33
161705.87,118632.5,1394160.14,1477.34
162709.99,118636.24,1394162.72,1477.34
163714.56,118639.61,1394165.3,1477.35
164719.41,118643.15,1394167.68,1477.35
165724.06,118646.22,1394170.14,1477.36
166728.54,118649.76,1394172.59,1477.37
167733.22,118653.0,1394174.83,1477.37
168737.68,118656.54,1394177.35,1477.38
169741.54,118659.82,1394179.87,1477.38
170745.91,118663.19,1394182.25,1477.39
171750.86,118666.62,1394184.77,1477.39
172755.26,118669.9,1394187.02,1477.4
173760.39,118673.33,1394189.66,1477.4
174764.85,118676.53,1394192.04,1477.41
175768.79,118679.76,1394194.42,1477.42
176773.96,118683.1,1394196.81,1477.42
177778.96,118686.57,1394199.26,1477.43
178783.84,118690.04,1394201.65,1477.43
179788.12,118693.52,1394204.17,1477.44
180792.73,118696.89,1394206.62,1477.44
181797.03,118700.22,1394209.07,1477.45
182802.23,118703.34,1394211.38,1477.46
183806.23,118706.82,1394213.83,1477.46
184811.53,118710.29,1394216.48,1477.47
185816.13,118713.66,1394218.99,1477.47
186820.89,118716.95,1394221.37,1477.48
187826.22,118720.32,1394223.82,1477.48
188831.66,118723.52,1394226.21,1477.49
189836.42,118726.98,1394228.58,1477.5
190841.5,118730.59,1394230.97,1477.5
191845.42,118733.8,1394233.28,1477.51
192851.82,118736.8,1394235.67,1477.51
193856.7,118740.12,1394238.25,1477.52
194860.7,118743.7,1394240.64,1477.52
195865.47,118746.86,1394243.15,1477.53
196869.31,118750.01,1394245.4,1477.53
197874.0,118753.49,1394247.92,1477.54
198877.94,118756.76,1394250.3,1477.55
199883.19,118760.07,1394252.82,1477.55
200887.49,118763.61,1394255.4,1477.56
201892.55,118766.84,1394257.98,1477.56
202896.78,118770.42,1394260.56,1477.57
203902.07,118773.85,1394263.14,1477.57
204906.45,118777.23,1394265.59,1477.58
205910.51,118780.3,1394267.84,1477.59
206916.69,118783.54,1394270.42,1477.59
207921.86,118786.88,1394272.8,1477.6
208926.04,118790.18,1394275.32,1477.6
209930.31,118793.47,1394277.7,1477.61
210935.25,118796.53,1394279.93,1477.61
211940.68,118799.97,1394282.39,1477.62
212945.98,118803.35,1394284.9,1477.62
213950.58,118806.45,1394287.29,1477.63
214955.48,118809.65,1394289.67,1477.64
215959.56,118813.32,1394292.25,1477.64
216962.48,118816.79,1394294.64,1477.65
217966.93,118820.27,1394297.02,1477.65
218969.24,118823.71,1394299.41,1477.66
219973.32,118827.14,1394301.8,1477.66
220978.25,118830.44,1394304.18,1477.67
221982.78,118834.25,1394306.63,1477.68
222987.55,118837.72,1394309.0,1477.68
223992.56,118840.81,1394311.25,1477.69
224997.62,118844.54,1394313.78,1477.69
226003.52,118847.29,1394315.95,1477.7
227009.43,118850.46,1394318.4,1477.7
228014.85,118853.73,1394320.79,1477.71
229019.15,118857.3,1394323.24,1477.71
230023.18,118860.78,1394325.69,1477.72
231027.51,118863.98,1394328.08,1477.73
232034.0,118867.45,1394330.53,1477.73
233038.98,118870.76,1394332.92,1477.74
234043.82,118874.17,1394335.43,1477.74
235047.34,118877.71,1394337.88,1477.75
236055.42,118880.84,1394340.33,1477.75
237060.49,118884.12,1394342.58,1477.76
238064.45,118887.66,1394345.03,1477.77
239067.69,118890.96,1394347.42,1477.77
240073.2,118894.31,1394349.81,1477.78
241077.03,118897.78,1394352.45,1477.78
242085.61,118901.22,1394354.84,1477.79
