time,total,idle,mem_total,mem_free,11145/cpu,11145/rss
1002.95,7353028,7217412,16370456,9313340,76260,911492
2007.25,7353627,7217992,16370456,9309812,76268,911296
3013.64,7354225,7218584,16370456,9309812,76275,911296
4018.96,7354825,7219173,16370456,9312528,76281,911296
5024.83,7355425,7219767,16370456,9314232,76286,911808
6029.04,7356025,7220359,16370456,9315556,76293,911936
7033.6,7356622,7220953,16370456,9317124,76299,911936
8039.46,7357225,7221548,16370456,9317392,76303,911936
9049.93,7357828,7222144,16370456,9317140,76310,911936
10051.66,7358423,7222733,16370456,9317140,76317,911936
11054.66,7359021,7223325,16370456,9317140,76323,913088
12058.08,7359618,7223913,16370456,9325504,76328,913088
13063.27,7360218,7224506,16370456,9325504,76334,913216
14067.44,7360817,7225095,16370456,9325504,76342,913216
15073.06,7361416,7225686,16370456,9325504,76348,913216
16079.33,7362017,7226276,16370456,9325504,76355,913216
17083.59,7362616,7226870,16370456,9325280,76359,913216
18090.76,7363217,7227465,16370456,9325280,76365,913216
19097.9,7363817,7228059,16370456,9325028,76371,913216
20101.5,7364416,7228651,16370456,9325028,76376,913216
21106.59,7365016,7229246,16370456,9325028,76382,913216
22110.84,7365613,7229834,16370456,9325148,76387,913216
23114.46,7366212,7230428,16370456,9325148,76392,913216
24118.21,7366811,7231017,16370456,9325148,76399,913216
25122.38,7367410,7231610,16370456,9325148,76404,913216
26126.32,7368010,7232203,16370456,9325148,76411,913216
27130.09,7368609,7232798,16370456,9325148,76415,913216
28138.3,7369211,7233394,16370456,9325148,76420,913216
29140.57,7369810,7233987,16370456,9325148,76425,913216
30143.52,7370407,7234574,16370456,9324896,76432,913216
31145.89,7371004,7235160,16370456,9324392,76437,913216
32150.16,7371601,7235716,16370456,9318092,76467,913344
33154.14,7372197,7236300,16370456,9318092,76475,913344
34158.72,7372796,7236883,16370456,9317840,76481,913344
35162.13,7373394,7237470,16370456,9317840,76487,913344
36167.87,7373993,7238056,16370456,9317840,76493,913344
37172.64,7374593,7238642,16370456,9317336,76499,913344
38175.86,7375190,7239227,16370456,9316832,76505,913344
39179.97,7375787,7239815,16370456,9316584,76510,913344
40184.78,7376384,7240401,16370456,9316584,76515,913344
41188.55,7376982,7240989,16370456,9316584,76520,913344
42194.47,7377580,7241571,16370456,9306376,76525,913344
43198.37,7378177,7242154,16370456,9310160,76532,913344
44203.12,7378773,7242738,16370456,9309912,76539,913344
45206.88,7379370,7243299,16370456,9312552,76560,913292
46211.25,7379965,7243805,16370456,9274564,76581,911484
47216.1,7380561,7244372,16370456,9304804,76590,911304
48217.36,7381155,7244954,16370456,9303796,76596,911304
49220.32,7381750,7245538,16370456,9303576,76600,911304
50222.87,7382347,7246121,16370456,9303576,76606,911432
51225.44,7382941,7246705,16370456,9303324,76612,911560
52228.27,7383536,7247285,16370456,9291744,76618,911560
53230.86,7384133,7247869,16370456,9292116,76623,911560
54233.98,7384730,7248449,16370456,9291652,76630,911560
55237.3,7385326,7249031,16370456,9291652,76637,911560
56240.19,7385923,7249615,16370456,9291652,76643,911560
57244.28,7386520,7250201,16370456,9291592,76648,911560
58250.48,7387119,7250788,16370456,9291368,76652,911560
59254.24,7387718,7251374,16370456,9291120,76657,911560
60258.34,7388316,7251936,16370456,9287084,76678,911660
61261.69,7388905,7252421,16370456,9208152,76705,911776
62264.06,7389501,7252980,16370456,9244704,76716,911540
63269.53,7390100,7253557,16370456,9229588,76722,911668
64274.05,7390697,7254139,16370456,9229388,76728,911668
65280.09,7391297,7254722,16370456,9230080,76734,911668
66285.47,7391895,7255309,16370456,9229856,76739,911668
67288.43,7392492,7255891,16370456,9229856,76745,911668
68290.59,7393088,7256476,16370456,9229856,76750,911668
69294.55,7393685,7257058,16370456,9229856,76757,911796
70298.13,7394283,7257643,16370456,9229856,76763,911796
71302.31,7394880,7258227,16370456,9229856,76769,911796
72305.93,7395478,7258812,16370456,9229608,76773,911796
73315.45,7396079,7259393,16370456,9243748,76780,911796
74316.64,7396675,7259973,16370456,9243496,76786,911796
75318.13,7397270,7260550,16370456,9243244,76794,911796
76320.76,7397866,7261133,16370456,9242992,76799,911796
77322.84,7398462,7261715,16370456,9242992,76806,911796
78325.32,7399060,7262299,16370456,9242992,76810,911796
79328.47,7399658,7262882,16370456,9242992,76816,912436
80332.05,7400256,7263466,16370456,9242744,76821,912436
81338.48,7400856,7264051,16370456,9242744,76827,912436
