time,total,idle,mem_total,mem_free,11145/cpu,11145/rss
1007.65,7699257,7558100,16370456,9301708,79987,914980
2011.72,7699856,7558692,16370456,9301708,79992,914980
3016.63,7700454,7559283,16370456,9301708,79999,914980
4021.34,7701055,7559876,16370456,9301708,80004,914980
5026.14,7701652,7560457,16370456,9305436,80011,914980
6030.71,7702253,7561052,16370456,9305436,80016,914980
7036.5,7702852,7561646,16370456,9305436,80022,915108
8041.54,7703452,7562239,16370456,9305436,80028,915108
9046.83,7704052,7562831,16370456,9305436,80035,915108
10051.24,7704653,7563426,16370456,9305436,80040,915108
11057.46,7705253,7564020,16370456,9305436,80045,915108
12063.54,7705855,7564616,16370456,9305436,80050,915108
13070.3,7706454,7565207,16370456,9305436,80057,915108
14073.9,7707054,7565800,16370456,9305436,80062,915108
15077.94,7707653,7566383,16370456,9315492,80070,915236
16083.27,7708252,7566979,16370456,9315492,80075,915236
17086.97,7708852,7567572,16370456,9315492,80080,915236
18091.36,7709450,7568165,16370456,9313728,80087,916772
19096.11,7710050,7568758,16370456,9313728,80091,916772
20101.14,7710650,7569350,16370456,9313728,80098,916772
21106.03,7711249,7569943,16370456,9313728,80103,916772
22110.81,7711848,7570534,16370456,9313728,80110,916900
23115.76,7712447,7571125,16370456,9313728,80117,916900
24121.99,7713047,7571720,16370456,9313728,80121,916900
25124.99,7713644,7572303,16370456,9322992,80129,916900
26129.69,7714244,7572899,16370456,9322992,80133,916900
27133.78,7714844,7573490,16370456,9322992,80139,916900
28138.17,7715443,7574083,16370456,9322992,80146,916900
29142.13,7716041,7574675,16370456,9322992,80151,916900
30153.11,7716646,7575269,16370456,9322488,80159,916900
31154.39,7717239,7575846,16370456,9322488,80163,916900
32156.39,7717835,7576424,16370456,9322236,80168,916900
33159.25,7718430,7577001,16370456,9322236,80174,916900
34162.85,7719026,7577580,16370456,9322236,80179,916900
35166.08,7719620,7578148,16370456,9313416,80186,916900
36169.87,7720216,7578730,16370456,9312916,80189,916900
37174.71,7720811,7579307,16370456,9313732,80195,916900
38177.91,7721408,7579886,16370456,9313804,80201,916900
39181.64,7722003,7580463,16370456,9314232,80206,916900
40186.93,7722601,7581044,16370456,9313980,80211,916900
41191.35,7723197,7581624,16370456,9314176,80217,916900
42196.77,7723795,7582206,16370456,9313980,80221,916900
43199.49,7724390,7582784,16370456,9313980,80227,916900
44204.23,7724985,7583347,16370456,9312380,80232,916900
45210.54,7725582,7583905,16370456,9309300,80251,915476
46216.92,7726173,7584384,16370456,9295784,80275,914860
47219.61,7726771,7584964,16370456,9294548,80281,914860
48223.26,7727371,7585548,16370456,9294296,80286,914860
49226.23,7727966,7586127,16370456,9297736,80292,914860
50229.68,7728563,7586708,16370456,9297488,80296,914860
51232.38,7729159,7587287,16370456,9297236,80303,916652
52236.18,7729757,7587869,16370456,9296996,80309,916780
53240.03,7730356,7588450,16370456,9296772,80315,916908
54243.58,7730954,7589032,16370456,9296532,80322,916908
55247.66,7731551,7589613,16370456,9296532,80327,916908
56251.96,7732150,7590193,16370456,9294520,80332,916908
57257.97,7732749,7590776,16370456,9294520,80338,916908
58262.56,7733346,7591360,16370456,9293764,80343,916908
59266.5,7733945,7591941,16370456,9293764,80349,916908
60271.04,7734546,7592503,16370456,9291920,80369,915412
61275.9,7735137,7592972,16370456,9243928,80398,915308
62279.07,7735735,7593552,16370456,9242676,80403,915308
63283.84,7736331,7594133,16370456,9242676,80409,915308
64288.35,7736930,7594715,16370456,9246456,80414,915308
65292.5,7737526,7595294,16370456,9245964,80420,915948
66295.8,7738125,7595873,16370456,9245208,80426,915948
67299.97,7738721,7596454,16370456,9245208,80431,916076
68302.89,7739320,7597038,16370456,9245208,80436,916076
69307.92,7739917,7597595,16370456,9245208,80468,916076
70312.77,7740518,7598178,16370456,9244960,80473,916076
71314.99,7741114,7598759,16370456,9244712,80479,916076
72317.61,7741712,7599341,16370456,9244712,80485,916076
73319.71,7742308,7599920,16370456,9244712,80492,916076
74321.56,7742905,7600500,16370456,9244712,80499,916076
75325.49,7743502,7601081,16370456,9244712,80506,916076
76329.17,7744097,7601657,16370456,9251024,80512,916076
77334.51,7744696,7602241,16370456,9250916,80518,916204
78337.79,7745292,7602824,16370456,9250916,80523,916204
79341.56,7745889,7603407,16370456,9250916,80529,916204
80344.61,7746486,7603990,16370456,9250164,80534,916204
81349.99,7747085,7604573,16370456,9249408,80539,916204
82353.93,7747683,7605154,16370456,9249156,80544,916204
83357.02,7748280,7605731,16370456,9248932,80553,915872
84362.12,7748879,7606313,16370456,9248432,80559,915872
85366.95,7749474,7606894,16370456,9248432,80565,915872
86371.66,7750074,7607473,16370456,9233060,80571,915872
87375.98,7750671,7608055,16370456,9234132,80577,915872
88380.14,7751271,7608640,16370456,9234572,80582,915872
89384.92,7751869,7609224,16370456,9234572,80587,915872
90389.21,7752466,7609805,16370456,9233816,80594,915872
91392.88,7753063,7610385,16370456,9233816,80600,915872
92397.57,7753660,7610968,16370456,9233816,80605,915872
93404.1,7754258,7611550,16370456,9233816,80613,915872
94407.77,7754855,7612131,16370456,9233568,80619,915872
95413.96,7755453,7612711,16370456,9233568,80625,915872
96416.54,7756050,7613289,16370456,9233484,80630,917536
97418.32,7756646,7613871,16370456,9233540,80636,917536
98420.58,7757243,7614455,16370456,9233292,80641,917536
99422.91,7757839,7615035,16370456,9233292,80648,917536
100425.52,7758435,7615619,16370456,9233292,80652,917536
101428.07,7759031,7616201,16370456,9233292,80657,917536
102431.73,7759628,7616784,16370456,9233292,80663,917536
103435.37,7760224,7617366,16370456,9233292,80669,917536
104439.66,7760822,7617949,16370456,9233292,80674,917536
105443.01,7761418,7618529,16370456,9231528,80681,917664
106447.97,7762017,7619114,16370456,9231528,80686,917664
107453.22,7762617,7619692,16370456,9228100,80691,917664
108458.35,7763215,7620276,16370456,9227848,80697,917664
109462.8,7763812,7620861,16370456,9227596,80702,917664
110467.31,7764409,7621443,16370456,9227596,80708,917664
111471.75,7765009,7622024,16370456,9227356,80713,917664
112476.44,7765607,7622605,16370456,9226600,80719,917664
113483.05,7766206,7623185,16370456,9226348,80727,917792
114487.86,7766805,7623768,16370456,9226348,80732,917792
115493.13,7767403,7624350,16370456,9226348,80738,917792
116497.53,7768002,7624936,16370456,9226348,80743,917792
117502.13,7768601,7625513,16370456,9220840,80750,917792
118507.95,7769199,7626096,16370456,9220840,80755,917792
119512.53,7769796,7626678,16370456,9220840,80761,917792
120515.27,7770391,7627260,16370456,9220840,80768,917792
121519.75,7770990,7627854,16370456,9220840,80773,917792
122526.21,7771593,7628449,16370456,9220840,80779,917792
123531.5,7772193,7629041,16370456,9220840,80785,917792
124536.12,7772791,7629632,16370456,9220588,80791,917792
125539.62,7773391,7630221,16370456,9220588,80797,917792
126544.04,7773990,7630816,16370456,9220588,80802,917792
127549.35,7774588,7631403,16370456,9229492,80808,917792
128553.05,7775186,7631996,16370456,9231880,80814,917792
129557.45,7775787,7632589,16370456,9231880,80819,917792
130561.72,7776387,7633184,16370456,9231880,80825,917792
131565.7,7776986,7633777,16370456,9231640,80830,917792
132570.33,7777587,7634370,16370456,9231140,80836,917792
133575.68,7778187,7634961,16370456,9230900,80842,917792
134578.69,7778783,7635549,16370456,9230900,80849,917792
135581.45,7779381,7636138,16370456,9230648,80856,917792
136590.78,7779984,7636735,16370456,9230172,80861,917792
137596.46,7780581,7637322,16370456,9230832,80867,917792
138600.99,7781183,7637916,16370456,9231688,80873,917792
139605.21,7781781,7638506,16370456,9231064,80879,917792
140609.03,7782380,7639099,16370456,9231064,80885,917792
141613.11,7782980,7639691,16370456,9231064,80891,917792
142617.14,7783579,7640283,16370456,9231008,80896,917792
143627.03,7784180,7640877,16370456,9231064,80903,917792
144628.62,7784776,7641462,16370456,9230812,80911,917792
145632.86,7785375,7642054,16370456,9230812,80918,917792
146637.85,7785976,7642647,16370456,9230812,80923,917792
147641.73,7786573,7643235,16370456,9223516,80930,917792
148650.98,7787173,7643830,16370456,9230216,80936,917792
149652.62,7787773,7644422,16370456,9240052,80940,917792
150656.88,7788373,7645013,16370456,9239900,80947,917792
151660.66,7788973,7645606,16370456,9239660,80953,917792
152664.94,7789575,7646198,16370456,9239408,80959,917792
153669.12,7790175,7646790,16370456,9244876,80964,917792
154675.35,7790776,7647381,16370456,9244624,80971,917792
155680.21,7791373,7647972,16370456,9244624,80977,917792
156684.75,7791974,7648566,16370456,9244624,80983,917792
157687.81,7792573,7649158,16370456,9244624,80989,917792
158694.27,7793175,7649745,16370456,9236560,80996,917792
159698.3,7793774,7650339,16370456,9236560,81000,917792
160702.77,7794375,7650932,16370456,9238324,81006,917792
161707.29,7794974,7651526,16370456,9238524,81011,917792
162712.45,7795573,7652116,16370456,9238328,81018,917792
163718.02,7796173,7652707,16370456,9238328,81026,917792
164722.55,7796770,7653294,16370456,9238020,81033,917792
165727.97,7797371,7653886,16370456,9237836,81040,917792
166732.5,7797969,7654480,16370456,9237836,81045,917792
167737.0,7798568,7655073,16370456,9237836,81050,917792
168741.77,7799168,7655662,16370456,9228976,81056,917792
169745.82,7799767,7656253,16370456,9228724,81062,917792
170750.54,7800368,7656845,16370456,9228724,81069,917792
171754.3,7800964,7657436,16370456,9228472,81075,917792
172758.64,7801563,7658025,16370456,9228616,81083,917792
173763.14,7802162,7658618,16370456,9228632,81088,917792
174767.72,7802760,7659207,16370456,9228632,81096,917792
175771.75,7803360,7659800,16370456,9228632,81101,917792
176775.02,7803959,7660369,16370456,9228632,81130,917792
177779.66,7804558,7660960,16370456,9229616,81136,917792
178783.83,7805157,7661548,16370456,9228188,81141,917792
179790.11,7805758,7662142,16370456,9227412,81148,919456
180794.32,7806350,7662656,16370456,9257952,81174,916144
181797.64,7806948,7663228,16370456,9274316,81187,916144
182800.98,7807545,7663818,16370456,9273084,81194,916144
183804.94,7808145,7664411,16370456,9272844,81199,916144
184810.15,7808745,7664999,16370456,9274040,81206,916144
185814.13,7809344,7665593,16370456,9273800,81211,916144
186818.92,7809943,7666186,16370456,9272820,81216,916144
187823.82,7810542,7666780,16370456,9272820,81221,916144
188827.59,7811141,7667368,16370456,9269120,81227,916144
189831.18,7811738,7667962,16370456,9269120,81231,916144
190834.87,7812339,7668554,16370456,9268872,81237,916144
191839.36,7812937,7669147,16370456,9268872,81243,916144
192844.09,7813537,7669740,16370456,9268872,81249,916144
193849.69,7814139,7670334,16370456,9268872,81254,916144
194854.32,7814738,7670923,16370456,9268872,81262,916144
195858.89,7815329,7671434,16370456,9273704,81287,915944
196863.94,7815927,7672005,16370456,9286080,81301,916200
197866.95,7816525,7672597,16370456,9287504,81307,916328
198871.07,7817124,7673189,16370456,9289124,81312,916328
199874.6,7817723,7673779,16370456,9283512,81317,916328
