response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0407,0.0133,0.0000,0.0001,0.0271,0.0001,200,0.1028
0.0474,0.0134,0.0000,0.0001,0.0338,0.0001,200,0.1028
0.0533,0.0137,0.0000,0.0001,0.0394,0.0001,200,0.1025
0.1315,0.0134,0.0000,0.0001,0.1178,0.0001,200,0.1029
0.1315,0.0133,0.0000,0.0001,0.1180,0.0001,200,0.1029
0.1389,0.0135,0.0000,0.0000,0.1252,0.0001,200,0.1029
0.1504,0.0136,0.0000,0.0001,0.1365,0.0001,200,0.1026
0.1605,0.0135,0.0000,0.0002,0.1468,0.0001,200,0.1028
0.2389,0.0140,0.0000,0.0000,0.2246,0.0001,200,0.1023
0.2459,0.0140,0.0000,0.0001,0.2317,0.0001,200,0.1023
0.1536,0.0042,0.0000,0.0000,0.1493,0.0000,200,0.2032
0.1670,0.0044,0.0000,0.0000,0.1624,0.0001,200,0.2030
0.2349,0.0045,0.0000,0.0000,0.2302,0.0001,200,0.2031
0.2165,0.0069,0.0000,0.0000,0.2095,0.0001,200,0.2344
0.2194,0.0070,0.0000,0.0000,0.2123,0.0001,200,0.2343
0.2269,0.0111,0.0000,0.0000,0.2158,0.0001,200,0.2417
0.2823,0.0101,0.0000,0.0001,0.2720,0.0001,200,0.2530
0.2900,0.0046,0.0000,0.0000,0.2853,0.0000,200,0.2633
0.2238,0.0070,0.0000,0.0001,0.2167,0.0000,200,0.3412
0.2236,0.0085,0.0000,0.0001,0.2150,0.0000,200,0.3482
0.2820,0.0081,0.0000,0.0000,0.2738,0.0001,200,0.3568
0.2749,0.0069,0.0000,0.0000,0.2679,0.0001,200,0.3700
0.2156,0.0129,0.0000,0.0001,0.2026,0.0000,200,0.4380
0.2091,0.0033,0.0000,0.0000,0.2056,0.0001,200,0.4509
0.3078,0.0080,0.0000,0.0000,0.2997,0.0001,200,0.4538
0.3302,0.0031,0.0000,0.0000,0.3269,0.0001,200,0.4687
0.2697,0.0044,0.0000,0.0000,0.2652,0.0001,200,0.5353
0.3096,0.0116,0.0000,0.0000,0.2979,0.0001,200,0.5533
0.3381,0.0068,0.0000,0.0000,0.3311,0.0001,200,0.5650
0.4238,0.0050,0.0000,0.0000,0.4186,0.0001,200,0.5718
0.3709,0.0062,0.0000,0.0000,0.3645,0.0001,200,0.6388
0.3833,0.0085,0.0000,0.0000,0.3746,0.0001,200,0.6449
0.4075,0.0064,0.0000,0.0001,0.4009,0.0001,200,0.6536
0.4440,0.0046,0.0000,0.0000,0.4392,0.0001,200,0.6600
0.4034,0.0068,0.0000,0.0000,0.3965,0.0001,200,0.7616
0.3940,0.0067,0.0000,0.0000,0.3871,0.0001,200,0.7988
0.3963,0.0057,0.0000,0.0000,0.3905,0.0000,200,0.8050
0.4315,0.0085,0.0000,0.0000,0.4228,0.0001,200,0.8629
0.4017,0.0048,0.0000,0.0000,0.3967,0.0001,200,0.9031
0.3754,0.0079,0.0000,0.0001,0.3674,0.0001,200,0.9956
0.4529,0.0059,0.0000,0.0000,0.4466,0.0003,200,1.0096
0.4765,0.0044,0.0000,0.0000,0.4720,0.0001,200,1.0282
0.4497,0.0084,0.0000,0.0001,0.4412,0.0001,200,1.0611
0.4175,0.0054,0.0000,0.0000,0.4120,0.0001,200,1.1040
0.3959,0.0034,0.0000,0.0000,0.3924,0.0001,200,1.1650
0.3794,0.0083,0.0000,0.0000,0.3710,0.0001,200,1.1928
0.4650,0.0062,0.0000,0.0000,0.4587,0.0001,200,1.2013
0.4085,0.0102,0.0000,0.0000,0.3982,0.0001,200,1.2944
0.4047,0.0057,0.0000,0.0000,0.3988,0.0001,200,1.3047
0.3475,0.0033,0.0000,0.0000,0.3440,0.0000,200,1.3710
0.2696,0.0039,0.0000,0.0000,0.2655,0.0000,200,1.4625
0.2408,0.0058,0.0000,0.0000,0.2349,0.0001,200,1.5047
0.2427,0.0107,0.0000,0.0000,0.2319,0.0000,200,1.5108
0.2742,0.0072,0.0000,0.0000,0.2668,0.0001,200,1.5215
0.2736,0.0060,0.0000,0.0000,0.2674,0.0001,200,1.5609
0.2670,0.0051,0.0000,0.0000,0.2618,0.0001,200,1.5722
0.1800,0.0057,0.0000,0.0000,0.1742,0.0001,200,1.6663
0.1580,0.0065,0.0000,0.0000,0.1513,0.0001,200,1.7030
0.2235,0.0069,0.0000,0.0000,0.2164,0.0001,200,1.7094
0.2204,0.0135,0.0000,0.0000,0.2068,0.0001,200,1.7185
0.2154,0.0068,0.0000,0.0000,0.2084,0.0001,200,1.7321
0.2166,0.0078,0.0000,0.0000,0.2087,0.0001,200,1.7455
0.2162,0.0052,0.0000,0.0000,0.2109,0.0000,200,1.7535
0.2407,0.0062,0.0000,0.0000,0.2344,0.0001,200,1.7957
