time,sent,received,total
4.58,2530.63,7848.66,10.14
1005.84,2536.85,7871.77,10.16
2006.89,2539.8,7888.59,10.18
3007.65,2540.97,7889.38,10.19
4008.2,2545.44,7910.33,10.21
5008.77,2545.82,7910.43,10.21
6009.36,2546.57,7911.78,10.21
7009.95,2546.95,7912.03,10.21
8010.99,2546.95,7912.09,10.21
9012.2,2546.95,7912.09,10.21
10013.32,2548.38,7913.33,10.22
11014.46,2552.39,7921.48,10.23
12015.64,2553.6,7925.83,10.23
13016.87,2553.66,7925.94,10.23
14018.01,2553.95,7925.99,10.23
15018.79,2553.95,7926.11,10.23
16019.41,2554.53,7927.23,10.24
17020.0,2554.53,7927.29,10.24
18020.58,2554.9,7927.42,10.24
19021.18,2554.9,7927.48,10.24
20022.2,2555.97,7928.73,10.24
21023.3,2557.74,7934.05,10.25
22024.45,2558.51,7938.49,10.25
23025.52,2559.68,7939.22,10.25
24026.62,2559.68,7939.34,10.25
25027.73,2559.68,7939.4,10.25
26028.45,2562.04,7942.29,10.26
27029.07,2562.24,7942.44,10.26
28029.66,2563.94,7947.42,10.26
29030.26,2565.06,7951.72,10.27
30030.85,2565.25,7951.91,10.27
31031.65,2571.6,7961.94,10.29
32032.58,2605.83,7997.8,10.35
33033.54,2638.51,8029.82,10.42
34034.45,2655.45,8045.71,10.45
35035.35,2694.83,8081.01,10.52
36036.03,2742.92,8122.68,10.61
37036.62,2818.71,8189.52,10.75
38037.22,2863.54,8229.57,10.83
39037.81,2913.8,8273.8,10.92
40038.42,2942.8,8298.25,10.98
41039.19,2985.18,8339.49,11.06
42040.08,3025.25,8378.8,11.14
43040.96,3060.33,8410.36,11.2
44041.88,3096.17,8442.58,11.27
45042.73,3133.1,8479.45,11.34
46043.43,3182.64,8526.16,11.43
47044.02,3213.21,8591.17,11.53
48044.65,3253.77,8633.79,11.61
49045.26,3267.13,8649.07,11.64
50045.87,3319.04,8715.02,11.75
51046.62,3383.54,8796.12,11.89
52047.62,3423.76,8839.97,11.98
53048.6,3459.51,8872.04,12.04
54049.57,3497.64,8906.48,12.11
55050.53,3535.91,8940.63,12.18
56051.25,3552.21,8955.77,12.21
57051.85,3588.46,8986.91,12.28
58052.45,3616.78,9011.27,12.33
59053.07,3691.62,9077.74,12.47
60053.67,3762.53,9141.72,12.6
61054.54,3827.01,9198.57,12.72
62055.47,3880.92,9295.52,12.87
63056.16,3897.1,9312.42,12.9
64056.81,3908.37,9322.11,12.92
65057.63,3971.77,9410.55,13.07
66058.3,4048.46,9492.62,13.22
67058.95,4110.5,9545.77,13.34
68059.87,4156.71,9587.52,13.42
69060.85,4192.02,9619.86,13.49
70061.97,4219.54,9643.91,13.54
71063.15,4237.25,9661.69,13.57
72064.19,4248.1,9675.13,13.6
73065.21,4266.4,9695.11,13.63
74066.3,4307.25,9730.68,13.71
75067.31,4345.58,9764.65,13.78
76068.29,4383.13,9800.01,13.85
77069.56,4431.96,9841.79,13.94
78070.22,4492.99,9894.85,14.05
79070.82,4520.25,9917.04,14.1
80071.65,4580.46,9970.03,14.21
81072.42,4606.39,9992.85,14.26
82073.32,4662.48,10045.34,14.36
83074.71,4699.26,10082.18,14.43
84075.77,4739.45,10118.2,14.51
85076.74,4775.61,10151.33,14.58
86077.7,4813.63,10189.0,14.65
87078.57,4838.7,10214.0,14.7
88079.45,4899.17,10266.54,14.81
89080.1,4928.25,10292.24,14.86
90080.71,4989.72,10344.97,14.97
91081.31,5038.02,10387.03,15.06
92081.93,5096.39,10440.38,15.17
93082.54,5138.34,10476.74,15.25
94083.18,5196.06,10530.52,15.36
95083.81,5229.26,10563.05,15.42
96084.42,5271.19,10604.07,15.5
97085.04,5328.74,10654.08,15.61
98085.7,5383.15,10700.87,15.71
99086.31,5441.56,10751.62,15.81
100086.91,5481.55,10785.83,15.89
101087.58,5548.52,10846.22,16.01
102088.4,5566.04,10864.59,16.04
103089.87,5606.19,10901.27,16.12
104091.02,5647.24,10940.59,16.2
105092.15,5683.7,10973.52,16.27
106093.26,5724.5,11010.25,16.34
107094.62,5744.82,11028.8,16.38
108095.33,5805.57,11082.82,16.49
109095.93,5859.75,11133.05,16.59
110096.55,5883.24,11156.91,16.64
111097.26,5955.9,11222.39,16.78
112098.31,6029.96,11293.6,16.92
113099.31,6054.29,11318.25,16.96
114100.47,6089.18,11353.23,17.03
115101.48,6127.75,11387.78,17.1
116102.63,6167.35,11423.46,17.18
117103.7,6189.96,11444.43,17.22
118104.45,6207.44,11461.99,17.25
119105.08,6280.55,11529.24,17.39
120105.69,6352.13,11592.1,17.52
121106.31,6363.11,11601.75,17.54
122106.92,6371.56,11612.6,17.56
123107.94,6374.16,11614.56,17.57
124109.01,6375.23,11618.89,17.57
125110.19,6375.23,11618.95,17.57
126111.46,6375.94,11620.03,17.57
127112.65,6375.94,11620.08,17.57
128113.42,6375.94,11620.14,17.57
129114.04,6375.94,11620.2,17.57
130114.7,6375.94,11620.26,17.57
131115.36,6380.31,11628.17,17.59
132115.99,6381.38,11632.55,17.59
133117.01,6383.78,11638.13,17.6
134118.1,6384.89,11642.33,17.6
135119.34,6386.56,11650.58,17.61
136120.56,6387.13,11651.8,17.62
137121.71,6387.13,11651.86,17.62
138122.5,6387.13,11651.92,17.62
139123.15,6387.5,11652.16,17.62
140123.76,6387.5,11652.26,17.62
141124.38,6387.89,11653.39,17.62
142124.96,6387.89,11653.45,17.62
143126.0,6391.8,11659.72,17.63
144127.22,6391.8,11659.78,17.63
145128.44,6394.42,11663.98,17.63
146129.63,6395.0,11666.92,17.64
147130.68,6395.0,11666.98,17.64
148131.68,6396.44,11668.09,17.64
149132.37,6397.42,11672.34,17.65
150133.0,6398.12,11676.54,17.65
151133.62,6398.7,11677.72,17.65
152134.22,6399.41,11681.92,17.66
153134.85,6401.18,11690.4,17.67
154135.89,6402.55,11691.63,17.67
155137.05,6403.32,11695.84,17.67
156138.27,6403.89,11697.01,17.68
157139.49,6404.14,11697.25,17.68
158140.69,6404.39,11697.48,17.68
159141.45,6404.39,11697.54,17.68
160142.06,6404.76,11697.73,17.68
161142.71,6405.34,11698.9,17.68
162143.35,6405.34,11698.96,17.68
163143.96,6407.53,11703.98,17.69
164144.99,6409.32,11705.32,17.69
165146.19,6410.15,11709.53,17.69
166147.45,6411.67,11711.51,17.7
167148.62,6411.67,11711.57,17.7
168149.72,6411.67,11711.63,17.7
169150.45,6411.67,11711.69,17.7
170151.1,6412.32,11712.27,17.7
171151.76,6413.15,11713.61,17.7
172152.38,6413.54,11713.89,17.7
173152.99,6414.37,11718.09,17.71
174154.02,6415.44,11718.33,17.71
175155.27,6415.91,11719.6,17.71
176156.49,6417.63,11725.0,17.72
177157.58,6419.29,11733.29,17.73
178158.64,6419.48,11733.55,17.73
179159.39,6420.72,11734.26,17.73
180160.0,6420.72,11734.31,17.73
181160.61,6422.43,11736.44,17.73
182161.22,6425.73,11762.32,17.76
183161.86,6433.25,11788.29,17.79
184162.76,6440.24,11832.47,17.84
185163.79,6442.25,11837.87,17.85
186164.87,6443.87,11843.33,17.86
187166.03,6444.06,11843.39,17.86
188167.19,6445.59,11851.73,17.87
189167.98,6445.59,11851.79,17.87
190168.64,6445.59,11851.85,17.87
191169.24,6447.96,11855.08,17.87
192169.83,6448.14,11855.14,17.87
193170.42,6449.04,11859.44,17.88
194171.49,6449.39,11859.6,17.88
195172.67,6450.82,11860.84,17.88
196173.81,6452.99,11870.43,17.89
197174.76,6456.62,11896.0,17.92
198175.45,6463.04,11931.54,17.96
199176.09,6468.14,11962.9,18.0
200176.69,6468.14,11962.96,18.0
201177.28,6468.73,11964.24,18.0
202178.18,6468.73,11964.3,18.0
203179.37,6470.32,11969.12,18.01
204180.49,6470.67,11969.23,18.01
205181.63,6472.46,11969.28,18.01
206182.78,6474.84,11973.54,18.02
207183.98,6475.54,11977.74,18.02
208185.14,6475.61,11977.85,18.02
209186.28,6476.02,11978.06,18.02
210187.08,6476.02,11978.12,18.02
211187.67,6476.54,11979.25,18.02
212188.25,6476.91,11979.44,18.02
213188.85,6476.91,11979.5,18.02
214189.44,6477.67,11983.7,18.03
215190.44,6477.67,11983.76,18.03
216191.63,6481.0,11987.01,18.04
217192.78,6481.83,11991.21,18.04
218193.93,6481.83,11991.27,18.04
