time,sent,received,total
3.67,78627.58,20711.73,97.01
1004.44,79659.83,20903.94,98.21
2005.11,79711.56,20922.79,98.28
3005.89,80358.93,21058.71,99.04
4006.95,80456.71,21086.09,99.16
5007.69,80458.1,21086.35,99.16
6008.3,80458.52,21086.72,99.17
7008.89,80459.97,21087.01,99.17
8009.5,80460.13,21087.17,99.17
9010.17,80463.44,21087.7,99.17
10011.12,80467.28,21087.81,99.17
11012.1,80469.68,21088.9,99.18
12012.79,80479.34,21095.54,99.19
13013.4,80500.31,21104.57,99.22
14013.98,80513.95,21111.15,99.24
15014.57,80516.55,21114.14,99.25
16015.16,80517.21,21114.58,99.25
17015.74,80573.72,21117.35,99.31
18016.33,80574.16,21117.56,99.31
19016.97,80577.43,21117.96,99.31
20017.57,80577.77,21118.07,99.31
21018.29,80580.08,21119.0,99.32
22019.3,80582.0,21120.02,99.32
23020.06,80593.5,21125.86,99.33
24020.66,80607.89,21132.59,99.36
25021.28,80609.06,21132.8,99.36
26021.89,80609.29,21132.91,99.36
27022.46,80610.89,21133.3,99.36
28023.44,80629.05,21142.88,99.39
29024.29,80632.63,21143.27,99.39
30024.92,80636.68,21143.66,99.39
31025.59,80639.58,21144.87,99.4
32026.19,80641.52,21145.84,99.4
33027.27,81287.74,21215.53,100.1
34028.28,81507.45,21257.9,100.36
35029.63,82092.25,21305.95,100.97
36030.34,82493.61,21362.02,101.42
37031.01,83301.93,21428.66,102.28
38031.94,83925.27,21539.81,102.99
39032.56,84043.63,21549.64,103.12
40033.54,84488.29,21632.49,103.63
41034.62,84494.74,21636.36,103.64
42035.47,84510.07,21645.52,103.67
43036.1,84537.95,21663.78,103.71
44036.7,84894.13,21730.58,104.12
45037.32,85126.33,21753.28,104.37
46037.91,85973.57,21934.66,105.38
47038.69,86324.95,21992.33,105.78
48039.37,87155.6,22123.63,106.72
49039.98,87392.12,22163.98,106.99
50040.73,87393.86,22164.46,106.99
51041.34,87396.08,22165.44,106.99
52041.94,87397.72,22165.75,107.0
53042.82,87409.0,22172.16,107.01
54043.55,87425.29,22179.96,107.04
55044.15,87425.29,22180.02,107.04
56044.74,87429.61,22182.73,107.04
57045.36,87430.16,22182.89,107.04
58045.95,87450.35,22192.03,107.07
59046.92,87452.45,22192.38,107.07
60047.67,87454.9,22192.83,107.08
61048.25,87457.0,22194.1,107.08
62048.86,87458.53,22194.37,107.08
63049.48,87469.66,22201.16,107.1
64050.08,87484.98,22207.9,107.12
65050.98,87485.48,22208.06,107.12
66052.01,87486.96,22209.53,107.12
67052.74,87487.42,22209.69,107.13
68053.38,87489.02,22209.95,107.13
69053.97,87491.82,22210.51,107.13
70054.57,87493.0,22210.75,107.13
71055.16,87495.08,22211.78,107.13
72056.16,87496.14,22211.94,107.14
73057.05,87525.14,22227.79,107.18
74057.85,87540.59,22234.42,107.2
75058.45,87541.87,22237.13,107.21
76059.04,87544.16,22237.63,107.21
77059.64,87544.81,22238.04,107.21
