time,sent,received,total
5.32,19488.25,75371.74,92.64
1007.42,19647.13,76209.01,93.61
2008.16,19715.23,76441.21,93.9
3009.14,19828.68,76928.97,94.49
4009.8,19888.45,77175.56,94.79
5010.43,19888.51,77175.86,94.79
6011.54,19889.0,77177.33,94.79
7012.86,19889.1,77177.61,94.79
8014.18,19889.4,77178.89,94.79
9015.5,19889.69,77180.9,94.79
10016.74,19890.19,77182.16,94.8
11017.96,19891.0,77183.45,94.8
12019.12,19892.13,77186.24,94.8
13019.89,19905.82,77209.97,94.84
14020.54,19915.08,77226.92,94.87
15021.25,19918.02,77228.04,94.87
16022.1,19918.21,77229.67,94.87
17023.27,19922.08,77284.78,94.93
18024.63,19922.31,77285.86,94.93
19025.98,19922.66,77288.2,94.93
20027.16,19922.86,77289.64,94.93
21028.36,19923.6,77290.9,94.94
22029.51,19924.98,77293.4,94.94
23030.75,19929.13,77300.48,94.95
24032.01,19938.51,77318.17,94.98
25032.92,19938.51,77318.23,94.98
26033.58,19939.04,77319.57,94.98
27034.24,19939.1,77319.8,94.98
28034.89,19949.55,77338.6,95.01
29035.53,19950.09,77340.86,95.01
30036.6,19950.48,77342.22,95.01
31037.54,19982.93,77368.07,95.07
32038.45,20036.68,77410.68,95.16
33039.19,20112.17,77521.43,95.34
34039.86,20264.22,78348.75,96.3
35040.65,20338.4,78448.05,96.47
36041.56,20481.0,79400.84,97.54
37042.69,20563.6,79608.41,97.82
38043.61,20747.9,80847.39,99.21
39044.64,20835.62,80948.95,99.4
40045.45,20982.69,81537.08,100.12
41046.18,21039.15,81582.39,100.22
42046.94,21101.53,81637.14,100.33
43047.75,21173.0,81703.47,100.46
44049.8,21268.82,82033.82,100.88
45050.68,21362.59,82150.82,101.09
46052.36,21589.4,83188.38,102.32
47053.23,21735.75,83634.69,102.9
48054.03,21877.56,84368.68,103.76
49054.8,22023.53,84768.79,104.29
50055.55,22077.04,84811.38,104.38
51056.32,22131.39,84854.27,104.48
52057.07,22185.12,84896.73,104.57
53073.57,22245.06,84949.57,104.68
54075.45,22309.89,85008.88,104.8
55076.85,22363.29,85050.27,104.9
56078.45,22419.51,85095.29,104.99
57080.29,22474.19,85136.8,105.09
58081.62,22535.22,85197.58,105.21
59083.02,22590.94,85241.36,105.3
60083.98,22645.84,85285.46,105.4
61084.84,22700.33,85328.71,105.5
62085.57,22753.9,85371.02,105.59
63086.28,22813.37,85421.24,105.7
64087.91,22874.61,85478.71,105.81
65089.33,22928.78,85520.22,105.91
66090.34,22982.97,85563.33,106.0
67091.21,23037.55,85605.29,106.1
68091.92,23091.16,85648.57,106.19
69092.73,23144.5,85691.24,106.28
70093.46,23198.43,85734.71,106.38
71094.47,23253.05,85777.16,106.47
72095.47,23306.43,85819.33,106.57
73096.28,23375.35,85886.14,106.7
74097.0,23437.52,85944.34,106.82
75097.72,23494.11,85987.07,106.92
76098.43,23548.15,86029.7,107.01
77099.13,23601.85,86071.4,107.1
78100.05,23655.34,86113.56,107.2
79101.16,23709.53,86157.43,107.29
80101.99,23763.08,86200.2,107.39
81102.74,23817.19,86242.88,107.48
82103.48,23870.77,86285.27,107.57
83104.28,23929.83,86334.57,107.68
84105.02,23992.72,86392.51,107.8
85105.99,24046.29,86435.19,107.89
86107.03,24100.19,86478.27,107.99
87107.81,24153.44,86519.36,108.08
88108.58,24216.8,86578.67,108.2
89109.31,24270.52,86621.89,108.29
90110.05,24324.07,86664.78,108.39
91110.79,24378.95,86708.12,108.48
92111.75,24432.61,86751.03,108.58
93112.58,24491.56,86800.17,108.68
94113.29,24553.79,86858.25,108.8
95114.04,24607.28,86900.39,108.89
96114.8,24660.71,86942.25,108.99
97115.51,24714.3,86983.91,109.08
98116.56,24767.96,87026.64,109.17
99117.66,24821.73,87069.97,109.27
100118.48,24875.22,87112.63,109.36
101119.21,24929.25,87155.37,109.46
102119.95,24982.8,87197.87,109.55
103121.34,25050.54,87259.73,109.68
104122.61,25113.79,87320.15,109.8
105123.68,25170.46,87363.62,109.9
106124.78,25224.28,87406.27,109.99
107125.66,25277.66,87447.92,110.08
108126.42,25331.41,87490.87,110.18
109127.17,25384.83,87532.83,110.27
110127.91,25438.63,87577.03,110.37
111128.66,25492.73,87619.8,110.46
112129.7,25546.37,87663.41,110.56
113130.6,25604.43,87709.62,110.66
114131.42,25668.34,87769.56,110.78
115132.36,25722.29,87812.91,110.87
116133.13,25778.37,87857.63,110.97
117133.87,25832.18,87899.31,111.07
118134.82,25895.04,87959.82,111.19
119135.88,25948.91,88002.53,111.28
120136.81,26002.74,88046.26,111.38
121137.54,26020.2,88060.77,111.41
122138.26,26020.49,88062.24,111.41
123139.04,26026.42,88072.08,111.42
124139.77,26037.55,88090.52,111.45
125140.93,26076.9,88278.65,111.67
126141.82,26136.1,88499.75,111.95
127142.54,26136.33,88500.08,111.95
128143.26,26136.89,88501.77,111.95
129144.31,26181.59,88769.66,112.26
130145.16,26246.33,88923.58,112.47
131146.35,26247.07,88924.88,112.47
132147.7,26247.2,88925.97,112.47
133148.61,26298.46,89155.62,112.75
134149.34,26361.76,89357.63,113.01
135150.06,26364.62,89360.32,113.01
136150.79,26365.0,89361.41,113.01
137151.52,26411.81,89636.47,113.33
138152.27,26445.79,89754.17,113.48
139153.07,26446.56,89756.18,113.48
140153.81,26447.55,89759.48,113.48
141156.78,26484.39,89934.1,113.69
142158.12,26563.44,90201.05,114.03
143159.29,26563.62,90201.24,114.03
144160.64,26578.08,90223.75,114.06
145161.81,26629.96,90456.04,114.34
146162.57,26682.57,90620.02,114.55
147163.28,26683.27,90621.38,114.55
148164.04,26693.06,90637.03,114.58
149165.7,26740.26,90918.19,114.9
150167.09,26813.26,91238.96,115.29
151167.97,26814.04,91240.63,115.29
152168.94,26814.22,91240.63,115.29
153169.67,26835.41,91394.71,115.46
154170.45,26923.27,91650.33,115.79
155171.63,26924.95,91654.2,115.8
156172.54,26932.02,91747.77,115.9
157173.28,27001.68,92219.64,116.43
158174.33,27052.44,92479.55,116.73
159177.03,27058.66,92572.89,116.83
160222.88,27066.64,92668.07,116.93
161223.74,27144.14,93133.1,117.46
162224.49,27163.34,93186.99,117.53
163225.18,27171.05,93197.26,117.55
164230.81,27191.24,93315.18,117.68
165231.55,27264.35,93779.12,118.21
166232.71,27302.04,93866.64,118.33
167233.53,27302.62,93868.07,118.33
168247.22,27316.87,94055.27,118.53
169247.94,27389.07,94546.96,119.08
170248.96,27421.21,94675.32,119.23
171249.77,27422.01,94676.57,119.24
172293.7,27428.19,94767.78,119.33
173294.81,27498.49,95246.01,119.87
174295.74,27531.16,95381.62,120.03
175296.66,27534.37,95388.03,120.04
176297.44,27545.22,95482.01,120.14
177298.16,27647.64,96057.27,120.8
178299.13,27675.61,96122.14,120.9
179299.91,27678.36,96131.65,120.91
180300.65,27689.44,96353.6,121.14
181301.35,27690.62,96355.51,121.14
182302.05,27692.24,96357.44,121.14
183302.76,27693.42,96360.69,121.15
184303.67,27716.6,96600.51,121.4
185304.6,27734.06,96858.74,121.67
186305.34,27734.78,96871.7,121.69
187306.11,27735.08,96872.27,121.69
188306.84,27746.19,97091.46,121.91
189307.53,27746.57,97093.81,121.91
190308.24,27747.06,97095.4,121.92
191308.92,27748.57,97097.98,121.92
192311.2,27754.68,97185.16,122.01
193311.91,27759.53,97317.57,122.15
194312.93,27781.61,97350.73,122.2
195313.72,27791.61,97443.61,122.3
196436.85,27796.82,97531.61,122.39
197437.77,27802.88,97663.12,122.53
198438.45,27808.36,97751.37,122.62
199439.11,27809.07,97755.68,122.62
200440.3,27818.81,97972.82,122.84
201441.56,27820.05,97974.48,122.85
202442.64,27820.37,97975.57,122.85
203443.4,27829.59,98067.86,122.95
204444.12,27848.38,98300.91,123.19
205444.8,27848.44,98301.19,123.19
206445.46,27850.21,98304.87,123.2
207446.1,27850.4,98305.06,123.2
208446.76,27865.3,98525.79,123.43
209447.41,27870.29,98535.33,123.44
210448.06,27870.6,98535.88,123.44
211448.76,27872.44,98540.46,123.45
212449.41,27872.5,98540.74,123.45
213450.97,27875.87,98542.21,123.46
214452.02,27885.37,98564.06,123.49
215453.33,27885.44,98565.15,123.49
