time,total,idle,mem_total,mem_free,1821/cpu,1821/rss,3395/cpu,3395/rss,3416/cpu,3416/rss,3473/cpu,3473/rss,3503/cpu,3503/rss,3889/cpu,3889/rss,3972/cpu,3972/rss
1012.69,1145658,1092939,3887864,1960400,685,86804,334,66152,1094,58340,1865,71644,2792,59868,683,68268,391,51208
2014.72,1146047,1093227,3887864,1938176,686,86804,334,66160,1097,58340,1870,72424,2795,59868,683,68268,392,51208
3018.59,1146437,1093527,3887864,1929428,686,86804,335,66176,1100,58340,1877,72436,2803,59872,686,68276,392,51208
4020.62,1146832,1093883,3887864,1929448,686,86804,335,66196,1101,58340,1883,72440,2808,59872,690,68288,392,51208
5023.49,1147231,1094259,3887864,1938740,686,86804,335,66196,1102,58340,1883,72440,2808,59872,690,68288,392,51208
6028.28,1147628,1094649,3887864,1943928,686,86804,335,66196,1102,58340,1883,72440,2810,59872,690,68288,392,51208
7033.15,1148023,1095034,3887864,1943428,687,86804,335,66196,1103,58340,1883,72440,2811,59872,691,68288,392,51208
8037.3,1148416,1095410,3887864,1944020,687,86804,335,66196,1103,58340,1883,72440,2811,59872,691,68288,392,51208
9042.92,1148814,1095799,3887864,1944284,687,86804,335,66196,1104,58340,1883,72440,2811,59872,691,68288,392,51208
10047.07,1149211,1096185,3887864,1945236,687,86804,335,66196,1104,58340,1884,72440,2813,59872,691,68288,393,51208
11051.19,1149603,1096556,3887864,1946132,687,86804,335,66196,1104,58340,1884,72440,2813,59872,691,68288,393,51208
12055.29,1149997,1096938,3887864,1946468,688,86804,335,66196,1104,58340,1884,72440,2815,59872,691,68288,393,51208
13057.29,1150391,1097310,3887864,1946016,689,86804,335,66196,1105,58340,1885,72440,2816,59872,691,68288,394,51208
14059.11,1150789,1097701,3887864,1946612,689,86804,335,66196,1105,58344,1885,72440,2816,59872,692,68288,394,51208
15061.02,1151183,1098075,3887864,1948852,689,86804,335,66196,1105,58344,1885,72440,2816,59872,692,68288,394,51208
16062.84,1151582,1098467,3887864,1949184,689,86804,337,66196,1107,58344,1886,72440,2817,59872,692,68288,394,51208
17064.67,1151979,1098858,3887864,1948724,689,86804,337,66196,1107,58344,1886,72440,2817,59872,692,68288,394,51208
18069.95,1152372,1099224,3887864,1948728,689,86804,337,66196,1107,58344,1886,72440,2818,59872,692,68288,394,51208
19074.73,1152770,1099614,3887864,1948728,689,86804,337,66196,1107,58344,1886,72440,2818,59872,692,68288,394,51208
20079.04,1153165,1099997,3887864,1948476,689,86804,337,66196,1107,58344,1886,72440,2819,59872,692,68288,394,51208
21083.16,1153558,1100365,3887864,1948740,689,86804,337,66200,1108,58344,1886,72440,2820,59876,692,68288,394,51208
22087.21,1153954,1100746,3887864,1948488,690,86804,337,66200,1109,58344,1887,72440,2822,59876,693,68288,394,51208
23091.82,1154349,1101129,3887864,1948648,690,86804,337,66200,1110,58344,1888,72440,2823,59876,693,68288,394,51208
24096.57,1154746,1101502,3887864,1948732,690,86804,337,66200,1111,58344,1889,72440,2824,59876,694,68288,395,51208
25098.55,1155145,1101863,3887864,1925400,694,86804,337,66200,1111,58344,1890,72440,2825,59876,694,68288,395,51208
26100.44,1155541,1102256,3887864,1925472,694,86804,337,66208,1111,58344,1890,72440,2826,59876,694,68288,395,51208
27102.22,1155940,1102651,3887864,1926396,694,86804,337,66208,1111,58344,1890,72440,2826,59876,694,68288,395,51208
28104.01,1156336,1103033,3887864,1928032,694,86804,337,66208,1111,58344,1890,72440,2826,59876,694,68288,395,51208
29105.86,1156738,1103428,3887864,1929440,694,86804,337,66208,1111,58344,1890,72440,2827,59876,694,68288,395,51208
30109.83,1157141,1103818,3887864,1932188,694,86804,337,66208,1112,58344,1890,72440,2827,59876,694,68288,396,51208
31113.21,1157524,1104122,3887864,1929724,694,86804,353,66548,1113,58344,1890,72440,2828,59876,694,68288,396,51208
32116.6,1157913,1104431,3887864,1929464,695,86804,372,66876,1113,58344,1890,72440,2829,59876,695,68288,396,51208
33118.74,1158301,1104739,3887864,1929308,695,86804,387,66880,1117,58492,1893,72440,2832,59876,695,68288,396,51208
34120.69,1158686,1104861,3887864,1915020,695,86804,403,66896,1121,58508,1898,72480,2833,59876,696,68288,397,51208
35124.76,1159076,1105040,3887864,1878120,695,86804,419,66916,1125,58732,1901,72516,2834,59876,697,68288,397,51208
36129.53,1159465,1105095,3887864,1872076,696,86804,437,66968,1130,58916,1909,73132,2836,59884,699,68308,397,51208
37137.12,1159857,1105186,3887864,1855904,696,86804,455,68136,1135,58968,1912,73288,2837,59884,700,68324,397,51208
38142.44,1160252,1105213,3887864,1793248,697,86804,476,70340,1141,59096,1920,73296,2842,59884,703,68528,398,51208
39149.08,1160643,1105341,3887864,1786092,697,86804,493,72432,1141,59096,1921,73300,2842,59884,703,68528,398,51208
40150.97,1161032,1105502,3887864,1786096,698,86804,512,74676,1148,59832,1928,73312,2846,59884,704,68576,398,51208
41152.89,1161422,1105765,3887864,1779596,698,86804,528,76836,1148,59856,1929,73312,2847,59884,704,68576,398,51208
42160.5,1161806,1105909,3887864,1756372,699,86804,545,77088,1149,59864,1929,73312,2848,59884,704,68576,398,51208
43165.6,1162198,1106119,3887864,1750120,699,86804,561,77092,1149,59864,1929,73312,2850,59884,704,68576,398,51208
44172.65,1162589,1106252,3887864,1726584,699,86804,579,77100,1154,59892,1934,73316,2852,59884,705,68676,399,51208
45178.93,1162978,1106386,3887864,1695272,700,86804,596,77100,1154,59900,1936,73316,2853,59884,705,68676,399,51208
46182.72,1163363,1106452,3887864,1688340,700,86804,619,77116,1164,59912,1951,73864,2861,59888,706,68892,400,51208
47184.95,1163751,1106567,3887864,1667108,700,86804,638,77140,1166,59916,1956,73868,2863,59888,707,69020,401,51208
48192.44,1164136,1106738,3887864,1663676,700,86804,655,77172,1172,59984,1964,73920,2870,59888,708,69248,401,51212
