time,sent,received,total
2.15,28912.97,100976.87,126.84
1005.01,29074.02,101772.43,127.78
2006.36,29150.82,102036.95,128.11
3007.2,29268.5,102559.25,128.74
4007.83,29315.52,102774.03,128.99
5008.48,29316.63,102776.55,129.0
6009.12,29317.06,102776.95,129.0
7009.82,29317.93,102778.73,129.0
8010.48,29318.45,102781.1,129.0
9011.54,29318.64,102782.35,129.0
10012.2,29320.75,102784.09,129.01
11012.83,29321.05,102785.91,129.01
12014.53,29327.54,102793.02,129.02
13015.89,29336.77,102811.14,129.05
14017.12,29339.83,102814.41,129.06
15018.39,29340.27,102815.83,129.06
16019.56,29340.27,102815.89,129.06
17020.34,29340.46,102817.16,129.06
18020.99,29351.29,102835.77,129.09
19021.67,29351.59,102837.1,129.09
20022.33,29352.34,102838.41,129.09
21022.97,29352.97,102841.06,129.1
22024.87,29357.13,102845.08,129.1
23026.17,29366.7,102865.83,129.13
24027.32,29367.16,102866.51,129.13
25028.56,29367.45,102867.98,129.14
26029.89,29367.79,102868.26,129.14
27030.7,29368.05,102869.72,129.14
28031.36,29368.89,102872.58,129.14
29032.0,29369.64,102874.18,129.14
30032.64,29370.48,102875.59,129.15
31033.29,29408.59,102902.58,129.21
32034.26,29474.07,102945.61,129.32
33035.07,29577.51,103078.27,129.55
34035.86,29744.9,104025.76,130.63
35038.09,29827.55,104152.66,130.84
36038.87,29998.54,105089.31,131.92
37040.38,30081.98,105189.23,132.1
38041.21,30234.01,106013.61,133.05
39042.19,30302.79,106064.82,133.17
40043.07,30370.14,106112.21,133.28
41044.04,30507.87,106599.36,133.89
42045.06,30671.3,107085.61,134.53
43046.26,30771.79,107362.61,134.9
44047.36,30933.74,107879.23,135.56
45048.49,31064.59,108495.47,136.29
46049.44,31264.37,109078.17,137.05
47050.58,31512.45,110392.6,138.58
48051.31,31628.23,110668.38,138.96
49052.07,31699.79,110723.6,139.08
50052.89,31763.44,110766.08,139.19
51053.93,31826.49,110809.13,139.29
52054.69,31890.42,110852.06,139.4
53055.73,31966.91,110915.5,139.53
54056.58,32029.75,110956.8,139.63
55057.34,32092.72,110999.33,139.74
56058.02,32155.94,111041.15,139.84
57059.01,32220.02,111085.12,139.95
58059.79,32283.4,111128.64,140.05
59060.53,32346.6,111171.34,140.15
60061.28,32410.24,111214.41,140.26
61062.04,32474.42,111258.38,140.36
62062.73,32537.92,111300.02,140.47
63063.48,32618.33,111367.71,140.61
64064.52,32691.67,111427.38,140.74
65065.33,32754.59,111469.75,140.84
66066.03,32817.36,111510.88,140.95
67066.76,32880.32,111553.37,141.05
68067.55,32943.51,111597.12,141.15
69068.31,33006.57,111639.5,141.26
70069.34,33070.21,111681.88,141.36
71070.56,33133.82,111724.7,141.46
72071.38,33196.77,111766.58,141.57
73072.14,33273.37,111832.43,141.7
74072.88,33335.12,111873.72,141.8
75073.69,33396.65,111915.31,141.91
76074.44,33459.65,111956.48,142.01
77075.42,33523.96,111999.58,142.11
78077.26,33587.23,112043.07,142.22
79078.08,33659.86,112101.22,142.34
80078.84,33723.43,112143.6,142.45
81080.46,33786.98,112188.7,142.55
82081.95,33849.99,112230.39,142.66
83083.06,33926.89,112297.11,142.8
84085.02,33989.83,112337.03,142.9
85087.14,34053.76,112381.71,143.0
86088.62,34116.61,112423.2,143.1
87090.22,34179.67,112465.81,143.21
88091.53,34244.24,112509.33,143.31
89092.71,34307.29,112551.89,143.42
90095.72,34372.44,112595.03,143.52
91097.96,34434.57,112638.94,143.63
92102.61,34501.66,112682.03,143.73
93103.38,34581.68,112749.27,143.88
94104.12,34654.94,112806.86,144.0
95104.86,34717.77,112848.92,144.11
96105.7,34780.66,112890.76,144.21
97107.0,34843.69,112933.33,144.31
98108.13,34907.81,112978.17,144.42
99108.93,34972.11,113021.57,144.52
100109.71,35035.8,113064.64,144.63
101110.44,35099.2,113107.24,144.73
102111.33,35161.82,113148.55,144.83
103112.11,35239.15,113214.99,144.97
104113.09,35302.27,113256.33,145.08
105114.18,35365.18,113298.7,145.18
106115.18,35428.34,113340.07,145.28
107116.2,35491.25,113382.39,145.38
108117.24,35554.41,113425.96,145.49
109118.31,35626.46,113480.96,145.61
110119.13,35690.04,113523.49,145.72
111119.87,35752.93,113565.81,145.82
112120.61,35816.18,113608.04,145.92
113121.35,35892.5,113674.53,146.06
114122.39,35955.34,113716.54,146.16
115123.47,36018.32,113758.9,146.27
116124.46,36081.8,113802.0,146.37
117125.44,36145.02,113845.03,146.47
118126.55,36208.31,113888.28,146.58
119127.41,36271.34,113930.86,146.68
120128.26,36335.18,113973.46,146.79
121129.22,36354.21,113987.3,146.82
122130.12,36354.38,113988.1,146.82
123131.03,36417.67,114271.83,147.16
124134.04,36473.28,114418.31,147.35
125135.4,36475.73,114422.83,147.36
126136.57,36475.98,114423.24,147.36
127137.67,36511.83,114636.72,147.61
