response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0044,0.0006,0.0000,0.0001,0.0034,0.0001,200,0.1017
0.0043,0.0007,0.0000,0.0001,0.0034,0.0001,200,0.1018
0.0047,0.0007,0.0000,0.0000,0.0040,0.0000,200,0.1020
0.0049,0.0005,0.0000,0.0001,0.0040,0.0000,200,0.1018
0.0050,0.0006,0.0000,0.0001,0.0041,0.0000,200,0.1017
0.0050,0.0007,0.0000,0.0001,0.0040,0.0000,200,0.1017
0.0047,0.0006,0.0000,0.0001,0.0040,0.0000,200,0.1020
0.0050,0.0005,0.0000,0.0001,0.0040,0.0001,200,0.1018
0.0049,0.0008,0.0000,0.0001,0.0040,0.0000,200,0.1018
0.0051,0.0006,0.0000,0.0001,0.0040,0.0000,200,0.1017
0.0030,0.0006,0.0000,0.0001,0.0022,0.0001,200,0.2022
0.0033,0.0005,0.0000,0.0000,0.0026,0.0001,200,0.2021
0.0033,0.0004,0.0000,0.0000,0.0027,0.0001,200,0.2022
0.0032,0.0005,0.0000,0.0000,0.0026,0.0001,200,0.2023
0.0034,0.0005,0.0000,0.0000,0.0028,0.0000,200,0.2023
0.0035,0.0005,0.0000,0.0000,0.0029,0.0001,200,0.2023
0.0035,0.0005,0.0000,0.0000,0.0029,0.0001,200,0.2023
0.0039,0.0005,0.0000,0.0000,0.0033,0.0000,200,0.2020
0.0036,0.0006,0.0000,0.0000,0.0029,0.0000,200,0.2023
0.0039,0.0005,0.0000,0.0001,0.0033,0.0001,200,0.2023
0.0039,0.0007,0.0000,0.0000,0.0032,0.0001,200,0.3026
0.0039,0.0006,0.0000,0.0000,0.0032,0.0001,200,0.3027
0.0038,0.0005,0.0000,0.0001,0.0032,0.0001,200,0.3027
0.0039,0.0006,0.0000,0.0000,0.0032,0.0001,200,0.3027
0.0039,0.0006,0.0000,0.0000,0.0033,0.0000,200,0.3027
0.0039,0.0005,0.0000,0.0000,0.0033,0.0000,200,0.3027
0.0042,0.0006,0.0000,0.0001,0.0034,0.0000,200,0.3025
0.0043,0.0005,0.0000,0.0000,0.0037,0.0000,200,0.3026
0.0045,0.0006,0.0000,0.0000,0.0038,0.0000,200,0.3026
0.0049,0.0006,0.0000,0.0000,0.0041,0.0000,200,0.3025
