time,sent,received,total
6.16,278803.5,1165097.59,1410.06
1012.57,278808.24,1165100.65,1410.07
2016.81,278811.73,1165103.16,1410.07
3021.13,278815.17,1165105.62,1410.08
4024.61,278818.45,1165108.0,1410.08
5028.57,278821.76,1165110.38,1410.09
6032.3,278825.32,1165112.88,1410.1
7035.22,278828.12,1165114.85,1410.1
8039.54,278831.72,1165117.5,1410.11
9044.66,278834.89,1165119.75,1410.11
10048.86,278838.31,1165122.12,1410.12
11063.13,278841.93,1165124.87,1410.12
12066.31,278845.17,1165127.26,1410.13
13072.5,278848.25,1165129.49,1410.13
14077.52,278851.56,1165131.88,1410.14
15082.53,278854.64,1165134.26,1410.14
16086.78,278858.17,1165136.76,1410.15
17091.63,278861.36,1165139.01,1410.16
18097.0,278864.65,1165141.45,1410.16
19101.67,278868.24,1165143.9,1410.17
20105.45,278871.64,1165146.39,1410.17
21109.6,278874.79,1165148.63,1410.18
22113.29,278878.11,1165150.88,1410.18
23122.19,278881.17,1165153.19,1410.19
24128.22,278884.29,1165155.51,1410.19
25131.69,278887.67,1165157.87,1410.2
26136.44,278891.11,1165160.37,1410.21
27141.67,278894.4,1165162.75,1410.21
28146.3,278897.54,1165165.11,1410.22
29151.34,278900.73,1165167.43,1410.22
30156.61,278910.62,1165175.15,1410.24
31160.63,278967.21,1165225.35,1410.34
32165.01,279023.42,1165275.53,1410.45
33171.44,279079.98,1165325.67,1410.55
34175.5,279136.52,1165375.81,1410.66
35181.22,279193.06,1165426.13,1410.76
36184.99,279249.69,1165476.52,1410.87
37192.17,279306.22,1165526.79,1410.97
38196.09,279362.83,1165577.06,1411.07
39199.17,279418.58,1165626.51,1411.18
40203.44,279475.57,1165677.34,1411.28
41208.03,279531.95,1165727.46,1411.39
42212.82,279590.01,1165781.03,1411.5
43216.59,279650.18,1165832.37,1411.6
44218.53,279706.33,1165882.95,1411.71
45220.86,279762.72,1165933.07,1411.81
46223.71,279819.49,1165983.53,1411.92
47226.31,279875.8,1166033.85,1412.02
48228.73,279932.07,1166083.97,1412.12
49231.9,279988.73,1166134.17,1412.23
50234.18,280045.32,1166184.74,1412.33
51237.35,280101.88,1166235.39,1412.44
52241.87,280158.48,1166285.66,1412.54
53245.24,280214.93,1166335.72,1412.65
54248.99,280271.08,1166385.92,1412.75
55252.8,280326.94,1166435.87,1412.85
56256.59,280383.38,1166486.14,1412.96
57258.61,280439.92,1166536.92,1413.06
58262.66,280496.42,1166587.12,1413.17
59266.67,280552.68,1166637.95,1413.27
60272.24,280609.23,1166688.85,1413.38
61275.84,280665.95,1166740.02,1413.48
62279.26,280722.98,1166790.35,1413.59
63284.08,280779.58,1166840.67,1413.69
64288.69,280836.25,1166890.94,1413.8
65292.71,280892.9,1166941.71,1413.9
66296.37,280949.38,1166991.77,1414.0
67300.06,281006.19,1167042.43,1414.11
68304.51,281062.83,1167092.69,1414.21
69308.21,281119.02,1167143.14,1414.32
70314.27,281179.45,1167198.06,1414.43
71317.42,281237.34,1167248.7,1414.54
72320.01,281293.65,1167298.77,1414.64
73323.65,281350.41,1167348.97,1414.75
74327.17,281407.14,1167399.75,1414.85
75329.75,281463.79,1167449.92,1414.95
76331.87,281520.72,1167500.19,1415.06
77334.5,281576.57,1167549.64,1415.16
78338.13,281632.95,1167599.9,1415.27
79341.42,281689.07,1167650.15,1415.37
80345.02,281745.78,1167700.6,1415.47
81349.23,281802.35,1167751.12,1415.58
82353.4,281858.78,1167801.38,1415.68
83357.26,281915.25,1167851.64,1415.79
84362.11,281971.34,1167901.68,1415.89
85365.77,282027.77,1167952.45,1416.0
86369.78,282084.24,1168002.84,1416.1
87374.2,282140.8,1168053.17,1416.2
88379.2,282197.62,1168103.89,1416.31
89383.98,282254.09,1168154.53,1416.41
90389.34,282310.61,1168205.49,1416.52
91393.13,282366.99,1168255.75,1416.62
92398.48,282423.52,1168306.53,1416.73
93402.71,282479.82,1168356.85,1416.83
94407.73,282536.2,1168407.7,1416.94
95414.4,282593.97,1168461.67,1417.05
96419.1,282654.65,1168513.48,1417.16
97421.79,282711.08,1168564.06,1417.26
98424.35,282767.78,1168614.52,1417.37
99426.98,282824.29,1168664.91,1417.47
100429.28,282880.77,1168715.07,1417.57
101433.24,282937.22,1168765.26,1417.68
102436.55,282993.83,1168815.77,1417.78
103440.13,283050.21,1168865.77,1417.89
104443.75,283106.82,1168916.03,1417.99
105447.69,283163.43,1168966.54,1418.09
106450.72,283220.07,1169016.67,1418.2
107455.35,283276.67,1169067.19,1418.3
108460.05,283333.28,1169117.58,1418.41
109466.32,283389.81,1169167.96,1418.51
110469.32,283446.37,1169218.67,1418.62
111475.91,283503.0,1169269.39,1418.72
112480.8,283559.51,1169319.59,1418.83
113487.09,283615.89,1169370.3,1418.93
114491.7,283672.53,1169421.02,1419.04
115496.56,283729.03,1169471.65,1419.14
116502.02,283785.46,1169521.73,1419.25
117506.35,283841.88,1169571.98,1419.35
118510.58,283898.32,1169622.37,1419.45
119515.2,283957.44,1169676.13,1419.56
120517.86,283989.14,1169702.85,1419.62
121524.64,283991.99,1169704.96,1419.62
122529.53,283995.82,1169707.41,1419.63
123532.55,283998.73,1169709.52,1419.64
124536.24,284001.8,1169711.7,1419.64
125540.82,284005.19,1169714.19,1419.65
126545.22,284008.63,1169716.58,1419.65
127548.73,284012.33,1169719.21,1419.66
128552.4,284015.62,1169721.59,1419.67
129557.59,284018.91,1169723.97,1419.67
130562.46,284022.52,1169726.65,1419.68
131566.0,284025.65,1169728.9,1419.68
132570.21,284028.81,1169731.07,1419.69
133575.25,284032.03,1169733.39,1419.69
134581.74,284035.4,1169735.77,1419.7
135586.62,284038.66,1169738.28,1419.7
136589.57,284042.04,1169740.52,1419.71
137593.12,284045.27,1169742.77,1419.71
138596.71,284048.35,1169744.88,1419.72
139602.97,284051.42,1169747.26,1419.72
140606.86,284055.14,1169749.95,1419.73
141609.86,284058.27,1169752.2,1419.74
142613.97,284061.65,1169754.59,1419.74
143617.08,284065.0,1169756.98,1419.75
144620.19,284067.61,1169758.81,1419.75
145624.99,284070.35,1169760.76,1419.76
146630.04,284073.39,1169763.06,1419.76
147635.4,284076.58,1169765.31,1419.77
148639.56,284079.73,1169767.55,1419.77
149643.96,284082.91,1169769.87,1419.78
150647.28,284085.89,1169771.95,1419.78
151652.12,284089.21,1169774.27,1419.79
152655.63,284092.65,1169776.65,1419.79
153659.55,284095.89,1169779.15,1419.8
154663.6,284099.21,1169781.59,1419.8
155666.95,284102.25,1169783.68,1419.81
156670.21,284105.54,1169785.99,1419.82
157673.21,284109.05,1169788.38,1419.82
158677.16,284112.53,1169790.83,1419.83
159681.97,284115.84,1169793.41,1419.83
160685.18,284118.93,1169795.74,1419.84
161689.27,284122.06,1169798.12,1419.84
162692.43,284125.66,1169800.51,1419.85
163696.42,284129.2,1169802.89,1419.86
164700.12,284132.15,1169805.0,1419.86
165704.91,284135.55,1169807.43,1419.87
166710.91,284138.7,1169809.81,1419.87
167714.27,284141.93,1169812.06,1419.88
168718.31,284145.19,1169814.3,1419.88
169722.94,284148.54,1169816.69,1419.89
170727.36,284151.82,1169819.18,1419.89
171731.72,284154.65,1169821.29,1419.9
172734.82,284157.84,1169823.68,1419.9
173739.15,284161.0,1169825.93,1419.91
174744.51,284164.14,1169828.18,1419.91
175750.27,284167.66,1169830.94,1419.92
176753.23,284170.27,1169832.91,1419.92
177756.35,284173.29,1169835.01,1419.93
178760.54,284176.86,1169837.78,1419.94
179764.41,284180.15,1169840.15,1419.94
180769.44,284183.35,1169842.52,1419.95
181773.28,284186.42,1169844.76,1419.95
182776.84,284190.03,1169847.22,1419.96
183781.08,284193.63,1169849.6,1419.96
184784.98,284197.14,1169851.99,1419.97
185788.44,284200.63,1169854.49,1419.98
186791.55,284203.66,1169856.74,1419.98
187796.38,284207.04,1169859.13,1419.99
188799.89,284210.58,1169861.64,1419.99
189804.31,284214.12,1169864.29,1420.0
190808.69,284217.63,1169866.96,1420.0
191813.48,284220.95,1169869.34,1420.01
192818.72,284224.24,1169871.85,1420.02
193823.31,284227.54,1169874.23,1420.02
194828.17,284230.63,1169876.47,1420.03
195831.39,284233.67,1169878.62,1420.03
196835.52,284237.12,1169881.07,1420.04
197837.89,284240.13,1169883.18,1420.04
198841.14,284243.2,1169885.29,1420.05
199847.25,284246.6,1169887.8,1420.05
200852.23,284250.16,1169890.57,1420.06
201858.19,284253.7,1169893.08,1420.06
202862.73,284256.92,1169895.39,1420.07
203867.07,284260.37,1169897.83,1420.08
204871.44,284263.87,1169900.34,1420.08
205876.18,284267.24,1169902.91,1420.09
206882.5,284270.52,1169905.22,1420.09
207886.83,284273.9,1169907.74,1420.1
208891.56,284277.24,1169910.19,1420.1
