time,sent,received,total
6.29,284543.7,1170123.55,1420.57
1012.08,284550.49,1170127.84,1420.58
2012.87,284551.63,1170128.62,1420.59
3015.82,284554.63,1170130.73,1420.59
4019.12,284557.6,1170132.9,1420.6
5023.5,284560.89,1170135.22,1420.6
6032.06,284564.28,1170137.72,1420.61
7035.93,284567.46,1170140.1,1420.61
8043.84,284570.69,1170142.47,1420.62
9048.45,284574.05,1170144.86,1420.62
10053.03,284577.57,1170147.17,1420.63
11056.69,284580.61,1170149.46,1420.63
12061.49,284583.91,1170151.71,1420.64
13064.31,284587.29,1170154.02,1420.65
14068.36,284590.7,1170156.41,1420.65
15073.53,284593.98,1170158.66,1420.66
16078.2,284597.57,1170161.35,1420.66
17082.66,284600.67,1170163.6,1420.67
18096.13,284603.98,1170166.04,1420.67
19101.93,284606.93,1170168.14,1420.68
20108.08,284610.19,1170170.46,1420.68
21112.77,284613.65,1170172.82,1420.69
22116.61,284616.83,1170174.93,1420.69
23121.31,284620.35,1170177.17,1420.7
24126.49,284623.77,1170179.54,1420.71
25132.24,284627.45,1170182.24,1420.71
26135.02,284631.13,1170184.75,1420.72
27138.16,284634.29,1170186.86,1420.72
28142.56,284637.7,1170189.25,1420.73
29146.16,284641.37,1170191.63,1420.74
30148.44,284651.62,1170199.0,1420.75
31151.89,284717.6,1170249.06,1420.87
32155.7,284783.46,1170299.33,1420.98
33161.52,284849.19,1170349.6,1421.09
34165.23,284915.13,1170399.53,1421.21
35170.88,284981.34,1170449.85,1421.32
36174.9,285047.23,1170499.92,1421.43
37179.64,285113.14,1170550.24,1421.55
38183.22,285178.48,1170599.95,1421.66
39189.09,285244.32,1170649.94,1421.77
40193.52,285309.9,1170699.91,1421.88
41199.63,285375.95,1170749.97,1422.0
42204.01,285441.92,1170800.23,1422.11
43208.52,285507.67,1170850.55,1422.22
44215.29,285576.29,1170904.29,1422.34
45217.66,285646.13,1170955.77,1422.46
46220.95,285712.27,1171005.78,1422.58
47223.97,285778.52,1171056.11,1422.69
48226.59,285844.38,1171106.31,1422.8
49228.98,285909.97,1171156.38,1422.92
50231.45,285975.93,1171206.42,1423.03
51235.35,286041.74,1171256.47,1423.14
52238.87,286107.47,1171306.33,1423.25
53243.65,286173.51,1171356.85,1423.37
54247.82,286239.54,1171407.25,1423.48
55250.32,286305.93,1171457.63,1423.6
56254.33,286371.87,1171508.02,1423.71
57258.64,286437.84,1171558.16,1423.82
58262.11,286503.55,1171608.28,1423.94
59266.33,286569.38,1171658.6,1424.05
60269.19,286635.15,1171708.88,1424.16
61272.74,286701.05,1171758.74,1424.28
62276.82,286766.94,1171808.8,1424.39
63282.08,286832.98,1171859.32,1424.5
64286.53,286898.53,1171909.17,1424.62
65291.68,286964.61,1171959.48,1424.73
66295.3,287030.62,1172009.62,1424.84
67300.62,287096.68,1172060.34,1424.96
68305.34,287162.35,1172110.46,1425.07
69309.16,287228.39,1172160.79,1425.18
70315.75,287300.21,1172216.05,1425.31
71318.17,287365.44,1172265.76,1425.42
72320.91,287431.65,1172316.16,1425.53
73324.04,287497.76,1172366.29,1425.65
74327.32,287563.97,1172416.24,1425.76
75329.88,287630.23,1172466.5,1425.88
76332.82,287696.24,1172516.42,1425.99
77335.79,287762.51,1172566.75,1426.1
78338.6,287828.3,1172616.74,1426.22
79342.35,287893.99,1172666.74,1426.33
80345.68,287959.99,1172716.79,1426.44
81350.93,288026.19,1172766.93,1426.56
82354.69,288092.69,1172817.39,1426.67
83358.63,288158.81,1172867.65,1426.78
84362.89,288224.75,1172917.91,1426.9
85365.92,288290.57,1172968.35,1427.01
86369.67,288356.58,1173018.42,1427.12
87373.37,288422.57,1173068.29,1427.24
88376.61,288488.68,1173118.49,1427.35
89382.7,288554.82,1173169.02,1427.46
90387.0,288620.94,1173219.71,1427.58
91390.14,288686.91,1173269.91,1427.69
92395.2,288752.85,1173320.04,1427.8
93399.01,288818.88,1173370.18,1427.92
94404.35,288884.79,1173420.18,1428.03
95408.78,288950.94,1173470.69,1428.15
96414.99,289021.84,1173525.14,1428.27
97417.49,289089.4,1173575.91,1428.38
98420.24,289155.41,1173625.91,1428.5
99423.44,289221.55,1173676.37,1428.61
100426.28,289287.7,1173726.82,1428.72
101429.2,289353.7,1173776.89,1428.84
102432.13,289419.72,1173826.95,1428.95
103435.46,289485.77,1173877.4,1429.07
104438.08,289551.73,1173927.47,1429.18
105441.26,289617.4,1173977.31,1429.29
106444.47,289683.46,1174027.31,1429.4
107448.11,289749.51,1174077.51,1429.52
108452.61,289815.62,1174127.91,1429.63
109456.71,289881.93,1174178.81,1429.75
110461.69,289947.9,1174229.38,1429.86
111465.97,290014.17,1174279.58,1429.97
112472.29,290079.78,1174330.03,1430.09
113476.76,290145.62,1174380.1,1430.2
114480.65,290211.54,1174430.16,1430.31
115483.62,290277.55,1174480.42,1430.43
116487.21,290343.43,1174530.6,1430.54
117490.84,290409.32,1174580.92,1430.65
118494.98,290475.46,1174631.45,1430.77
119499.69,290541.58,1174681.64,1430.88
120504.07,290583.33,1174713.4,1430.95
121508.46,290586.59,1174715.65,1430.96
122512.53,290589.58,1174717.89,1430.96
123516.0,290592.83,1174720.14,1430.97
124520.43,290596.35,1174722.52,1430.97
125524.87,290600.11,1174725.16,1430.98
126528.78,290603.29,1174727.47,1430.99
127532.1,290606.51,1174729.89,1430.99
128535.23,290609.81,1174732.13,1431.0
129540.85,290612.95,1174734.45,1431.0
130545.48,290616.71,1174737.21,1431.01
131551.08,290619.73,1174739.51,1431.01
132555.35,290623.37,1174741.9,1431.02
133560.57,290626.67,1174744.14,1431.03
134564.12,290630.13,1174746.39,1431.03
135567.12,290633.6,1174748.76,1431.04
136570.79,290636.31,1174750.59,1431.04
137575.57,290639.43,1174752.83,1431.05
138580.5,290642.75,1174755.14,1431.05
139585.53,290646.11,1174757.39,1431.06
140590.11,290649.76,1174759.95,1431.06
141595.34,290652.97,1174762.33,1431.07
142601.34,290656.87,1174764.85,1431.08
143606.05,290660.09,1174767.29,1431.08
144610.89,290663.23,1174769.54,1431.09
