time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,8877/cpu,8877/rss,8966/cpu,8966/rss,9073/cpu,9073/rss,9161/cpu,9161/rss,9270/cpu,9270/rss,9525/cpu,9525/rss
1009.35,2767276,2718023,16370460,11408864,1458,109936,8201,67556,13033,381776,752,65356,4687,123380,397,52432,547,70908,395,54840,751,55156,273,65556,161,47912
2011.96,2767873,2718611,16370460,11412728,1458,109936,8203,67556,13036,381776,752,65356,4688,123380,397,52432,547,70908,395,54840,752,55156,273,65556,161,47912
3016.92,2768472,2719204,16370460,11412476,1458,109936,8204,67556,13038,381776,752,65356,4689,123380,397,52432,547,70908,396,54840,752,55156,273,65556,161,47912
4020.38,2769070,2719793,16370460,11412476,1458,109936,8206,67684,13040,381776,752,65356,4690,123380,397,52432,547,70908,396,54840,752,55156,273,65556,161,47912
5024.41,2769668,2720383,16370460,11412476,1459,109936,8206,67684,13042,381776,752,65356,4691,123380,397,52432,547,70908,396,54840,752,55156,273,65556,162,47912
6033.29,2770269,2720975,16370460,11412252,1459,109936,8207,67684,13045,381776,752,65356,4693,123380,397,52432,547,70908,396,54840,752,55156,273,65556,162,47912
7036.98,2770866,2721554,16370460,11416788,1459,109936,8212,67700,13050,381776,752,65356,4694,123380,397,52432,548,71036,396,54840,753,55156,273,65556,162,47912
8044.06,2771466,2722146,16370460,11416788,1459,109936,8213,67700,13052,381776,752,65356,4695,123380,397,52432,548,71036,396,54840,753,55156,273,65556,162,47912
9049.42,2772064,2722739,16370460,11416788,1460,109936,8214,67700,13054,381776,752,65356,4695,123380,397,52432,548,71036,396,54840,753,55156,274,65556,162,47912
10054.03,2772665,2723333,16370460,11416788,1460,109936,8216,67700,13056,381776,753,65356,4697,123380,397,52432,548,71036,396,54840,753,55156,274,65684,162,47912
11057.89,2773263,2723920,16370460,11416788,1460,109936,8218,67700,13059,381776,753,65356,4698,123380,397,52432,548,71036,396,54840,753,55156,274,65684,162,47912
12061.12,2773860,2724511,16370460,11416788,1460,109936,8220,67700,13062,381776,754,65356,4699,123380,398,52432,548,71036,396,54840,753,55156,275,65684,162,47912
13065.04,2774459,2725103,16370460,11416788,1460,109936,8221,67700,13064,381776,754,65356,4700,123380,398,52432,548,71036,397,54840,753,55156,275,65684,162,47912
14069.54,2775057,2725695,16370460,11416536,1461,109936,8222,67700,13067,381776,754,65356,4702,123380,398,52432,548,71036,398,54840,753,55156,275,65812,162,47912
15074.66,2775661,2726288,16370460,11416536,1461,109936,8223,67828,13069,381776,754,65356,4702,123380,398,52432,549,71036,398,54840,754,55156,275,65812,162,47912
16079.21,2776261,2726881,16370460,11416536,1461,109936,8224,67828,13071,381776,754,65356,4703,123380,398,52432,549,71036,398,54840,754,55156,275,65812,162,47912
17083.11,2776860,2727465,16370460,11416284,1461,109936,8229,67372,13075,381776,754,65356,4704,123380,398,52432,549,71036,398,54840,755,55156,275,65812,162,47912
18099.45,2777464,2728059,16370460,11404944,1461,109936,8230,67372,13078,381776,754,65356,4704,123380,398,52432,549,71036,398,54840,755,55156,275,65812,162,47912
19103.26,2778063,2728647,16370460,11404944,1462,109936,8233,67500,13080,381776,754,65356,4706,123380,398,52432,549,71036,398,54840,755,55156,275,65812,162,47912
20108.89,2778661,2729239,16370460,11405324,1463,109936,8233,67628,13082,381776,754,65356,4707,123380,398,52432,549,71036,398,54840,755,55156,275,65812,162,47912
21113.96,2779260,2729830,16370460,11405420,1463,109936,8234,67628,13084,381776,754,65356,4708,123380,398,52432,549,71036,398,54840,755,55156,275,65812,162,47912
22117.67,2779859,2730424,16370460,11405528,1463,109936,8235,67628,13086,381776,754,65356,4709,123380,398,52432,549,71036,398,54840,755,55156,275,65812,162,47912
23122.55,2780458,2731018,16370460,11405556,1463,109936,8236,67628,13089,381776,754,65356,4710,123380,398,52432,549,71036,398,54840,755,55156,275,65812,162,47912
24127.05,2781056,2731608,16370460,11405556,1463,109936,8238,67628,13091,381776,755,65356,4712,123380,398,52432,549,71036,398,54840,756,55156,275,65940,162,47912
25132.68,2781654,2732199,16370460,11405556,1463,109936,8238,67628,13093,381776,755,65356,4712,123380,398,52432,549,71036,398,54840,756,55156,275,65940,162,47912
26135.99,2782251,2732786,16370460,11405308,1463,109936,8241,67628,13097,381776,755,65356,4713,123380,398,52432,549,71036,398,54840,756,55156,275,65940,162,47912
27139.03,2782848,2733371,16370460,11405308,1463,109936,8246,67532,13101,381776,755,65356,4715,123380,398,52432,549,71036,398,54840,756,55156,275,65940,163,47912
28143.34,2783445,2733957,16370460,11395984,1464,109936,8248,69068,13103,381776,755,65356,4715,123380,398,52432,549,71036,398,54840,756,55156,275,65940,163,47912
29147.16,2784044,2734548,16370460,11395984,1464,109936,8250,69324,13105,381776,755,65356,4717,123380,398,52432,549,71036,399,54840,756,55156,275,65940,163,47912
30149.17,2784643,2735137,16370460,11396212,1464,109936,8251,69324,13107,381776,756,65356,4718,123380,398,52432,549,71036,400,54840,756,55156,275,65940,163,47912
31152.53,2785238,2735710,16370460,11396456,1465,109936,8251,69324,13110,381776,756,65356,4718,123380,401,53200,549,71036,400,54840,756,55156,275,65940,163,47912
32157.82,2785836,2736271,16370460,11393948,1465,109936,8259,67928,13117,381776,757,65356,4720,123380,405,55120,550,71036,401,55736,757,55156,276,66068,163,47912
33162.41,2786427,2736700,16370460,11347052,1465,109936,8278,62424,13141,381904,758,65356,4724,124404,408,57040,554,71548,403,55736,758,55156,276,66580,163,47912
34165.81,2787020,2737246,16370460,11339680,1465,109936,8284,63460,13156,392272,758,65484,4726,125684,410,59344,555,71676,404,56376,759,55156,276,66708,163,47912
35171.81,2787612,2737664,16370460,11266988,1466,109936,8305,63676,13185,399568,759,65740,4731,127860,413,61648,558,71676,405,56504,761,55156,277,66836,164,47912
36175.44,2788205,2738204,16370460,11259724,1466,109936,8315,64780,13195,399568,759,66252,4734,127860,416,63824,559,71676,408,56632,762,55156,277,66836,164,47912
37184.82,2788797,2738585,16370460,11165928,1467,109936,8341,64968,13232,401232,760,67020,4739,127988,419,66000,563,71676,410,57144,763,55540,278,66836,164,47912
38186.11,2789392,2739130,16370460,11154416,1467,109936,8347,64648,13240,401232,760,67404,4742,129268,422,67920,564,71804,411,57144,764,55668,278,66836,164,47912
39190.52,2789985,2739670,16370460,11146116,1467,109936,8351,64684,13246,401232,760,67532,4743,129268,424,69968,564,71804,411,57144,764,55668,278,66836,164,47912
40194.75,2790584,2740244,16370460,11143872,1468,109936,8351,64684,13246,401232,760,67532,4744,129268,427,72400,564,71804,411,57144,764,55668,278,66836,164,47912
41200.53,2791179,2740810,16370460,11140144,1468,109936,8353,64684,13250,401232,761,67532,4746,129780,430,72784,564,71804,411,57144,764,55668,278,66836,164,47912
42206.04,2791776,2741385,16370460,11147704,1468,109936,8355,64684,13253,401232,762,67532,4746,129780,433,72784,564,71804,412,57144,764,55668,278,66836,164,47912
43209.38,2792372,2741958,16370460,11147200,1468,109936,8356,64812,13255,401232,762,67532,4748,129780,436,72784,564,71804,412,57144,764,55668,278,66836,164,47912
44215.89,2792970,2742532,16370460,11146472,1468,109936,8357,64812,13257,401232,762,67532,4748,129780,438,72784,564,71804,412,57144,764,55668,279,66836,164,47912
45218.15,2793565,2743104,16370460,11145968,1468,109936,8358,64812,13260,401232,762,67532,4749,129780,442,72784,564,71804,412,57144,764,55668,279,66836,164,47912
46221.31,2794159,2743676,16370460,11144204,1468,109936,8360,64940,13262,401232,762,67532,4750,129780,444,72784,564,71804,412,57144,765,55668,279,66836,164,47912
47224.42,2794755,2744244,16370460,11141224,1470,109936,8364,64636,13265,401232,762,67532,4751,129780,447,72784,565,71804,412,57144,766,55668,279,66836,164,47912
48227.02,2795352,2744816,16370460,11137444,1470,109936,8365,64636,13267,401232,762,67532,4752,129780,448,72784,565,71804,413,57144,766,55668,279,66836,164,47912
49229.99,2795947,2745372,16370460,11140648,1470,109936,8369,64892,13274,401232,762,67532,4753,129780,451,72784,566,71804,413,57144,766,55668,279,66836,164,47912
50232.38,2796541,2745946,16370460,11138888,1470,109936,8369,64892,13276,401232,763,67532,4755,129780,454,72784,566,71804,413,57144,766,55668,279,66836,164,47912
51236.54,2797137,2746516,16370460,11135120,1470,109936,8371,65020,13278,401232,763,67532,4756,129780,457,74320,566,71804,413,57144,766,55668,279,66836,164,47912
