response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0694,0.0237,0.0000,0.0008,0.0413,0.0001,200,0.1031
0.0697,0.0236,0.0000,0.0008,0.0416,0.0001,200,0.1028
0.0764,0.0245,0.0000,0.0001,0.0483,0.0001,200,0.1029
0.0765,0.0219,0.0000,0.0008,0.0484,0.0001,200,0.1029
0.0765,0.0236,0.0000,0.0009,0.0484,0.0001,200,0.1029
0.0764,0.0226,0.0000,0.0001,0.0484,0.0000,200,0.1030
0.0785,0.0228,0.0000,0.0001,0.0555,0.0000,200,0.1082
0.0838,0.0227,0.0000,0.0001,0.0556,0.0001,200,0.1028
0.0838,0.0227,0.0000,0.0000,0.0556,0.0001,200,0.1029
0.0785,0.0227,0.0000,0.0001,0.0556,0.0001,200,0.1082
0.0415,0.0099,0.0000,0.0000,0.0316,0.0001,200,0.2028
0.0469,0.0099,0.0000,0.0000,0.0369,0.0001,200,0.2028
0.0469,0.0117,0.0000,0.0000,0.0351,0.0000,200,0.2029
0.0469,0.0099,0.0000,0.0000,0.0369,0.0000,200,0.2029
0.0471,0.0115,0.0000,0.0000,0.0355,0.0000,200,0.2029
0.0470,0.0115,0.0000,0.0000,0.0355,0.0000,200,0.2030
0.0517,0.0115,0.0000,0.0000,0.0401,0.0000,200,0.2030
0.0518,0.0115,0.0000,0.0000,0.0402,0.0000,200,0.2029
0.0519,0.0099,0.0000,0.0000,0.0419,0.0000,200,0.2028
0.0603,0.0115,0.0000,0.0001,0.0487,0.0001,200,0.2029
0.0424,0.0105,0.0000,0.0000,0.0317,0.0001,200,0.3035
0.0482,0.0106,0.0000,0.0000,0.0376,0.0001,200,0.3036
0.0483,0.0104,0.0000,0.0000,0.0378,0.0001,200,0.3035
0.0481,0.0104,0.0000,0.0000,0.0376,0.0000,200,0.3037
0.0482,0.0105,0.0000,0.0000,0.0377,0.0000,200,0.3038
0.0539,0.0104,0.0000,0.0000,0.0434,0.0001,200,0.3036
0.0539,0.0105,0.0000,0.0000,0.0433,0.0000,200,0.3037
0.0542,0.0107,0.0000,0.0000,0.0435,0.0000,200,0.3034
0.0539,0.0105,0.0000,0.0001,0.0433,0.0000,200,0.3037
0.0539,0.0105,0.0000,0.0001,0.0433,0.0001,200,0.3037
0.0432,0.0173,0.0000,0.0000,0.0258,0.0001,200,0.4027
0.0493,0.0173,0.0000,0.0000,0.0318,0.0001,200,0.4028
0.0493,0.0173,0.0000,0.0000,0.0319,0.0000,200,0.4029
0.0496,0.0174,0.0000,0.0000,0.0320,0.0001,200,0.4027
0.0496,0.0173,0.0000,0.0001,0.0320,0.0001,200,0.4027
0.0494,0.0171,0.0000,0.0001,0.0322,0.0000,200,0.4029
0.0495,0.0173,0.0000,0.0000,0.0320,0.0001,200,0.4028
0.0496,0.0174,0.0000,0.0001,0.0321,0.0000,200,0.4027
0.0495,0.0173,0.0000,0.0000,0.0320,0.0001,200,0.4028
0.0495,0.0171,0.0000,0.0001,0.0322,0.0000,200,0.4029
0.0461,0.0103,0.0000,0.0000,0.0358,0.0001,200,0.5035
0.0461,0.0101,0.0000,0.0001,0.0358,0.0001,200,0.5036
0.0459,0.0099,0.0000,0.0000,0.0360,0.0000,200,0.5038
0.0461,0.0100,0.0000,0.0000,0.0361,0.0000,200,0.5038
0.0462,0.0100,0.0000,0.0002,0.0360,0.0000,200,0.5037
0.0556,0.0100,0.0000,0.0001,0.0454,0.0000,200,0.5038
0.0559,0.0100,0.0000,0.0001,0.0455,0.0001,200,0.5035
0.0557,0.0100,0.0000,0.0001,0.0456,0.0000,200,0.5037
0.0557,0.0101,0.0000,0.0001,0.0455,0.0001,200,0.5037
0.0561,0.0103,0.0000,0.0000,0.0457,0.0001,200,0.5035
0.0494,0.0160,0.0000,0.0000,0.0332,0.0001,200,0.6031
0.0577,0.0161,0.0000,0.0000,0.0415,0.0001,200,0.6032
0.0578,0.0162,0.0000,0.0000,0.0415,0.0001,200,0.6030
0.0578,0.0163,0.0000,0.0000,0.0415,0.0000,200,0.6031
0.0577,0.0160,0.0000,0.0000,0.0417,0.0000,200,0.6032
0.0580,0.0163,0.0000,0.0001,0.0416,0.0000,200,0.6029
0.0579,0.0162,0.0000,0.0001,0.0416,0.0000,200,0.6030
0.0578,0.0160,0.0000,0.0001,0.0416,0.0001,200,0.6032
0.0580,0.0162,0.0000,0.0001,0.0417,0.0000,200,0.6030
0.0580,0.0162,0.0000,0.0000,0.0417,0.0001,200,0.6031
0.0546,0.0159,0.0000,0.0000,0.0386,0.0000,200,0.7032
0.0545,0.0159,0.0000,0.0000,0.0385,0.0001,200,0.7033
0.0545,0.0159,0.0000,0.0000,0.0385,0.0001,200,0.7033
0.0547,0.0160,0.0000,0.0000,0.0385,0.0001,200,0.7031
0.0547,0.0159,0.0000,0.0000,0.0387,0.0000,200,0.7031
0.0553,0.0159,0.0000,0.0000,0.0393,0.0001,200,0.7033
0.0564,0.0160,0.0000,0.0000,0.0403,0.0001,200,0.7032
0.0564,0.0160,0.0000,0.0000,0.0404,0.0000,200,0.7032
0.0564,0.0159,0.0000,0.0000,0.0405,0.0000,200,0.7033
0.0653,0.0160,0.0000,0.0000,0.0492,0.0000,200,0.7032
0.0468,0.0111,0.0000,0.0000,0.0356,0.0001,200,0.8036
0.0467,0.0109,0.0000,0.0000,0.0357,0.0000,200,0.8037
0.0468,0.0108,0.0000,0.0000,0.0359,0.0001,200,0.8038
0.0468,0.0108,0.0000,0.0000,0.0359,0.0001,200,0.8038
0.0468,0.0108,0.0000,0.0001,0.0359,0.0001,200,0.8039
0.0470,0.0109,0.0000,0.0000,0.0360,0.0000,200,0.8037
0.0519,0.0109,0.0000,0.0001,0.0409,0.0001,200,0.8038
0.0519,0.0109,0.0000,0.0001,0.0409,0.0000,200,0.8038
0.0520,0.0108,0.0000,0.0001,0.0411,0.0000,200,0.8039
0.0601,0.0110,0.0000,0.0000,0.0490,0.0000,200,0.8037
0.0392,0.0094,0.0000,0.0000,0.0297,0.0001,200,0.9033
0.0522,0.0095,0.0000,0.0000,0.0426,0.0001,200,0.9032
0.0523,0.0095,0.0000,0.0000,0.0427,0.0001,200,0.9032
0.0522,0.0095,0.0000,0.0000,0.0427,0.0000,200,0.9033
0.0523,0.0095,0.0000,0.0000,0.0426,0.0001,200,0.9032
0.0523,0.0095,0.0000,0.0000,0.0427,0.0000,200,0.9032
0.0522,0.0095,0.0000,0.0000,0.0427,0.0000,200,0.9033
0.0524,0.0097,0.0000,0.0000,0.0426,0.0001,200,0.9031
0.0522,0.0095,0.0000,0.0000,0.0426,0.0001,200,0.9033
0.0603,0.0095,0.0000,0.0000,0.0508,0.0000,200,0.9033
0.0491,0.0129,0.0000,0.0000,0.0361,0.0001,200,1.0031
0.0491,0.0127,0.0000,0.0000,0.0364,0.0000,200,1.0031
0.0495,0.0096,0.0000,0.0000,0.0397,0.0000,200,1.0028
0.0494,0.0129,0.0000,0.0000,0.0364,0.0001,200,1.0029
0.0494,0.0095,0.0000,0.0001,0.0398,0.0001,200,1.0029
0.0500,0.0096,0.0000,0.0000,0.0404,0.0000,200,1.0030
0.0499,0.0129,0.0000,0.0000,0.0370,0.0000,200,1.0031
0.0501,0.0128,0.0000,0.0000,0.0372,0.0000,200,1.0030
0.0510,0.0128,0.0000,0.0000,0.0382,0.0001,200,1.0031
0.0512,0.0128,0.0000,0.0000,0.0384,0.0000,200,1.0030
0.0505,0.0152,0.0000,0.0001,0.0351,0.0001,200,1.1035
0.0506,0.0155,0.0000,0.0000,0.0350,0.0001,200,1.1034
0.0507,0.0152,0.0000,0.0000,0.0353,0.0001,200,1.1035
0.0506,0.0151,0.0000,0.0000,0.0354,0.0000,200,1.1037
0.0537,0.0151,0.0000,0.0001,0.0385,0.0000,200,1.1036
0.0539,0.0153,0.0000,0.0001,0.0384,0.0001,200,1.1035
0.0539,0.0153,0.0000,0.0001,0.0385,0.0000,200,1.1035
0.0538,0.0153,0.0000,0.0000,0.0385,0.0000,200,1.1036
0.0589,0.0152,0.0000,0.0001,0.0435,0.0001,200,1.1037
0.0590,0.0152,0.0000,0.0001,0.0436,0.0000,200,1.1035
0.0415,0.0086,0.0000,0.0001,0.0327,0.0001,200,1.2037
0.0465,0.0089,0.0000,0.0000,0.0375,0.0001,200,1.2039
