time,total,idle,mem_total,mem_free,1704/cpu,1704/rss
1006.27,1377240,1263092,3887864,1036608,64324,691388
2008.17,1377639,1263464,3887864,1036360,64340,691416
3010.31,1378034,1263835,3887864,1036464,64351,691440
4012.78,1378429,1264204,3887864,1037892,64363,691456
5013.75,1378824,1264509,3887864,1034104,64390,691548
6014.45,1379216,1264838,3887864,1029220,64410,691356
7015.09,1379596,1265092,3887864,1029972,64511,691668
8015.72,1379991,1265476,3887864,1031184,64519,691704
9016.42,1380386,1265846,3887864,1029108,64527,691716
10017.82,1380782,1266231,3887864,1029588,64535,691716
11019.21,1381179,1266610,3887864,1031988,64546,691724
12020.41,1381568,1266956,3887864,1032288,64563,691724
13021.9,1381964,1267339,3887864,1033080,64572,691728
14023.44,1382356,1267717,3887864,1033992,64584,691784
15025.44,1382757,1268075,3887864,1035272,64617,691040
16027.83,1383150,1268431,3887864,1035832,64644,691424
17030.76,1383546,1268811,3887864,1036132,64657,691424
18033.06,1383940,1269180,3887864,1036780,64679,691380
19033.85,1384331,1269538,3887864,1039048,64690,691380
20034.48,1384727,1269918,3887864,1038760,64698,691408
21035.18,1385123,1270304,3887864,1039220,64707,691496
22037.01,1385520,1270678,3887864,1039608,64725,691540
23037.69,1385917,1271067,3887864,1039768,64728,691544
24039.13,1386312,1271455,3887864,1040412,64735,691560
25044.28,1386710,1271821,3887864,1040452,64763,691748
26045.38,1387103,1272191,3887864,1040484,64782,691540
27046.15,1387503,1272578,3887864,1040364,64791,691540
28046.88,1387900,1272965,3887864,1040868,64798,691540
29047.51,1388294,1273355,3887864,1040836,64806,691540
30048.16,1388691,1273725,3887864,1040460,64812,691540
31049.57,1389083,1274052,3887864,1039480,64825,691540
32052.05,1389471,1274371,3887864,1037448,64836,691540
33054.43,1389865,1274597,3887864,1036248,64946,691152
34056.66,1390254,1274759,3887864,997800,64987,691420
35060.62,1390640,1274888,3887864,985556,65112,696416
36062.39,1391034,1274923,3887864,973748,65330,707296
37067.1,1391419,1275015,3887864,954672,65454,707748
38068.48,1391811,1275057,3887864,939004,65578,707380
39071.47,1392196,1275107,3887864,915824,65682,708060
40072.46,1392585,1275213,3887864,905204,65765,707448
41073.84,1392982,1275455,3887864,904748,65841,707580
42074.92,1393368,1275725,3887864,903760,65878,710700
43075.74,1393755,1276074,3887864,903520,65887,710824
44076.64,1394150,1276424,3887864,903520,65894,710900
45078.09,1394537,1276773,3887864,903280,65903,711016
46079.78,1394929,1277099,3887864,903280,65923,711272
47081.74,1395322,1277426,3887864,903056,65943,711360
48082.88,1395707,1277632,3887864,889240,66036,729492
49083.89,1396090,1277736,3887864,863060,66220,750928
50084.8,1396473,1277871,3887864,850248,66363,751948
51085.75,1396869,1278185,3887864,849240,66401,752000
52086.67,1397261,1278536,3887864,849240,66416,752108
53090.38,1397646,1278874,3887864,848736,66434,752124
54091.85,1398041,1279197,3887864,849500,66445,752248
55094.15,1398429,1279519,3887864,851100,66461,752372
56095.15,1398823,1279842,3887864,852684,66485,751516
57096.01,1399215,1280192,3887864,853624,66495,751876
58096.88,1399605,1280541,3887864,852816,66507,751980
59097.71,1399999,1280898,3887864,853732,66515,751996
60098.54,1400394,1281227,3887864,851580,66525,752012
61099.67,1400781,1281459,3887864,851256,66617,752004
62101.02,1401157,1281690,3887864,839172,66639,752036
63101.9,1401549,1282020,3887864,837464,66655,752124
64102.71,1401931,1282271,3887864,834748,66716,752080
65103.56,1402328,1282623,3887864,835412,66725,752100
66104.97,1402723,1282943,3887864,836060,66749,751972
67106.27,1403105,1283244,3887864,836392,66781,751968
68107.93,1403490,1283557,3887864,836408,66803,752020
69109.25,1403877,1283875,3887864,836728,66817,752024
70110.82,1404264,1284202,3887864,836980,66831,752152
71111.71,1404654,1284540,3887864,837080,66840,752156
72112.55,1405045,1284887,3887864,836832,66849,752156
73113.36,1405441,1285232,3887864,836340,66857,752164
74114.17,1405828,1285583,3887864,836272,66867,752184
75115.51,1406213,1285911,3887864,837020,66880,752220
76116.45,1406607,1286228,3887864,836628,66909,751944
77117.31,1406997,1286580,3887864,836860,66918,751952
78118.13,1407389,1286927,3887864,835828,66931,753676
79118.94,1407777,1287279,3887864,836124,66941,753708
