time,total,idle,mem_total,mem_free,1657/cpu,1657/rss,3397/cpu,3397/rss,3574/cpu,3574/rss,3621/cpu,3621/rss,3629/cpu,3629/rss,4729/cpu,4729/rss,5188/cpu,5188/rss
1005.02,1604354,1542467,3887864,1794508,17370,182444,1601,50912,548,47148,2595,65220,968,64764,1260,53520,3665,54412
2007.25,1604742,1542787,3887864,1793648,17377,182444,1602,50912,548,47148,2607,65312,968,64768,1264,53524,3680,54420
3008.98,1605136,1543158,3887864,1793568,17380,182444,1602,50912,550,47148,2612,66404,968,64768,1266,53524,3686,54768
4010.62,1605537,1543551,3887864,1793604,17381,182444,1602,50912,550,47148,2612,66404,969,64768,1266,53524,3687,54788
5015.06,1605936,1543945,3887864,1793608,17385,182444,1602,50912,550,47148,2612,66404,969,64768,1266,53524,3687,54812
6019.09,1606328,1544326,3887864,1794220,17390,182444,1602,50912,550,47148,2616,66556,969,64768,1267,53524,3689,54840
7023.66,1606727,1544708,3887864,1794716,17398,182444,1602,50912,550,47148,2616,66556,969,64768,1267,53524,3690,54864
8028.18,1607125,1545101,3887864,1794808,17401,182444,1602,50912,550,47148,2616,66556,969,64768,1268,53524,3691,54892
9031.82,1607523,1545486,3887864,1795444,17406,182444,1604,50912,550,47148,2616,66556,970,64768,1269,53524,3692,54924
10033.86,1607918,1545854,3887864,1795356,17411,182444,1604,50912,550,47148,2616,66556,970,64768,1269,53524,3693,54932
11035.57,1608316,1546250,3887864,1795472,17413,182444,1604,50912,551,47148,2616,66564,970,64768,1269,53524,3693,54948
12037.28,1608715,1546645,3887864,1796120,17414,182444,1604,50912,551,47148,2617,66564,970,64768,1269,53524,3694,54956
13043.35,1609112,1547023,3887864,1795488,17419,182444,1605,50912,551,47148,2617,66632,970,64768,1269,53524,3695,54956
14045.19,1609503,1547351,3887864,1794504,17424,182444,1605,50976,551,47148,2630,67372,976,64772,1271,53524,3707,54956
15049.61,1609903,1547746,3887864,1794504,17427,182444,1605,50976,551,47148,2630,67372,976,64772,1271,53524,3707,54956
16054.4,1610297,1548120,3887864,1794676,17436,182444,1606,50976,551,47148,2633,67372,976,64772,1272,53524,3708,54956
17059.01,1610696,1548506,3887864,1795136,17441,182444,1606,50976,551,47148,2633,67372,977,64772,1273,53524,3709,54956
18063.64,1611096,1548886,3887864,1795080,17451,182448,1607,50976,551,47148,2633,67372,977,64772,1273,53524,3710,54956
19068.23,1611494,1549274,3887864,1795080,17455,182448,1607,50976,551,47148,2633,67372,977,64772,1275,53524,3711,54956
20070.14,1611887,1549616,3887864,1795084,17469,182448,1607,50976,551,47148,2633,67372,977,64772,1275,53524,3712,54956
21071.82,1612285,1550011,3887864,1795084,17471,182448,1607,50976,552,47148,2634,67372,977,64772,1275,53524,3713,54956
22073.5,1612686,1550405,3887864,1794796,17474,182448,1607,50976,552,47148,2634,67372,977,64772,1275,53524,3713,54956
23075.21,1613086,1550801,3887864,1795316,17476,182448,1607,50976,552,47148,2634,67372,977,64772,1275,53524,3713,54956
24077.08,1613484,1551187,3887864,1795392,17479,182448,1607,50976,552,47148,2634,67372,978,64772,1275,53524,3714,54956
25081.52,1613885,1551582,3887864,1795696,17481,182448,1607,50976,552,47148,2634,67372,978,64772,1276,53524,3715,54956
26086.29,1614284,1551965,3887864,1796284,17486,182448,1607,50976,553,47148,2637,67372,978,64772,1276,53532,3716,54956
27091.13,1614679,1552348,3887864,1797332,17494,182448,1607,50976,553,47148,2637,67372,978,64772,1278,53548,3716,54956
28095.83,1615079,1552739,3887864,1797584,17499,182448,1607,50976,553,47148,2638,67372,978,64772,1278,53568,3717,54956
29100.9,1615479,1553123,3887864,1797332,17504,182448,1607,50976,553,47148,2638,67372,978,64772,1278,53568,3719,54956
30109.64,1615880,1553510,3887864,1797884,17507,182448,1607,50976,554,47148,2638,67372,978,64772,1279,53576,3720,54956
31111.77,1616277,1553879,3887864,1794460,17511,183096,1607,50976,554,47148,2638,67372,978,64772,1279,53584,3720,54956
32113.79,1616675,1554261,3887864,1794312,17513,183096,1612,51064,554,47148,2638,67372,978,64772,1279,53592,3721,54956
33116.05,1617071,1554638,3887864,1794064,17515,183096,1620,52528,554,47148,2638,67372,978,64772,1279,53592,3721,54956
34118.28,1617466,1555013,3887864,1793864,17517,183096,1626,54120,554,47148,2639,67372,979,64772,1282,54312,3722,54956
35122.71,1617853,1555266,3887864,1784184,17539,183676,1638,55688,554,47148,2646,67376,981,64780,1288,54656,3723,54956
36130.24,1618234,1555475,3887864,1762056,17554,184188,1649,57344,554,47148,2649,67376,981,64780,1291,54664,3724,54956
37132.17,1618616,1555717,3887864,1749656,17572,184188,1662,59284,554,47148,2654,67648,982,64880,1295,55192,3726,54956
38134.93,1618993,1555895,3887864,1726168,17591,184252,1679,61408,554,47148,2661,68140,982,64996,1300,55980,3730,54956
39138.09,1619367,1556062,3887864,1706332,17615,184280,1695,63444,555,47148,2668,68144,985,65344,1307,56020,3732,54956
40140.62,1619749,1556154,3887864,1682644,17647,184392,1712,65484,555,47148,2676,68156,986,65660,1315,56024,3736,54956
41145.05,1620132,1556288,3887864,1679560,17676,184588,1730,67692,556,47148,2683,68156,987,65812,1320,56032,3742,54956
42147.85,1620520,1556478,3887864,1667748,17701,185920,1747,69888,557,47148,2690,68448,987,65920,1326,56044,3747,54956
43154.06,1620902,1556703,3887864,1665384,17720,186032,1762,70872,557,47148,2701,68756,988,66204,1333,56044,3754,54964
44156.79,1621291,1556950,3887864,1648848,17739,187664,1767,70876,557,47148,2705,68780,989,66348,1335,56044,3756,54964
45158.71,1621679,1557262,3887864,1643256,17751,187664,1772,70876,557,47148,2707,68780,990,66528,1338,56044,3759,54964
46161.76,1622074,1557602,3887864,1643128,17760,187664,1777,70876,558,47148,2711,68780,990,66528,1339,56044,3760,54964
47163.66,1622467,1557936,3887864,1643140,17764,187664,1791,70880,558,47148,2711,68780,990,66528,1339,56044,3760,54964
48165.52,1622852,1558286,3887864,1643884,17769,187664,1803,70884,558,47148,2711,68780,990,66528,1340,56044,3760,54964
49167.39,1623248,1558641,3887864,1644604,17772,187664,1814,70884,558,47148,2711,68780,990,66528,1340,56044,3760,54964
50169.26,1623644,1559000,3887864,1645120,17775,187664,1824,70884,558,47148,2711,68780,990,66528,1341,56044,3761,54964
51171.1,1624036,1559335,3887864,1643784,17779,187664,1835,70884,558,47148,2712,68780,990,66528,1341,56044,3761,54964
52174.46,1624425,1559674,3887864,1644376,17784,187664,1850,70884,559,47148,2712,68780,990,66528,1342,56044,3763,54964
53177.97,1624811,1559997,3887864,1643928,17789,187664,1868,70892,559,47148,2712,68780,993,66560,1343,56044,3763,54964
54181.15,1625197,1560312,3887864,1644776,17793,187664,1886,70896,559,47148,2715,68780,994,66624,1349,56308,3765,54964
55183.91,1625592,1560629,3887864,1643352,17806,187664,1898,71468,559,47148,2722,68792,994,66708,1351,56388,3766,54964
56185.88,1625980,1560932,3887864,1642040,17815,187664,1912,73472,559,47148,2727,68792,994,66712,1354,56400,3769,54964
57187.75,1626367,1561276,3887864,1641536,17823,187668,1924,75384,559,47148,2727,68792,994,66712,1354,56400,3769,54964
58189.66,1626760,1561628,3887864,1641284,17827,187668,1937,75792,559,47148,2727,68792,994,66720,1355,56412,3769,54964
59192.11,1627153,1561986,3887864,1641112,17831,187668,1947,75792,560,47148,2727,68792,994,66720,1355,56412,3770,54964
60196.15,1627542,1562313,3887864,1640636,17834,187668,1966,75792,560,47148,2727,68792,994,66720,1356,56412,3771,54964
61198.75,1627928,1562615,3887864,1632188,17842,187668,1983,75796,560,47148,2727,68792,994,66720,1357,56412,3772,54964
62201.16,1628322,1562974,3887864,1633188,17845,187668,1994,75800,560,47148,2727,68792,994,66720,1358,56412,3773,54964
63205.06,1628715,1563326,3887864,1633476,17847,187668,2006,75800,560,47148,2727,68792,994,66720,1358,56412,3773,54964
64208.65,1629109,1563688,3887864,1632844,17850,187668,2015,75800,560,47148,2727,68792,995,66720,1358,56412,3773,54964
65210.63,1629500,1564047,3887864,1633716,17854,187668,2026,75808,560,47148,2728,68792,995,66720,1358,56412,3774,54964
66214.01,1629888,1564395,3887864,1634236,17856,187668,2038,75816,560,47148,2729,68792,995,66720,1360,56412,3774,54964
67215.98,1630277,1564717,3887864,1634100,17871,187716,2053,75816,560,47148,2730,68792,995,66720,1360,56412,3775,54964
68217.89,1630673,1565086,3887864,1635208,17875,187716,2059,75816,560,47148,2730,68792,995,66720,1361,56412,3775,54964
69219.77,1631071,1565443,3887864,1634676,17877,187720,2070,75828,560,47148,2730,68792,995,66720,1361,56412,3776,54964
70221.7,1631461,1565795,3887864,1636136,17881,187720,2083,75828,560,47148,2730,68792,995,66720,1363,56412,3777,54964
71225.33,1631858,1566138,3887864,1625260,17885,187720,2096,77448,560,47148,2730,68792,995,66720,1363,56412,3777,54964
72229.61,1632247,1566471,3887864,1632252,17889,187720,2111,77836,560,47148,2730,68792,996,66720,1364,56412,3778,54964
73233.24,1632633,1566801,3887864,1631512,17894,187720,2130,77840,561,47148,2730,68792,996,66720,1365,56412,3779,54964
74236.5,1633018,1567131,3887864,1631024,17899,187720,2149,77840,561,47148,2730,68792,996,66720,1365,56416,3779,54964
75239.81,1633406,1567458,3887864,1630800,17904,187720,2169,77840,561,47148,2730,68792,997,66724,1366,56416,3780,54964
76241.83,1633794,1567787,3887864,1630800,17913,187720,2184,77840,561,47148,2733,68792,997,66724,1367,56416,3780,54964
77243.7,1634186,1568138,3887864,1630416,17919,187720,2195,77844,561,47148,2733,68792,997,66724,1367,56416,3781,54964
78245.61,1634577,1568493,3887864,1630572,17922,187720,2206,77852,561,47148,2733,68792,997,66724,1368,56416,3781,54964
79247.48,1634972,1568853,3887864,1630572,17925,187720,2216,77852,561,47148,2733,68792,997,66724,1368,56416,3782,54964
80249.43,1635364,1569211,3887864,1630592,17928,187720,2227,77852,561,47148,2733,68792,997,66724,1369,56416,3782,54964
81252.88,1635751,1569544,3887864,1631644,17935,187720,2243,77852,561,47148,2733,68792,997,66724,1370,56416,3783,54964
82254.83,1636144,1569872,3887864,1629284,17937,187720,2256,77852,561,47148,2733,68792,997,66724,1370,56416,3784,54964
83256.77,1636539,1570232,3887864,1628812,17940,187720,2266,77852,561,47148,2734,68792,997,66724,1371,56416,3784,54964
84258.61,1636928,1570583,3887864,1627832,17944,187720,2279,77856,562,47148,2734,68792,997,66724,1371,56416,3785,54964
85260.78,1637318,1570938,3887864,1628588,17952,185928,2289,77856,562,47148,2735,68792,998,66728,1372,56416,3785,54964
86262.68,1637710,1571295,3887864,1629312,17955,185936,2300,77856,562,47148,2736,68792,998,66728,1373,56416,3786,54964
87264.59,1638095,1571629,3887864,1629504,17964,185944,2313,77860,562,47148,2736,68792,998,66728,1373,56416,3786,54964
88266.45,1638491,1571984,3887864,1630128,17969,185944,2324,77860,562,47148,2736,68792,998,66728,1373,56416,3787,54964
89268.35,1638887,1572343,3887864,1630284,17972,185944,2335,77860,562,47148,2736,68792,998,66728,1375,56416,3787,54964
90270.22,1639282,1572700,3887864,1629568,17974,185944,2346,77864,563,47148,2736,68792,998,66728,1375,56416,3788,54964
91272.15,1639670,1573048,3887864,1629228,17979,185944,2358,77864,563,47148,2737,68792,998,66728,1376,56416,3789,54964
92275.35,1640061,1573377,3887864,1630052,17983,185944,2371,77864,563,47148,2737,68792,998,66728,1377,56416,3790,54964
93278.73,1640447,1573709,3887864,1630052,17988,185944,2388,77864,563,47148,2737,68792,998,66728,1377,56416,3791,54964
94283.41,1640832,1574040,3887864,1630064,17992,185944,2406,77864,563,47148,2737,68792,999,66728,1378,56416,3792,54964
95286.9,1641224,1574371,3887864,1630064,17998,185944,2425,77864,563,47148,2737,68792,999,66728,1379,56416,3792,54964
96290.37,1641609,1574693,3887864,1630064,18002,185944,2444,77864,564,47148,2740,68792,999,66728,1380,56416,3793,54964
97292.46,1641999,1575013,3887864,1629072,18010,185944,2462,77864,564,47148,2740,68792,999,66728,1380,56416,3794,54964
98294.37,1642391,1575367,3887864,1629660,18015,185944,2473,77872,564,47148,2740,68792,999,66728,1381,56416,3794,54964
99296.27,1642782,1575725,3887864,1629696,18017,185944,2484,77880,564,47148,2740,68792,999,66728,1382,56416,3795,54964
100298.14,1643177,1576083,3887864,1629916,18020,185944,2495,77884,564,47148,2740,68792,999,66728,1383,56416,3795,54964
101302.81,1643571,1576443,3887864,1630108,18023,185944,2506,77884,564,47148,2740,68792,999,66728,1383,56416,3796,54964
102309.06,1643955,1576756,3887864,1626696,18029,185944,2518,77884,565,47148,2744,68792,1000,66740,1392,57092,3799,54964
103311.37,1644349,1577091,3887864,1625964,18037,185948,2530,77884,565,47148,2749,68804,1000,66740,1392,57104,3801,54964
104313.75,1644739,1577450,3887864,1625984,18039,185948,2541,77884,565,47148,2749,68804,1001,66740,1393,57104,3801,54964
105315.76,1645130,1577807,3887864,1626328,18043,185948,2552,77896,565,47148,2749,68804,1001,66752,1394,57104,3802,54964
106318.44,1645518,1578129,3887864,1625580,18053,185948,2564,77896,566,47148,2755,68804,1002,66752,1399,57308,3804,54964
107324.51,1645898,1578374,3887864,1600752,18065,185952,2579,77900,566,47148,2756,68804,1002,66752,1399,57308,3805,54964
108327.16,1646285,1578667,3887864,1596028,18076,185952,2591,77900,566,47148,2757,68804,1002,66756,1400,57308,3805,54964
109329.15,1646676,1578982,3887864,1595580,18083,187336,2604,77900,566,47152,2763,68804,1002,66760,1401,57312,3808,54964
110331.11,1647074,1579339,3887864,1595580,18087,187336,2615,77900,566,47152,2763,68804,1002,66760,1402,57312,3808,54964
111333.08,1647465,1579684,3887864,1599692,18095,187340,2628,77900,566,47152,2763,68804,1002,66760,1402,57312,3808,54964
112337.29,1647852,1580020,3887864,1602336,18099,187340,2641,77900,566,47152,2763,68804,1002,66760,1403,57312,3809,54964
113340.75,1648241,1580350,3887864,1602744,18102,187340,2659,77900,566,47152,2763,68804,1002,66760,1404,57312,3810,54964
114344.07,1648631,1580681,3887864,1603724,18106,187340,2677,77900,566,47152,2763,68804,1002,66760,1405,57312,3810,54964
115347.4,1649023,1581004,3887864,1603580,18113,187340,2696,77900,567,47152,2763,68804,1004,66760,1406,57312,3811,54964
116350.81,1649414,1581324,3887864,1604324,18119,187340,2715,77900,567,47152,2766,68816,1004,66760,1407,57312,3813,54776
