time,total,idle,mem_total,mem_free,11145/cpu,11145/rss,8894/cpu,8894/rss,9117/cpu,9117/rss,9167/cpu,9167/rss,9287/cpu,9287/rss,9375/cpu,9375/rss,9443/cpu,9443/rss
1003.98,1458864,1427095,16370456,11332612,11886,676512,155,64240,558,51760,436,56664,255,54924,277,67264,99,47672
2007.75,1459460,1427653,16370456,11343848,11910,676600,156,65520,558,51760,438,56664,256,54924,280,68928,99,47672
3010.49,1460058,1428241,16370456,11344260,11918,678100,156,65520,558,51760,439,56664,256,54924,280,68928,100,47672
4013.67,1460657,1428835,16370456,11345592,11921,678100,156,65520,558,51760,439,56664,256,54924,281,68928,100,47672
5017.12,1461254,1429424,16370456,11348112,11929,678228,156,65520,558,51760,439,56664,256,54924,281,68928,100,47672
6020.05,1461855,1430011,16370456,11359376,11935,676088,156,65520,558,51760,439,56664,257,54924,281,68928,100,47672
7023.06,1462452,1430603,16370456,11359376,11941,676088,156,65520,558,51760,439,56664,257,54924,281,68928,100,47672
8026.98,1463051,1431195,16370456,11359136,11946,676088,157,65520,558,51760,440,56664,257,54924,281,68928,100,47672
9030.79,1463651,1431788,16370456,11359136,11951,677368,157,65520,558,51760,440,56664,257,54924,281,68928,100,47672
10034.23,1464249,1432381,16370456,11359136,11956,677368,157,65648,558,51760,440,56664,257,54924,281,68928,100,47672
11038.23,1464847,1432974,16370456,11358888,11961,677368,157,65648,558,51760,440,56664,257,54924,281,68928,100,47672
12041.35,1465446,1433567,16370456,11358888,11966,677368,157,65648,558,51760,440,56664,257,54924,281,68928,100,47672
13045.67,1466044,1434158,16370456,11358636,11972,675884,157,65776,558,51760,440,56664,258,54924,281,68928,100,47672
14049.85,1466644,1434751,16370456,11358396,11978,676140,157,65776,558,51760,440,56664,258,54924,281,68928,100,47672
15055.89,1467246,1435342,16370456,11358172,11984,676140,157,65776,558,51760,441,56664,258,54924,281,68928,100,47672
16060.42,1467844,1435926,16370456,11363968,11993,676172,157,65776,559,51760,441,56664,258,54924,281,68928,100,47672
17063.88,1468443,1436513,16370456,11370008,12001,676528,157,65776,559,51760,441,56664,258,54924,281,68928,100,47672
18068.32,1469042,1437106,16370456,11370008,12006,676528,157,65776,559,51760,441,56664,258,54924,281,68928,100,47672
19072.61,1469642,1437697,16370456,11369760,12013,678064,157,65776,559,51760,441,56664,258,54924,281,68928,100,47672
20076.64,1470240,1438291,16370456,11369760,12018,678064,157,65776,560,51760,441,56664,258,54924,281,68928,100,47672
21082.57,1470840,1438885,16370456,11369760,12022,678064,157,65776,560,51760,441,56664,258,54924,282,68928,100,47672
22087.72,1471441,1439481,16370456,11369760,12026,678064,157,65776,560,51760,441,56664,258,54924,282,68928,101,47672
23094.17,1472042,1440072,16370456,11369508,12034,676412,157,65776,560,51760,442,56664,259,54924,282,68928,101,47672
24098.1,1472641,1440664,16370456,11369508,12039,676412,157,65776,560,51760,442,56664,259,54924,282,68928,101,47672
25102.47,1473240,1441257,16370456,11369508,12044,676412,157,65776,560,51760,442,56664,259,54924,282,68928,101,47672
26108.31,1473840,1441844,16370456,11365488,12051,676252,158,65776,560,51760,442,56664,259,54924,283,68928,101,47672
27113.85,1474440,1442436,16370456,11365236,12057,676252,158,65776,560,51760,442,56664,259,54924,283,68928,101,47672
28119.85,1475040,1443030,16370456,11365236,12062,676252,158,65776,560,51760,443,56664,259,54924,283,68928,101,47672
29125.4,1475638,1443623,16370456,11365236,12067,676252,158,65776,560,51760,443,56148,259,54924,283,68928,101,47672
30130.59,1476239,1444216,16370456,11364760,12072,676252,158,65776,560,51760,443,56148,259,54924,283,68928,101,47672
31132.8,1476835,1444792,16370456,11364036,12077,676252,158,65776,563,52784,444,56148,259,54924,283,68928,101,47672
32136.1,1477431,1445342,16370456,11361768,12108,676956,158,65776,566,54704,445,56148,262,55564,283,68928,101,47672
33138.91,1478022,1445833,16370456,11282536,12136,682160,158,66032,568,56496,445,56148,262,55564,285,68928,101,47672
34141.48,1478616,1446349,16370456,11292656,12177,684804,159,66928,571,58672,446,56148,264,56332,287,69568,101,47672
35147.6,1479209,1446803,16370456,11193216,12202,691448,159,66928,574,60720,446,56148,264,56332,287,69568,101,47672
36150.91,1479804,1447277,16370456,11198788,12275,703772,161,67312,577,62768,448,56148,268,56844,291,69568,101,47672
37153.9,1480393,1447707,16370456,11087904,12301,704792,161,67312,579,65072,448,56148,268,56844,291,69568,101,47672
38158.26,1480988,1448209,16370456,11094572,12353,694104,161,67312,583,67248,449,56404,270,56844,293,69696,101,47672
39162.66,1481582,1448781,16370456,11091364,12359,694104,161,67312,586,69424,449,56404,270,56844,294,69696,101,47672
40166.65,1482180,1449356,16370456,11090084,12364,694232,161,67312,589,71344,449,56404,270,56844,294,69696,101,47672
