time,total,idle,mem_total,mem_free,11145/cpu,11145/rss,8894/cpu,8894/rss,9117/cpu,9117/rss,9167/cpu,9167/rss,9287/cpu,9287/rss,9375/cpu,9375/rss,9443/cpu,9443/rss
1003.33,1804904,1765652,16370456,11337632,16126,686860,200,64208,827,52324,564,56364,351,54916,374,68024,128,47800
2007.86,1805502,1766196,16370456,11343004,16165,686916,201,66256,827,52324,567,56620,351,54916,376,68280,129,47800
3010.98,1806100,1766784,16370456,11342248,16173,686880,201,66256,827,52324,567,56620,352,54916,376,68280,129,47800
4018.49,1806699,1767377,16370456,11342248,16179,687008,201,66256,827,52324,567,56620,353,54916,376,68280,129,47800
5023.05,1807299,1767968,16370456,11349472,16184,687008,201,66256,827,52324,567,56620,353,54916,376,68280,129,47800
6028.79,1807900,1768561,16370456,11348980,16190,686444,201,66256,827,52324,568,56620,353,54916,377,68280,129,47800
7035.21,1808500,1769151,16370456,11348264,16199,686724,201,66256,827,52324,568,56620,353,54916,377,68280,129,47800
8039.86,1809101,1769747,16370456,11348264,16203,686724,201,66256,827,52324,568,56620,353,54916,377,68280,129,47800
9044.98,1809701,1770335,16370456,11353608,16208,686724,201,66256,827,52324,568,56620,353,54916,377,68280,129,47800
10048.58,1810299,1770929,16370456,11353356,16213,686724,202,66256,827,52324,568,56620,353,54916,377,68280,129,47800
11052.18,1810898,1771521,16370456,11351368,16218,688388,202,66256,827,52324,569,56620,353,54916,377,68280,129,47800
12056.16,1811498,1772116,16370456,11351368,16223,688388,202,66256,827,52324,569,56620,353,54916,377,68280,129,47800
13062.26,1812099,1772709,16370456,11348600,16229,688428,202,66256,827,52324,569,56620,353,54916,377,68280,129,47800
14066.63,1812697,1773300,16370456,11348600,16235,688428,202,66256,827,52324,569,56620,353,54916,377,68280,129,47800
15070.38,1813297,1773892,16370456,11348600,16241,688428,202,66256,827,52324,569,56620,354,54916,377,68280,129,47800
16074.71,1813895,1774482,16370456,11348600,16249,686200,202,66256,827,52324,569,56620,354,54916,378,68280,129,47800
17078.75,1814493,1775074,16370456,11354252,16253,686328,202,66256,827,52324,569,56620,354,54916,378,68280,129,47800
18082.25,1815091,1775667,16370456,11354000,16258,686328,202,66256,828,52324,569,56620,354,54916,378,68280,129,47800
19085.96,1815689,1776253,16370456,11349952,16263,686328,202,66256,828,52324,569,56620,354,54916,378,68280,129,47800
20089.38,1816289,1776847,16370456,11349980,16267,686328,202,66384,828,52324,570,56620,354,54916,378,68280,129,47800
21093.28,1816888,1777439,16370456,11349980,16273,686328,202,66384,828,52324,570,56620,354,54916,378,68280,129,47800
22098.73,1817487,1778031,16370456,11349224,16280,686620,202,66512,828,52324,571,56620,354,54916,378,68280,129,47800
23102.23,1818088,1778622,16370456,11349224,16287,686124,202,66512,828,52324,571,56620,354,54916,378,68280,129,47800
24106.47,1818687,1779215,16370456,11349224,16292,686252,202,66512,828,52324,571,56620,355,54916,378,68280,129,47800
25111.05,1819287,1779807,16370456,11349224,16298,686252,202,66512,829,52324,572,56620,355,54916,378,68280,129,47800
26116.76,1819885,1780399,16370456,11348972,16305,686404,202,66512,829,52324,572,56620,355,54916,379,68280,129,47800
27122.54,1820486,1780993,16370456,11348972,16310,686404,202,66512,829,52324,572,56620,355,54916,379,68280,129,47800
28126.84,1821085,1781588,16370456,11348972,16315,686404,202,66512,829,52324,572,56620,355,54916,379,68280,129,47800
29132.08,1821683,1782175,16370456,11347460,16320,686404,202,66512,829,52324,572,56620,356,54916,379,68280,129,47800
30135.95,1822282,1782767,16370456,11346760,16324,686404,202,66512,829,52324,572,56620,356,54916,379,68280,129,47800
31139.49,1822879,1783343,16370456,11346004,16330,686532,202,66640,832,52964,572,56620,356,54916,379,68280,129,47800
32141.6,1823477,1783893,16370456,11342788,16352,687012,203,67024,834,54756,573,56620,357,55684,381,68664,129,47800
33144.71,1824069,1784374,16370456,11259904,16370,686636,203,67024,837,56804,573,56620,358,55684,381,68664,129,47800
34148.24,1824664,1784858,16370456,11260000,16438,686420,203,67920,841,58980,575,56620,361,56452,384,68664,129,47800
35150.7,1825257,1785337,16370456,11208544,16455,687184,203,67920,843,60900,575,56620,361,56452,384,68664,129,47800
36154.4,1825849,1785829,16370456,11206580,16519,688012,204,68048,846,63204,576,56620,364,56708,388,69176,130,47800
37159.61,1826440,1786278,16370456,11130852,16548,687584,204,68048,848,65380,576,56620,364,56836,388,69176,130,47800
38164.33,1827033,1786785,16370456,11118192,16595,694120,206,68048,851,67812,579,56620,367,56964,391,70200,131,47800
39167.0,1827627,1787322,16370456,11088876,16604,697320,206,68048,854,69988,579,56620,367,56964,391,70200,131,47800
40169.38,1828221,1787884,16370456,11076316,16612,701504,206,68048,858,72164,579,56620,367,56964,392,70200,131,47800
41174.0,1828818,1788460,16370456,11074832,16617,702528,206,68048,860,72420,579,56620,367,56964,392,70200,131,47800
42178.14,1829414,1789036,16370456,11074328,16623,702656,206,68048,862,72420,579,56620,367,56964,392,70200,131,47800
43183.45,1830011,1789609,16370456,11073824,16629,702524,206,68048,865,72420,579,56620,367,56964,392,70200,131,47800
44188.39,1830610,1790184,16370456,11072340,16635,702780,206,68048,868,72420,579,56620,369,56964,392,70200,131,47800
45191.92,1831208,1790758,16370456,11072088,16641,702780,206,68048,870,72420,580,56620,369,56964,392,70200,131,47800
46198.44,1831804,1791305,16370456,11068736,16673,704532,206,68048,873,72420,580,56620,369,56964,393,70328,131,47800
47202.18,1832401,1791876,16370456,11065992,16680,704532,206,68048,876,72420,580,56620,369,56964,393,70328,131,47800
48208.04,1832999,1792444,16370456,11062492,16691,704828,206,68048,879,72420,580,56620,370,56964,394,70328,131,47800
49212.38,1833597,1793014,16370456,11061512,16696,704828,206,68048,882,72420,581,56620,370,56964,394,70328,131,47800
50216.62,1834193,1793574,16370456,11055064,16709,703300,206,68048,885,72420,581,56620,370,56964,394,70328,131,47800
51219.13,1834789,1794147,16370456,11054068,16714,703300,206,68048,888,73956,581,56620,371,56964,395,70328,131,47800
52221.95,1835383,1794719,16370456,11054068,16721,703428,206,68048,891,76004,581,56620,371,56964,395,70328,131,47800
53224.44,1835982,1795290,16370456,11052308,16728,703276,206,68048,894,78180,581,56620,371,56964,395,70328,131,47800
54228.28,1836579,1795864,16370456,11051048,16735,703276,206,68048,897,78692,581,56620,372,56964,396,70328,131,47800
55230.38,1837175,1796437,16370456,11051048,16742,703276,206,68048,899,78692,581,56620,372,56964,396,70328,131,47800
56234.45,1837772,1797011,16370456,11049284,16748,702916,206,68048,902,78692,581,56620,372,56964,396,70456,131,47800
57237.41,1838369,1797585,16370456,11049284,16753,702916,206,68048,905,78692,582,56620,372,56964,396,70456,131,47800
58240.84,1838966,1798162,16370456,11049284,16758,702916,206,68048,908,78692,582,56620,372,56964,396,70456,131,47800
59245.16,1839563,1798734,16370456,11048276,16765,702916,206,68048,910,78692,582,56620,373,56964,396,70456,131,47800
60249.74,1840157,1799306,16370456,11043996,16769,702916,206,68048,914,78692,582,56620,373,56964,396,70456,131,47800
61254.05,1840754,1799882,16370456,11041756,16775,704580,206,68048,916,78692,582,56620,373,56964,396,70456,132,47800
62259.19,1841352,1800456,16370456,11040244,16780,704580,206,68048,918,78692,582,56620,373,56964,396,70456,132,47800
63261.79,1841946,1801025,16370456,11040244,16788,704688,206,68048,921,78692,582,56620,373,56964,396,70456,132,47800
64266.87,1842544,1801600,16370456,11039992,16794,704816,206,68048,924,78692,582,56620,373,57092,396,70456,132,47800
65271.09,1843140,1802173,16370456,11039500,16800,704816,206,68048,927,78692,583,56620,374,57092,396,70456,132,47800
66274.63,1843735,1802746,16370456,11039500,16808,703044,206,68048,929,78692,583,56620,374,57092,396,70456,132,47800
67278.6,1844332,1803315,16370456,11039276,16817,702988,206,68048,932,78692,583,56620,374,57092,396,70456,132,47800
68282.54,1844928,1803890,16370456,11038776,16823,702988,206,68048,936,78692,583,56620,374,57092,396,70456,132,47800
69287.39,1845524,1804460,16370456,11038020,16829,702988,207,68048,938,78692,583,56620,374,57092,396,70456,132,47800
70291.64,1846123,1805034,16370456,11039880,16833,702988,207,68048,941,78692,583,56620,374,57092,396,70456,132,47800
71295.52,1846719,1805610,16370456,11039880,16840,702988,207,68048,943,78692,584,56620,375,57092,397,70456,132,47800
72299.21,1847318,1806187,16370456,11039628,16845,702988,207,68048,946,78692,584,56620,375,57092,397,70456,132,47800
73303.45,1847914,1806761,16370456,11038620,16850,703068,207,68048,948,78692,584,56620,376,57092,397,70456,132,47800
74306.7,1848510,1807337,16370456,11038368,16856,703068,207,68048,951,78692,584,56620,376,57092,397,70456,132,47800
75311.91,1849108,1807912,16370456,11038368,16861,703068,207,68048,953,78692,585,56440,376,57092,398,70456,132,47800
76317.65,1849704,1808484,16370456,11037612,16870,702760,207,68048,955,78692,585,56440,376,57092,398,70456,132,47800
77321.39,1850302,1809056,16370456,11036632,16877,702760,208,68048,959,78692,585,56440,376,57092,398,70456,132,47800
78324.03,1850899,1809631,16370456,11036132,16882,704424,208,68048,962,78692,585,56440,376,57092,398,70456,132,47800
79326.74,1851496,1810204,16370456,11034872,16887,704424,208,68048,964,78692,585,56440,377,57092,398,70456,132,47800
80329.75,1852092,1810774,16370456,11025296,16892,704424,208,68048,968,78692,585,56440,377,57092,398,70456,132,47800
81332.46,1852690,1811348,16370456,11024832,16898,704424,208,68048,970,78692,585,56440,377,57092,398,70456,132,47800
82335.9,1853286,1811919,16370456,11023824,16907,702424,208,68048,973,78692,585,56440,377,57092,398,70456,132,47800
83340.21,1853882,1812493,16370456,11024092,16913,703016,208,68048,976,78692,585,56440,377,57092,399,70456,132,47800
84344.67,1854481,1813069,16370456,11025692,16919,703144,208,68048,978,78692,585,56440,377,57092,399,70456,132,47800
85348.95,1855077,1813643,16370456,11026452,16925,703144,208,68048,981,78692,586,56440,378,57092,399,70456,132,47800
86353.09,1855674,1814216,16370456,11025948,16933,702872,208,68048,984,78692,586,56440,378,57092,399,70456,132,47800
87356.29,1856270,1814791,16370456,11026200,16939,703000,208,68048,986,78692,586,56440,379,57092,399,70456,133,47800
88360.74,1856865,1815367,16370456,11026200,16944,703000,208,68048,989,78692,586,56440,379,57092,399,70456,133,47800
89365.28,1857461,1815940,16370456,11025948,16950,703000,208,68048,991,78692,586,56440,379,57092,399,70456,133,47800
90368.78,1858060,1816515,16370456,11025448,16956,703000,208,68048,994,78692,586,56440,379,57092,399,70456,133,47800
91372.5,1858657,1817087,16370456,11025104,16961,703128,208,68048,997,78692,586,56440,379,57092,399,70456,133,47800
92376.42,1859255,1817660,16370456,11024600,16967,703128,208,68048,999,78692,586,56440,379,57092,399,70456,133,47800
93380.75,1859849,1818230,16370456,11024600,16974,703064,208,68048,1002,78692,586,56440,379,57092,399,70456,133,47800
94384.89,1860446,1818802,16370456,11024600,16981,703192,208,68048,1006,78692,586,56440,380,57092,400,70456,133,47800
95388.97,1861041,1819372,16370456,11029692,16988,703192,208,68048,1008,78692,587,56440,380,57092,400,70456,133,47800
96394.77,1861640,1819944,16370456,11028444,16997,702768,208,68048,1011,78692,587,56440,380,57092,400,70456,133,47800
97399.31,1862236,1820499,16370456,11028192,17022,703320,208,68048,1014,78692,587,56440,380,57092,400,70456,133,47800
98404.52,1862835,1821076,16370456,11028192,17027,703448,208,68048,1017,78692,588,56440,380,57092,400,70456,133,47800
99415.09,1863432,1821648,16370456,11027436,17034,703576,208,68048,1020,78692,588,56440,381,57092,401,70456,133,47800
100416.72,1864028,1822223,16370456,11027436,17040,703576,208,68048,1022,78692,588,56440,381,57092,401,70456,133,47800
101419.15,1864625,1822795,16370456,11019876,17044,703576,208,68048,1024,78692,588,56440,381,57092,401,70456,133,47800
102422.55,1865222,1823372,16370456,11019876,17049,703576,209,68048,1027,78692,588,56440,381,57092,401,70456,133,47800
103424.46,1865817,1823944,16370456,11020400,17056,702816,209,68048,1030,78692,589,56440,382,57092,401,70456,133,47800
104426.81,1866414,1824520,16370456,11021448,17061,702816,209,68048,1033,78692,589,56440,382,57092,401,70456,133,47800
105429.66,1867008,1825092,16370456,11021448,17068,702816,209,68048,1035,78692,589,56440,382,57092,401,70456,134,47800
106431.58,1867604,1825661,16370456,11021196,17077,702908,209,68048,1039,78692,589,56440,382,57092,401,70456,134,47800
107435.63,1868202,1826235,16370456,11020944,17083,702908,209,68048,1042,78692,589,56440,382,57092,401,70456,134,47800
108438.7,1868798,1826812,16370456,11020944,17087,702908,209,68048,1045,78692,589,56440,382,57092,401,70456,134,47800
109443.02,1869396,1827383,16370456,11020692,17092,702908,209,68048,1047,78692,589,56440,382,57092,401,70456,134,47800
110445.96,1869991,1827957,16370456,11020692,17098,702908,209,68048,1051,78692,589,56440,382,57092,401,70456,134,47800
111449.19,1870587,1828528,16370456,11020216,17103,702908,209,68048,1054,78692,589,56440,384,57220,401,70456,134,47800
112453.83,1871184,1829101,16370456,11020216,17110,703332,209,68048,1056,78692,589,56440,384,57220,401,70456,134,47800
113457.79,1871780,1829675,16370456,11020216,17116,703156,209,68048,1059,78692,590,56440,384,57348,401,70456,134,47800
114461.51,1872378,1830249,16370456,11020216,17124,703284,209,68048,1062,78692,590,56440,384,57476,401,70456,134,47800
115465.02,1872972,1830821,16370456,11020216,17130,703284,209,68048,1064,78692,591,56440,384,57476,401,70456,134,47800
116469.43,1873571,1831393,16370456,11019460,17138,702988,209,68048,1066,78692,591,56440,385,57476,401,70456,134,47800
117475.17,1874168,1831969,16370456,11019208,17144,702988,209,68048,1069,78692,591,56440,385,57476,401,70456,134,47800
118479.07,1874764,1832544,16370456,11018960,17148,702988,209,68048,1072,78692,591,56440,385,57476,401,70456,134,47800
119483.82,1875361,1833115,16370456,11018708,17155,702988,209,68048,1075,78820,591,56440,385,57476,402,70456,134,47800
120488.12,1875960,1833697,16370456,11018708,17161,702988,209,68048,1077,79076,591,56440,385,57476,402,70456,134,47800
121491.26,1876559,1834281,16370456,11019184,17166,702988,210,68048,1077,79076,591,56440,386,57476,402,70456,134,47800
122496.69,1877157,1834853,16370456,11018960,17186,703444,210,68048,1077,79076,592,56440,387,57476,404,70456,134,47800
123500.34,1877754,1835442,16370456,11018960,17193,703632,210,68048,1077,79076,593,56440,387,57476,404,70456,134,47800
124506.52,1878352,1836031,16370456,11018960,17200,703632,210,68048,1077,79076,593,56440,387,57476,404,70456,134,47800
125510.11,1878951,1836620,16370456,11018960,17206,703632,210,68048,1077,79076,593,56440,388,57476,404,70456,134,47800
126514.38,1879548,1837208,16370456,11025272,17214,702900,210,68048,1077,79076,593,56440,388,57476,404,70456,134,47800
127518.02,1880146,1837795,16370456,11025212,17223,703332,210,68048,1078,79076,593,56440,388,57476,404,70456,135,47800
128522.55,1880745,1838370,16370456,11023508,17240,703408,210,68048,1078,79076,594,56440,389,57476,406,70456,135,47800
129526.48,1881344,1838957,16370456,11024948,17247,703408,210,68048,1078,79076,594,56440,389,57476,406,70456,135,47800
130530.52,1881944,1839550,16370456,11024948,17253,703408,210,68048,1078,79076,595,56440,389,57476,406,70456,135,47800
131535.0,1882543,1840139,16370456,11028728,17258,703408,210,68048,1078,79076,595,56440,389,57476,406,70456,135,47800
132538.68,1883141,1840691,16370456,11030496,17296,703492,210,68048,1078,79076,596,56440,391,57476,408,70456,135,47800
133543.38,1883740,1841281,16370456,11030244,17303,703100,210,68048,1078,79076,596,56440,391,57476,408,70456,135,47800
134547.88,1884338,1841868,16370456,11030004,17311,703100,210,68048,1078,79076,596,56144,392,57476,408,70456,135,47800
135552.51,1884937,1842459,16370456,11030004,17316,703100,210,68048,1078,79076,597,56144,392,57476,408,70456,135,47800
136557.23,1885535,1843024,16370456,11027516,17339,703592,210,68048,1078,79076,597,56144,393,57476,410,70456,135,47800
137560.84,1886134,1843614,16370456,11027516,17346,703592,210,68048,1078,79076,597,56144,393,57476,410,70456,135,47800
