time,sent,received,total
2.25,275084.4,877541.74,1125.61
1002.9,275158.18,877553.62,1125.69
2003.55,275170.54,877560.65,1125.71
3004.23,275179.03,877562.8,1125.72
4004.92,275219.91,877567.31,1125.77
5006.28,275260.69,877572.03,1125.81
6007.17,275338.51,877581.5,1125.9
7007.97,275339.52,877582.67,1125.9
8008.75,275339.7,877582.86,1125.9
9009.89,275339.89,877582.92,1125.9
10013.05,275340.17,877583.04,1125.9
11013.81,275341.5,877583.64,1125.9
12014.54,275347.21,877585.16,1125.91
13015.88,275352.61,877587.33,1125.92
14017.08,275352.8,877587.54,1125.92
15018.9,275353.46,877587.9,1125.92
16019.87,275355.17,877588.51,1125.92
17020.61,275355.24,877588.84,1125.92
18021.35,275355.24,877588.9,1125.92
19022.14,275355.42,877589.09,1125.92
20022.95,275355.72,877589.32,1125.92
21023.89,275358.09,877590.7,1125.93
22024.64,275362.45,877591.6,1125.93
23025.31,275368.03,877593.77,1125.94
24025.96,275368.03,877593.83,1125.94
25026.61,275368.1,877593.95,1125.94
26027.41,275370.01,877595.21,1125.94
27028.36,275372.14,877597.06,1125.95
28029.33,275372.14,877597.12,1125.95
29030.34,275372.33,877597.33,1125.95
30031.1,275381.29,877598.94,1125.96
31031.81,275470.48,877661.39,1126.1
32032.47,275568.77,877727.29,1126.27
33034.06,275666.91,877792.43,1126.42
34035.88,275861.68,877864.31,1126.68
35038.52,276040.41,878262.7,1127.25
36039.38,276265.78,886565.8,1135.58
37042.29,276403.57,886634.23,1135.78
38043.29,276539.72,886705.33,1135.98
39044.55,276678.68,886780.23,1136.19
40045.71,276857.39,886859.31,1136.44
41046.44,277032.56,886938.27,1136.69
42047.17,277219.46,887182.04,1137.11
43047.92,277511.75,896872.58,1146.86
44048.91,277655.33,898060.01,1148.16
45050.09,277810.45,898139.13,1148.39
46051.12,277994.89,898213.89,1148.64
47052.61,278129.25,898275.53,1148.83
48053.49,278357.65,898354.38,1149.13
