time,sent,received,total
1.85,46289.84,816481.05,842.55
1002.59,46293.06,816508.63,842.58
2003.6,46299.74,816553.29,842.63
3004.37,46302.76,816562.74,842.64
4004.98,46304.09,816562.91,842.64
5005.61,46310.27,816603.44,842.69
6006.24,46319.83,816678.63,842.77
7007.05,46325.5,816720.22,842.82
8008.06,46325.71,816720.67,842.82
9009.22,46326.08,816720.87,842.82
10010.65,46326.08,816720.92,842.82
11012.4,46327.83,816722.77,842.82
12013.58,46328.72,816727.06,842.83
13015.73,46330.34,816728.3,842.83
14017.28,46331.36,816732.62,842.83
15018.34,46331.42,816732.72,842.84
16019.37,46332.37,816734.03,842.84
17020.52,46332.44,816734.28,842.84
18021.28,46332.72,816734.38,842.84
19021.92,46332.91,816734.58,842.84
20022.53,46333.09,816734.63,842.84
21023.13,46333.09,816734.69,842.84
22023.74,46334.62,816736.84,842.84
23024.65,46337.26,816742.31,842.85
24025.79,46338.09,816746.47,842.86
25027.05,46338.09,816746.53,842.86
26028.12,46339.34,816748.32,842.86
27029.23,46341.58,816750.21,842.86
28029.99,46341.58,816750.27,842.86
29030.58,46341.64,816750.38,842.86
30031.19,46343.37,816758.74,842.87
31031.81,46364.88,816786.65,842.92
32032.42,46390.85,816827.09,842.99
33033.3,46416.76,816871.72,843.05
34034.31,46447.23,816963.29,843.17
35035.25,46485.82,817082.49,843.33
36035.96,46516.79,817176.82,843.45
37036.6,46549.41,817286.71,843.59
38037.22,46577.74,817364.64,843.69
39037.84,46607.63,817445.04,843.8
40038.59,46640.23,817560.9,843.95
41039.31,46676.7,817681.64,844.1
42039.98,46707.92,817772.97,844.22
43040.9,46739.85,817854.85,844.33
44041.59,46772.5,817972.11,844.48
45042.26,46804.07,818056.56,844.59
46043.16,46837.47,818169.38,844.73
47043.89,46862.35,818258.45,844.84
48044.56,46899.06,818428.54,845.05
49045.19,46934.93,818582.94,845.23
50045.95,46968.9,818730.33,845.41
51046.64,47002.7,818846.94,845.56
52047.57,47027.0,818886.54,845.62
53048.59,47051.07,818923.0,845.68
54049.67,47072.68,818959.99,845.73
55050.78,47094.97,818992.59,845.79
56051.83,47114.84,819022.8,845.84
57052.92,47126.83,819044.16,845.87
58054.07,47141.94,819066.78,845.91
59054.85,47164.43,819101.11,845.96
60055.49,47188.88,819139.68,846.02
61056.14,47213.67,819178.08,846.08
62056.79,47238.4,819216.6,846.15
63057.44,47259.98,819250.49,846.2
64058.48,47285.62,819292.99,846.27
65059.61,47309.93,819329.82,846.33
66060.71,47334.17,819367.28,846.39
67061.48,47360.39,819418.88,846.46
68062.16,47383.72,819457.87,846.52
69062.8,47407.87,819497.05,846.59
70063.45,47432.05,819536.09,846.65
71064.09,47457.64,819576.49,846.71
72065.02,47481.71,819615.02,846.77
73066.19,47505.56,819654.37,846.83
74067.34,47530.01,819697.65,846.9
75068.39,47556.42,819737.97,846.97
76069.49,47582.66,819779.32,847.03
77070.52,47607.68,819822.27,847.1
78071.6,47632.17,819861.67,847.16
79072.34,47655.7,819901.02,847.22
80072.99,47679.17,819939.81,847.28
81073.64,47705.22,819988.49,847.36
82074.34,47728.88,820027.02,847.42
83074.99,47752.34,820065.71,847.48
84075.91,47775.93,820104.94,847.54
85076.9,47800.93,820148.59,847.61
86078.06,47828.9,820191.91,847.68
87079.07,47855.25,820236.8,847.75
88079.82,47878.53,820275.7,847.81
89080.51,47901.86,820314.89,847.87
90081.2,47925.33,820354.04,847.93
91081.89,47952.34,820395.16,848.0
92082.57,47978.77,820436.5,848.06
93083.58,48002.83,820475.49,848.12
94084.7,48026.49,820514.68,848.18
95085.74,48051.1,820557.73,848.25
96086.92,48074.87,820595.58,848.31
97088.07,48092.93,820623.52,848.36
