time,total,idle,mem_total,mem_free,8663/cpu,8663/rss,9205/cpu,9205/rss
1003.76,6585027,6416415,3887864,143860,32729,101724,553,3016
2005.77,6585422,6416774,3887864,142284,32737,101644,553,3016
3007.18,6585811,6417107,3887864,131828,32746,101644,553,3016
4008.13,6586208,6417469,3887864,125576,32750,101644,553,3016
5008.97,6586605,6417857,3887864,126144,32755,101644,553,3016
6009.84,6587003,6418239,3887864,126752,32762,101648,553,3016
7010.77,6587402,6418626,3887864,127656,32766,101660,553,3016
8012.75,6587799,6419007,3887864,127796,32768,101660,553,3016
9014.83,6588196,6419403,3887864,128208,32769,101660,553,3016
10016.9,6588596,6419797,3887864,131332,32772,101660,553,3016
11019.21,6588994,6420192,3887864,131004,32773,101660,553,3016
12021.51,6589391,6420578,3887864,130952,32781,101660,553,3016
13024.61,6589791,6420972,3887864,131176,32784,101660,553,3016
14026.83,6590185,6421357,3887864,130872,32792,101660,553,3016
15028.44,6590586,6421742,3887864,131240,32794,101660,553,3016
16030.24,6590999,6422117,3887864,131548,32796,101660,554,3016
17032.27,6591401,6422508,3887864,131452,32798,101660,554,3016
18033.29,6591799,6422878,3887864,134172,32800,101660,554,3016
19034.14,6592198,6423277,3887864,136384,32800,101660,554,3016
20034.99,6592599,6423675,3887864,136384,32801,101660,554,3016
21035.82,6592999,6424073,3887864,136384,32802,101660,554,3016
22036.79,6593398,6424470,3887864,135628,32803,101660,554,3016
23038.62,6593794,6424863,3887864,135880,32806,101660,554,3016
24040.75,6594192,6425250,3887864,135880,32813,101660,554,3016
25042.92,6594592,6425642,3887864,135628,32816,101660,554,3016
26044.76,6594991,6426034,3887864,135628,32818,101660,554,3016
27046.93,6595388,6426427,3887864,135880,32820,101660,554,3016
28047.97,6595787,6426800,3887864,127436,32823,101660,554,3016
29048.81,6596187,6427196,3887864,127436,32823,101660,554,3016
30049.68,6596585,6427592,3887864,127436,32826,101660,554,3016
31050.57,6596980,6427973,3887864,126736,32826,101660,554,3016
32051.54,6597379,6428350,3887864,125476,32828,101660,554,3016
33053.18,6597773,6428710,3887864,125224,32834,101660,554,3016
34055.06,6598158,6429040,3887864,124216,32851,101660,554,3016
35056.86,6598545,6429364,3887864,123712,32873,101664,554,3016
36058.19,6598933,6429611,3887864,105780,32890,101664,554,3016
37059.3,6599317,6429842,3887864,95760,32908,101668,554,3016
38061.91,6599702,6430108,3887864,80088,32922,101668,554,3016
39087.19,6600092,6430342,3887864,58336,32939,101676,555,3016
40088.38,6600482,6430613,3887864,53576,32954,101688,555,3016
41089.45,6600869,6430917,3887864,50604,32971,101688,555,3016
42090.83,6601262,6431219,3887864,79768,32988,102204,555,3016
43092.07,6601648,6431548,3887864,77940,33002,102620,555,3016
44093.06,6602037,6431859,3887864,71184,33015,102960,555,3016
45122.53,6602438,6432153,3887864,62360,33033,103252,555,3016
46124.3,6602832,6432460,3887864,62504,33052,103716,555,3016
47125.4,6603221,6432794,3887864,60756,33068,104244,555,3016
48126.98,6603608,6433125,3887864,53196,33085,104356,555,3016
49128.02,6604004,6433479,3887864,64148,33096,104424,555,3016
50129.04,6604400,6433835,3887864,72580,33104,104440,555,3016
51130.11,6604795,6434197,3887864,70988,33111,104464,555,3016
52131.99,6605188,6434553,3887864,71124,33119,104496,555,3016
53133.84,6605579,6434913,3887864,71184,33120,104504,555,3016
54136.0,6605969,6435268,3887864,71704,33125,104504,555,3016
55137.94,6606364,6435618,3887864,71856,33131,104504,555,3016
56140.32,6606759,6435982,3887864,73048,33136,104524,555,3016
57142.4,6607153,6436343,3887864,73276,33144,104524,555,3016
58144.41,6607547,6436711,3887864,73556,33148,104524,555,3016
59145.56,6607944,6437063,3887864,70836,33150,104524,555,3016
60146.56,6608341,6437437,3887864,70624,33151,104524,555,3016
61147.57,6608732,6437812,3887864,70444,33153,104524,555,3016
62148.58,6609128,6438187,3887864,69288,33156,104672,555,3016
63149.66,6609525,6438563,3887864,69560,33160,104816,556,3016
64151.52,6609922,6438917,3887864,70176,33165,105036,556,3016
65153.32,6610314,6439266,3887864,70196,33172,105124,556,3016
66155.23,6610705,6439619,3887864,70260,33175,105280,556,3016
67156.39,6611097,6439969,3887864,71088,33185,105340,556,3016
68157.4,6611494,6440346,3887864,71612,33188,105388,556,3016
69158.43,6611887,6440706,3887864,71492,33189,105408,556,3016
70159.43,6612286,6441083,3887864,71248,33191,105408,556,3016
71160.43,6612683,6441459,3887864,70276,33192,105416,556,3016
72162.69,6613082,6441827,3887864,70036,33195,105416,556,3016
73164.29,6613479,6442183,3887864,70464,33196,105416,556,3016
74165.81,6613876,6442533,3887864,70216,33207,105664,556,3016
75167.65,6614265,6442879,3887864,70280,33214,105664,556,3016
76169.46,6614655,6443230,3887864,70020,33217,105664,556,3016
77171.51,6615045,6443577,3887864,70020,33225,105664,556,3016
78173.34,6615437,6443932,3887864,70876,33229,105664,556,3016
79174.49,6615832,6444274,3887864,62704,33231,105664,556,3016
80175.5,6616225,6444651,3887864,62704,33233,105664,556,3016
81176.51,6616623,6445027,3887864,62724,33236,105664,556,3016
82177.49,6617018,6445400,3887864,63260,33239,105672,556,3016
83178.52,6617416,6445780,3887864,63252,33240,105672,556,3016
84180.39,6617812,6446152,3887864,64100,33242,105672,556,3016
85182.14,6618209,6446494,3887864,64612,33254,105684,557,3016
86184.12,6618601,6446848,3887864,65160,33257,105684,557,3016
87185.26,6618992,6447191,3887864,65696,33267,105684,557,3016
88186.31,6619390,6447570,3887864,65148,33268,105684,557,3016
89187.34,6619783,6447933,3887864,66896,33270,105684,557,3016
90188.34,6620181,6448311,3887864,67360,33271,105684,557,3016
91189.35,6620578,6448688,3887864,68592,33273,105684,557,3016
92193.5,6620974,6449062,3887864,68844,33275,105684,557,3016
93196.76,6621372,6449419,3887864,68616,33277,105684,557,3016
94200.05,6621767,6449774,3887864,68416,33282,105684,557,3016
95202.25,6622160,6450122,3887864,68176,33289,105688,557,3016
96204.62,6622552,6450479,3887864,68396,33292,105688,557,3016
97207.23,6622951,6450839,3887864,68248,33304,105688,557,3016
98209.03,6623347,6451190,3887864,68640,33312,105688,557,3016
99210.93,6623743,6451554,3887864,69144,33313,105688,557,3016
100212.05,6624139,6451907,3887864,67548,33316,105688,557,3016
101213.05,6624539,6452284,3887864,67524,33318,105688,557,3016
102214.31,6624937,6452660,3887864,67316,33319,105688,557,3016
103215.42,6625337,6453039,3887864,67036,33321,105688,557,3016
104216.43,6625734,6453419,3887864,67200,33321,105688,557,3016
105218.4,6626127,6453768,3887864,67912,33329,105688,558,3016
106220.25,6626524,6454125,3887864,67660,33332,105688,558,3016
107221.69,6626914,6454473,3887864,66664,33337,105688,558,3016
108222.85,6627307,6454820,3887864,65980,33350,105688,558,3016
109223.82,6627701,6455198,3887864,66008,33352,105688,558,3016
110224.83,6628093,6455556,3887864,65456,33354,105688,558,3016
111225.85,6628491,6455932,3887864,64584,33355,105688,558,3016
112226.89,6628885,6456308,3887864,64760,33358,105688,558,3016
113228.78,6629275,6456668,3887864,65708,33363,105688,558,3016
114230.89,6629666,6457026,3887864,65600,33366,105688,558,3016
115232.91,6630059,6457369,3887864,65684,33374,105688,558,3016
116234.83,6630448,6457723,3887864,66200,33378,105688,558,3016
117236.69,6630845,6458079,3887864,65348,33380,105688,558,3016
118237.8,6631240,6458425,3887864,64604,33396,105712,558,3016
119238.84,6631635,6458801,3887864,65024,33399,105720,558,3016
120239.96,6632031,6459162,3887864,61536,33401,105744,558,3016
121240.95,6632430,6459554,3887864,61392,33402,105748,558,3016
122242.0,6632829,6459946,3887864,61828,33405,105748,558,3016
123249.51,6633229,6460339,3887864,63080,33407,105748,558,3016
124251.8,6633630,6460730,3887864,63984,33410,105748,558,3016
125253.84,6634024,6461109,3887864,64440,33418,105748,558,3016
126256.52,6634424,6461495,3887864,64440,33422,105748,559,3016
127259.03,6634821,6461887,3887864,64772,33425,105748,559,3016
128260.16,6635218,6462259,3887864,65464,33438,105748,559,3016
129261.13,6635618,6462656,3887864,65504,33439,105748,559,3016
130262.17,6636013,6463034,3887864,64296,33442,105748,559,3016
131263.14,6636413,6463430,3887864,64048,33443,105748,559,3016
132264.1,6636810,6463826,3887864,63972,33445,105752,559,3016
133266.28,6637205,6464217,3887864,63052,33449,105752,559,3016
134268.4,6637604,6464591,3887864,62300,33456,105756,559,3016
135270.74,6637999,6464970,3887864,62332,33464,105756,559,3016
136272.79,6638398,6465353,3887864,62604,33469,105756,559,3016
137274.83,6638811,6465728,3887864,62764,33471,105756,559,3016
138275.97,6639201,6466041,3887864,64684,33486,105756,559,3016
139276.98,6639600,6466424,3887864,64180,33492,105928,559,3016
140278.35,6640000,6466816,3887864,64724,33494,105928,559,3016
141279.39,6640399,6467198,3887864,67048,33497,105928,559,3016
142280.38,6640794,6467582,3887864,67752,33500,105928,559,3016
143282.56,6641194,6467976,3887864,67752,33502,105928,559,3016
144284.61,6641592,6468361,3887864,67528,33509,105928,559,3016
145286.94,6641987,6468742,3887864,67788,33515,105928,559,3016
146288.8,6642383,6469123,3887864,67788,33526,105928,560,3016
147291.07,6642783,6469513,3887864,68288,33529,105932,560,3016
148292.23,6643182,6469883,3887864,69324,33539,105932,560,3016
149293.25,6643579,6470275,3887864,70028,33542,105932,560,3016
150294.26,6643976,6470669,3887864,70680,33543,105932,560,3016
151295.24,6644374,6471049,3887864,70252,33544,105932,560,3016
152296.22,6644773,6471445,3887864,71712,33546,105932,560,3016
153298.17,6645173,6471841,3887864,72016,33547,105932,560,3016
154300.39,6645570,6472231,3887864,72272,33550,105932,560,3016
155302.79,6645968,6472613,3887864,72284,33557,105932,560,3016
156305.04,6646367,6472999,3887864,72048,33562,105932,561,3016
157307.41,6646762,6473390,3887864,71796,33565,105932,561,3016
158309.04,6647160,6473764,3887864,71548,33578,105932,561,3016
159311.06,6647557,6474156,3887864,71548,33583,105932,561,3016
160313.08,6647956,6474545,3887864,72064,33586,105932,561,3016
161314.25,6648351,6474910,3887864,74116,33590,105936,561,3016
162315.24,6648749,6475305,3887864,74996,33592,105936,561,3016
163316.22,6649148,6475703,3887864,74044,33592,105936,561,3016
164317.21,6649547,6476099,3887864,73832,33594,105936,561,3016
165318.23,6649947,6476491,3887864,73584,33596,105936,561,3016
166320.12,6650346,6476880,3887864,72676,33600,105936,561,3016
167322.24,6650745,6477273,3887864,72800,33603,105936,561,3016
168324.25,6651145,6477663,3887864,72800,33607,105936,561,3016
169326.33,6651541,6478042,3887864,73052,33615,105936,561,3016
170327.45,6651940,6478419,3887864,70640,33619,105936,561,3016
171328.44,6652337,6478797,3887864,69008,33620,105940,561,3016
172329.45,6652735,6479190,3887864,68692,33625,105988,561,3016
173330.49,6653134,6479575,3887864,68092,33628,106104,561,3016
174331.49,6653532,6479972,3887864,70464,33630,106232,561,3016
175333.37,6653931,6480361,3887864,70268,33635,106232,562,3016
176335.66,6654328,6480752,3887864,71780,33638,106236,562,3016
177337.49,6654725,6481132,3887864,71608,33645,106240,562,3016
178339.77,6655123,6481513,3887864,69392,33649,106240,562,3016
179340.9,6655517,6481881,3887864,67648,33660,106248,562,3016
180342.0,6655915,6482267,3887864,69184,33664,106260,562,3016
181343.14,6656315,6482639,3887864,62740,33671,106260,562,3016
182344.2,6656712,6483020,3887864,68748,33673,106260,562,3016
183345.21,6657114,6483418,3887864,68924,33674,106260,562,3016
184347.16,6657510,6483807,3887864,69568,33676,106260,562,3016
185348.89,6657907,6484179,3887864,69720,33683,106260,562,3016
186350.94,6658305,6484569,3887864,70188,33686,106260,562,3016
187353.24,6658704,6484961,3887864,70188,33690,106260,562,3016
188355.6,6659098,6485350,3887864,70064,33695,106260,562,3016
189356.8,6659493,6485730,3887864,70804,33704,106260,562,3016
190357.83,6659891,6486123,3887864,71860,33707,106260,562,3016
191358.89,6660292,6486519,3887864,71984,33709,106260,562,3016
192359.89,6660690,6486899,3887864,71508,33711,106260,562,3016
