response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0393,0.0179,0.0000,0.0000,0.0211,0.0001,200,0.1028
0.0465,0.0174,0.0000,0.0000,0.0290,0.0001,200,0.1033
0.0472,0.0144,0.0000,0.0001,0.0324,0.0001,200,0.1027
0.0501,0.0176,0.0000,0.0000,0.0323,0.0001,200,0.1032
0.0609,0.0177,0.0000,0.0000,0.0430,0.0001,200,0.1031
0.0617,0.0178,0.0000,0.0000,0.0439,0.0001,200,0.1031
0.0653,0.0171,0.0000,0.0001,0.0472,0.0000,200,0.1027
0.0649,0.0175,0.0000,0.0001,0.0472,0.0000,200,0.1032
0.0702,0.0176,0.0000,0.0000,0.0525,0.0001,200,0.1032
0.0760,0.0179,0.0000,0.0000,0.0580,0.0000,200,0.1029
0.0253,0.0055,0.0000,0.0000,0.0196,0.0001,200,0.2033
0.0280,0.0055,0.0000,0.0000,0.0223,0.0001,200,0.2033
0.0284,0.0055,0.0000,0.0001,0.0228,0.0000,200,0.2033
0.0350,0.0056,0.0000,0.0000,0.0293,0.0000,200,0.2032
0.0351,0.0056,0.0000,0.0000,0.0294,0.0000,200,0.2032
0.0350,0.0056,0.0000,0.0000,0.0294,0.0000,200,0.2033
0.0386,0.0054,0.0000,0.0000,0.0332,0.0000,200,0.2034
0.0398,0.0056,0.0000,0.0000,0.0342,0.0000,200,0.2031
0.0405,0.0055,0.0000,0.0001,0.0349,0.0000,200,0.2032
0.0426,0.0055,0.0000,0.0001,0.0370,0.0000,200,0.2032
0.0148,0.0045,0.0000,0.0000,0.0102,0.0001,200,0.3033
0.0155,0.0047,0.0000,0.0000,0.0107,0.0001,200,0.3031
0.0202,0.0044,0.0000,0.0000,0.0157,0.0000,200,0.3034
0.0206,0.0046,0.0000,0.0000,0.0159,0.0001,200,0.3033
0.0212,0.0045,0.0000,0.0000,0.0166,0.0001,200,0.3034
0.0218,0.0045,0.0000,0.0000,0.0172,0.0000,200,0.3034
0.0248,0.0045,0.0000,0.0000,0.0203,0.0000,200,0.3034
0.0252,0.0045,0.0000,0.0000,0.0206,0.0000,200,0.3033
0.0259,0.0044,0.0000,0.0000,0.0215,0.0000,200,0.3034
0.0261,0.0045,0.0000,0.0000,0.0216,0.0000,200,0.3034
0.0237,0.0077,0.0000,0.0000,0.0159,0.0000,200,0.4030
0.0238,0.0078,0.0000,0.0001,0.0159,0.0001,200,0.4029
0.0286,0.0078,0.0000,0.0001,0.0207,0.0000,200,0.4030
0.0286,0.0078,0.0000,0.0000,0.0207,0.0000,200,0.4030
