time,sent,received,total
1.82,60216.16,20637.02,78.96
1002.62,60242.89,20641.36,78.99
2003.22,60278.57,20646.19,79.03
3003.83,60282.08,20648.89,79.03
4004.42,60283.85,20650.24,79.04
5005.31,60284.61,20650.97,79.04
6006.77,60284.77,20651.08,79.04
7007.85,60286.06,20651.97,79.04
8008.95,60286.19,20652.16,79.04
9009.69,60287.58,20654.15,79.04
10010.24,60289.79,20655.79,79.05
11010.85,60295.15,20659.02,79.06
12011.46,60295.39,20659.31,79.06
13012.09,60296.41,20660.14,79.06
14012.98,60297.57,20661.18,79.06
15014.07,60298.52,20662.01,79.06
16015.16,60301.44,20663.73,79.07
17016.29,60302.76,20664.78,79.07
18017.34,60305.04,20666.44,79.07
19018.36,60306.92,20668.01,79.08
20019.06,60307.85,20668.61,79.08
21020.03,60308.67,20669.39,79.08
22020.73,60308.92,20669.5,79.08
23021.32,60310.74,20670.6,79.08
24021.91,60311.44,20670.98,79.08
25022.8,60316.71,20678.64,79.1
26024.41,60320.89,20681.13,79.1
27025.47,60321.65,20681.86,79.1
28026.55,60321.65,20681.92,79.1
29027.75,60322.51,20682.79,79.11
30028.51,60323.26,20683.03,79.11
31029.11,60328.95,20686.49,79.12
32029.72,60329.35,20686.86,79.12
33030.32,60332.17,20689.2,79.12
34030.92,60334.8,20691.91,79.13
35031.83,60336.63,20693.41,79.13
36032.86,60336.81,20693.52,79.13
37033.88,60338.06,20694.49,79.13
38034.92,60338.06,20694.55,79.13
39036.08,60339.21,20695.38,79.13
40037.02,60340.58,20696.76,79.14
41037.64,60345.73,20699.87,79.15
42038.26,60345.98,20700.06,79.15
43038.85,60347.09,20700.89,79.15
44039.45,60347.4,20701.0,79.15
45040.38,60351.94,20705.28,79.16
46041.19,60513.9,20722.63,79.33
47041.89,60520.22,20726.86,79.34
48042.49,60559.86,20733.33,79.39
49043.11,60671.96,20744.36,79.51
50043.76,60672.08,20744.55,79.51
51044.97,60673.3,20747.07,79.51
52046.54,60673.3,20747.13,79.51
53047.76,60674.37,20748.05,79.51
54048.91,60674.76,20748.21,79.51
55049.76,60682.08,20757.22,79.53
56050.39,60687.63,20760.69,79.54
57050.98,60689.23,20763.54,79.54
58051.57,60689.23,20763.6,79.54
59053.28,60690.9,20764.72,79.55
60054.25,60691.67,20765.21,79.55
61054.97,60889.52,20784.6,79.76
62055.57,60890.24,20784.95,79.76
63056.22,60896.74,20790.39,79.77
64056.82,60906.19,20795.88,79.79
65057.41,61109.67,20813.71,80.0
66058.39,61111.49,20814.94,80.01
67059.69,61112.84,20815.82,80.01
68060.73,61112.84,20815.88,80.01
69061.64,61113.98,20816.84,80.01
70062.6,61115.68,20818.16,80.01
71063.31,61120.8,20821.38,80.02
72063.93,61120.8,20821.44,80.02
73064.52,61121.72,20822.27,80.02
74065.12,61122.45,20822.53,80.02
75065.72,61123.21,20823.21,80.03
76066.55,61128.98,20827.29,80.04
77067.71,61128.98,20827.29,80.04
78068.85,61132.05,20829.72,80.04
79069.91,61132.66,20829.93,80.04
80071.0,61133.42,20830.71,80.04
81071.9,61133.42,20830.77,80.04
82072.61,61134.66,20831.65,80.04
83073.21,61135.19,20832.02,80.05
84073.81,61136.63,20833.12,80.05
85074.41,61141.12,20839.72,80.06
86075.38,61146.44,20843.04,80.07
87076.61,61148.21,20844.26,80.07
88077.75,61148.97,20845.04,80.07
89078.87,61149.07,20845.24,80.07
90080.08,61149.83,20846.02,80.07
91081.27,61152.65,20847.96,80.08
92082.04,61153.41,20848.68,80.08
93082.64,61155.41,20850.19,80.08
94083.23,61217.24,20856.19,80.15
95083.85,61217.71,20856.44,80.15
96084.43,61218.84,20857.37,80.15
97085.4,61219.7,20858.21,80.15
98086.57,61221.2,20859.17,80.16
99087.56,61222.14,20859.66,80.16
100088.55,61224.32,20861.7,80.16
101089.54,61228.96,20864.22,80.17
102090.29,61229.95,20865.09,80.17
103090.88,61230.29,20865.26,80.17
104091.48,61231.21,20866.04,80.17
105092.12,61233.98,20868.74,80.18
106092.73,61237.46,20870.97,80.18
107093.62,61239.63,20872.35,80.19
108094.67,61241.93,20874.5,80.19
109095.7,61241.93,20874.55,80.19
110096.68,61256.48,20877.66,80.21
111097.76,61256.95,20877.77,80.21
112098.8,61257.71,20878.55,80.21
113099.4,61257.93,20878.55,80.21
114100.01,61260.95,20880.09,80.22
115100.62,61267.81,20889.25,80.23
116101.22,61274.15,20893.37,80.24
117102.71,61275.36,20894.21,80.24
118104.34,61276.36,20895.26,80.25
119105.42,61276.84,20895.42,80.25
120106.52,61278.05,20896.39,80.25
121107.56,61280.87,20898.45,80.25
122108.41,61282.11,20899.29,80.25
123109.05,61284.27,20901.0,80.26
124109.64,61285.7,20902.14,80.26
125110.27,61286.17,20902.38,80.26
126110.85,61287.09,20903.21,80.26
127112.01,61288.11,20904.14,80.27
128113.11,61289.1,20904.97,80.27
129113.87,61289.1,20905.03,80.27
130114.46,61290.42,20906.04,80.27
131115.06,61296.52,20909.86,80.28
132115.7,61297.28,20910.64,80.28
133116.31,61298.81,20911.34,80.28
134117.18,61300.48,20912.37,80.29
135118.12,61300.48,20912.37,80.29
136119.04,61303.88,20914.99,80.29
137120.37,61304.01,20915.04,80.29
138121.38,61307.59,20918.1,80.3
139122.26,61308.2,20918.31,80.3
140123.23,61309.97,20919.2,80.3
141124.28,61310.97,20919.92,80.3
142125.3,61312.27,20921.02,80.31
143126.7,61313.21,20921.51,80.31
144127.36,61313.49,20922.24,80.31
145127.98,61316.88,20927.62,80.32
146128.57,61323.04,20931.65,80.33
147129.17,61324.17,20932.53,80.33
148130.22,61325.32,20933.85,80.33
149131.38,61326.3,20934.69,80.33
150132.58,61326.59,20934.79,80.33
151133.47,61329.32,20936.96,80.34
152134.32,61329.45,20937.16,80.34
153134.99,61331.85,20939.37,80.34
154135.58,61334.7,20945.37,80.35
155136.2,61335.85,20946.3,80.35
156136.79,61336.03,20946.41,80.35
157137.39,61337.04,20947.33,80.36
158138.32,61338.64,20948.4,80.36
159139.45,61340.79,20949.35,80.36
160140.63,61340.79,20949.4,80.36
161141.67,61347.08,20953.8,80.37
162142.76,61347.21,20953.99,80.37
163143.5,61348.91,20955.2,80.38
164144.12,61349.14,20955.31,80.38
165144.7,61352.59,20959.04,80.38
166145.29,61354.78,20960.63,80.39
167145.88,61356.38,20961.52,80.39
168146.76,61358.94,20963.8,80.39
169147.72,61360.11,20964.68,80.39
170148.68,61360.11,20964.74,80.39
171149.68,61361.56,20966.0,80.4
172150.68,61361.56,20966.06,80.4
173151.81,61362.5,20966.98,80.4
174152.56,61362.97,20967.22,80.4
175153.15,61367.86,20974.03,80.41
176153.74,61374.06,20978.36,80.42
177154.35,61375.15,20979.25,80.42
178154.94,61375.15,20979.31,80.42
179155.98,61377.3,20981.19,80.43
180157.11,61377.69,20981.35,80.43
181161.42,61378.46,20982.13,80.43
182162.21,61543.69,20993.54,80.6
183162.81,61872.18,21018.1,80.95
184163.4,61993.94,21023.58,81.07
185164.06,61994.88,21024.41,81.07
186164.66,61995.48,21024.98,81.07
187165.62,61996.37,21025.76,81.08
188166.74,61996.59,21025.87,81.08
189167.83,61998.42,21027.43,81.08
190168.92,61998.68,21027.62,81.08
191169.97,62006.03,21032.39,81.09
192170.99,62006.03,21032.45,81.09
193172.06,62007.17,21033.33,81.09
194172.86,62007.84,21033.59,81.09
195173.5,62008.7,21034.42,81.1
196174.09,62008.7,21034.48,81.1
197174.68,62100.11,21042.21,81.19
198175.28,62317.92,21057.19,81.42
199176.22,62320.03,21058.71,81.42
200177.3,62320.66,21060.15,81.43
201178.28,62321.74,21061.06,81.43
202179.28,62322.57,21061.22,81.43
203180.37,62324.48,21062.21,81.43
204181.11,62324.71,21062.32,81.43
