time,sent,received,total
1.27,63196.15,21608.78,82.82
1001.93,63203.42,21612.21,82.83
2002.55,63238.2,21615.76,82.86
3003.19,63241.18,21618.58,82.87
4003.78,63243.03,21619.75,82.87
5004.6,63243.13,21619.94,82.87
6005.71,63243.89,21620.67,82.88
7006.75,63246.19,21622.73,82.88
8007.74,63247.25,21623.51,82.88
9008.75,63247.58,21623.62,82.88
10009.81,63248.74,21624.4,82.88
11010.55,63249.0,21624.64,82.88
12011.13,63252.67,21630.76,82.89
13011.72,63253.16,21630.93,82.89
14012.3,63257.0,21634.62,82.9
15012.88,63261.02,21637.26,82.91
16013.9,63263.84,21639.57,82.91
17015.01,63265.3,21640.82,82.92
18016.08,63266.06,21641.61,82.92
19017.03,63266.33,21641.8,82.92
20018.08,63267.81,21642.98,82.92
21019.26,63268.27,21644.88,82.92
22020.03,63270.92,21647.06,82.93
23020.62,63270.92,21647.12,82.93
24021.24,63272.65,21648.16,82.93
25021.83,63272.89,21648.27,82.93
26022.4,63273.77,21649.18,82.93
27022.98,63274.88,21650.02,82.93
28023.56,63276.06,21652.09,82.94
29024.15,63278.13,21653.36,82.94
30024.68,63283.01,21656.78,82.95
31025.29,63285.93,21658.6,82.95
32026.24,63287.16,21659.84,82.96
33027.37,63289.68,21661.57,82.96
34028.42,63291.01,21662.45,82.96
35029.54,63291.29,21662.7,82.96
36030.67,63292.46,21663.59,82.96
37031.82,63294.35,21665.37,82.97
38032.86,63296.39,21667.01,82.97
39033.98,63297.54,21667.27,82.97
40035.15,63298.37,21668.01,82.97
41036.2,63298.99,21668.73,82.98
42036.92,63302.25,21674.49,82.98
43037.53,63302.51,21674.6,82.99
44038.11,63305.65,21676.65,82.99
45038.7,63309.7,21679.24,83.0
46039.3,63473.8,21696.0,83.17
47040.12,63479.83,21699.21,83.18
48040.82,63520.14,21706.06,83.23
49041.43,63632.7,21716.68,83.35
50042.02,63634.1,21717.42,83.35
51042.62,63634.75,21717.72,83.35
52043.19,63639.83,21722.33,83.36
53044.18,63640.07,21722.44,83.36
54045.52,63641.24,21723.23,83.36
55046.56,63641.83,21723.81,83.36
56047.65,63642.5,21724.02,83.37
57048.76,63644.86,21725.6,83.37
58049.82,63646.23,21726.75,83.37
59050.85,63649.82,21730.06,83.38
60051.81,63653.96,21732.89,83.38
61052.5,63853.83,21751.77,83.6
62053.14,63856.55,21753.46,83.6
63053.83,63945.03,21768.58,83.7
64054.78,63954.78,21772.09,83.72
65055.45,64081.26,21781.42,83.85
66056.42,64081.59,21781.67,83.85
67057.45,64097.55,21786.07,83.87
68058.43,64098.44,21786.86,83.87
69059.54,64099.64,21787.7,83.87
70060.56,64099.83,21787.8,83.87
71061.61,64100.84,21788.83,83.88
72062.39,64105.94,21796.34,83.89
73063.0,64107.11,21797.45,83.89
74063.58,64109.68,21798.77,83.89
75064.17,64114.3,21802.16,83.9
76064.77,64116.87,21804.0,83.91
77065.76,64117.79,21804.83,83.91
78066.77,64120.57,21806.53,83.91
79068.87,64122.47,21808.03,83.92
80070.2,64123.25,21808.38,83.92
81071.31,64124.62,21809.26,83.92
82072.44,64126.25,21810.68,83.92
83073.18,64127.9,21812.01,83.92
84073.81,64128.68,21812.27,83.93
85074.41,64129.92,21813.16,83.93
86075.0,64129.92,21813.22,83.93
87075.59,64131.26,21814.1,83.93
88076.47,64131.91,21814.26,83.93
89077.73,64135.18,21817.34,83.94
90078.71,64139.8,21820.12,83.94
91079.74,64143.03,21822.3,83.95
92080.81,64143.03,21822.36,83.95
93081.53,64144.04,21823.19,83.95
94082.14,64144.2,21823.3,83.95
95082.72,64145.5,21824.32,83.95
96083.31,64145.75,21824.68,83.96
97083.9,64149.11,21827.15,83.96
98084.77,64149.56,21827.39,83.96
99085.91,64151.33,21829.18,83.96
100086.92,64151.33,21829.24,83.96
101088.2,64152.61,21830.15,83.97
