time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1003.94,3194304,3048422,3887864,1668416,26848,254580,64015,535680,196,79376,3705,65544,17825,121884,5569,111804
2005.62,3194701,3048807,3887864,1669320,26851,254580,64023,535684,196,79376,3706,65544,17827,121884,5569,111804
3007.13,3195098,3049198,3887864,1671996,26853,254580,64026,535684,196,79376,3706,65544,17827,121884,5569,111804
4008.6,3195495,3049583,3887864,1672664,26857,254580,64033,535684,196,79376,3706,65544,17828,121884,5569,111804
5012.43,3195891,3049963,3887864,1674600,26860,254580,64041,535684,196,79376,3706,65544,17831,121884,5570,111804
6016.46,3196286,3050348,3887864,1675808,26864,254580,64046,535684,196,79376,3707,65544,17834,121884,5571,111804
7020.55,3196680,3050730,3887864,1677188,26868,254580,64054,535684,196,79376,3707,65544,17837,121884,5571,111804
8023.99,3197076,3051115,3887864,1679504,26870,254580,64059,535684,196,79376,3707,65544,17839,121884,5572,111804
9027.54,3197471,3051499,3887864,1680452,26874,254580,64064,535684,196,79376,3708,65544,17842,121884,5573,111804
10031.8,3197871,3051876,3887864,1681064,26879,254580,64074,535684,196,79376,3708,65544,17845,121884,5574,111804
11033.55,3198265,3052239,3887864,1685392,26881,254580,64079,535684,196,79376,3710,65544,17847,121884,5574,111804
12035.11,3198663,3052629,3887864,1685468,26882,254580,64084,535684,196,79376,3710,65544,17849,121884,5574,111804
13036.66,3199063,3053025,3887864,1685516,26884,254580,64085,535684,196,79376,3710,65544,17849,121884,5574,111804
14038.27,3199458,3053406,3887864,1685516,26889,254580,64095,535684,196,79376,3710,65544,17850,121884,5576,111804
15040.66,3199854,3053788,3887864,1685516,26891,254580,64102,535684,196,79376,3711,65544,17853,121884,5576,111804
16044.69,3200251,3054180,3887864,1685692,26893,254580,64106,535684,196,79376,3711,65544,17854,121884,5576,111804
17049.15,3200646,3054564,3887864,1686020,26897,254580,64113,535684,196,79376,3711,65544,17857,121884,5576,111804
18052.76,3201045,3054949,3887864,1686808,26900,254580,64118,535684,196,79376,3711,65544,17859,121884,5577,111804
19056.33,3201444,3055332,3887864,1687060,26903,254580,64125,535684,196,79376,3712,65544,17862,121884,5578,111804
20059.59,3201836,3055699,3887864,1687028,26909,254580,64139,535684,196,79376,3712,65544,17868,121884,5579,111804
21061.49,3202235,3056071,3887864,1682344,26912,254580,64144,535684,196,79376,3713,65544,17871,121884,5580,111804
22063.11,3202633,3056452,3887864,1686644,26913,254580,64149,535684,196,79376,3713,65544,17873,121884,5580,111804
23064.67,3203032,3056849,3887864,1686644,26914,254580,64150,535684,196,79376,3713,65544,17873,121884,5580,111804
24066.29,3203429,3057235,3887864,1686896,26917,254580,64156,535684,196,79376,3713,65544,17875,121884,5580,111804
25067.85,3203828,3057623,3887864,1686896,26921,254580,64162,535684,196,79376,3713,65544,17876,121884,5581,111804
26071.87,3204224,3058016,3887864,1686896,26922,254580,64164,535684,196,79376,3714,65544,17876,121884,5581,111804
27073.64,3204619,3058386,3887864,1687320,26932,254580,64170,535684,196,79376,3714,65544,17887,121884,5581,111804
28075.22,3205017,3058778,3887864,1687524,26935,254580,64173,535684,196,79376,3714,65544,17888,121884,5581,111804
29076.79,3205415,3059171,3887864,1687776,26936,254580,64176,535684,196,79376,3715,65544,17889,121884,5582,111804
30078.49,3205811,3059554,3887864,1687776,26939,254580,64184,535684,196,79376,3715,65544,17891,121884,5582,111804
31080.11,3206209,3059946,3887864,1687776,26941,254580,64188,535684,196,79376,3715,65544,17892,121884,5582,111804
32083.63,3206604,3060316,3887864,1686488,26943,254580,64192,535684,196,79376,3715,65544,17895,121884,5582,111804
33087.98,3207003,3060703,3887864,1686488,26945,254580,64198,535684,196,79376,3716,65544,17897,121884,5583,111804
34091.92,3207395,3061074,3887864,1686740,26953,254580,64210,535684,196,79376,3716,65544,17899,121884,5584,111840
35096.05,3207789,3061445,3887864,1686872,26958,254580,64218,535684,196,79376,3716,65544,17903,121884,5585,111840
36100.33,3208186,3061830,3887864,1687152,26961,254580,64225,535684,196,79376,3717,65544,17905,121884,5586,111840
37104.57,3208583,3062214,3887864,1687400,26964,254580,64231,535684,196,79376,3717,65544,17907,121884,5586,111840
38108.97,3208979,3062596,3887864,1687616,26968,254580,64239,535684,196,79376,3719,65544,17911,121884,5586,111840
39112.83,3209376,3062982,3887864,1687804,26971,254580,64244,535684,196,79376,3719,65544,17913,121884,5587,111840
40116.45,3209772,3063350,3887864,1687804,26978,254580,64255,535684,196,79376,3720,65544,17916,121884,5594,111840
41120.59,3210169,3063736,3887864,1687804,26980,254580,64260,535684,196,79376,3720,65544,17918,121884,5595,111840
42123.55,3210566,3064100,3887864,1684440,26982,254580,64266,535684,196,79376,3720,65544,17920,121884,5595,111840
43125.3,3210965,3064495,3887864,1684468,26984,254580,64269,535688,196,79376,3720,65544,17922,121884,5595,111840
44126.95,3211364,3064881,3887864,1686836,26987,254580,64274,535688,196,79376,3721,65544,17923,121884,5595,111840
45130.55,3211762,3065264,3887864,1686584,26990,254580,64282,535688,196,79376,3721,65544,17925,121884,5596,111840
46132.33,3212155,3065598,3887864,1686332,27003,254580,64318,535688,196,79376,3724,65544,17932,121884,5596,111840
47135.5,3212551,3065980,3887864,1686388,27007,254580,64326,535688,196,79376,3724,65544,17934,121884,5596,111840
48137.23,3212946,3066343,3887864,1686772,27015,254580,64344,535688,196,79376,3725,65544,17939,121884,5596,111840
49138.88,3213344,3066704,3887864,1687036,27022,254584,64364,535696,196,79376,3726,65544,17943,121884,5596,111840
50140.52,3213738,3067090,3887864,1687268,27026,254584,64370,535696,196,79376,3726,65616,17946,121884,5598,111840
51142.16,3214138,3067485,3887864,1687468,27027,254584,64372,535696,196,79376,3726,65616,17947,121884,5598,111840
52143.81,3214535,3067859,3887864,1687728,27028,254584,64377,535696,196,79376,3726,65616,17949,121884,5598,111840
53147.41,3214931,3068248,3887864,1687728,27031,254584,64381,535696,196,79376,3726,65616,17950,121884,5598,111840
54150.7,3215330,3068622,3887864,1687728,27038,254584,64393,535696,196,79376,3727,65616,17953,121884,5599,111840
55154.86,3215724,3068999,3887864,1687736,27042,254584,64401,535696,196,79376,3728,65616,17956,121884,5600,111840
56158.19,3216121,3069376,3887864,1687736,27049,254584,64411,535696,196,79376,3728,65616,17958,121884,5600,111840
57162.4,3216514,3069761,3887864,1687988,27051,254584,64416,535696,196,79376,3728,65616,17960,121884,5601,111840
58166.68,3216911,3070144,3887864,1687988,27055,254584,64424,535696,196,79376,3729,65616,17962,121884,5601,111840
59171.74,3217302,3070521,3887864,1688240,27060,254584,64434,535696,196,79376,3730,65616,17965,121884,5602,111840
60175.96,3217693,3070890,3887864,1687988,27067,254584,64447,535696,196,79376,3730,65616,17969,121884,5604,111840
61177.83,3218088,3071203,3887864,1687736,27085,254584,64494,535700,196,79376,3733,65616,17979,121884,5604,111840
62180.55,3218482,3071575,3887864,1685464,27087,254584,64499,535700,196,79376,3734,65616,17981,121884,5604,111840
63182.26,3218870,3071937,3887864,1684260,27096,254584,64518,535704,196,79376,3734,65616,17985,121884,5604,111840
64183.96,3219268,3072294,3887864,1684260,27104,254584,64541,535708,196,79376,3736,65616,17990,121884,5604,111840
65185.85,3219666,3072681,3887864,1684260,27107,254584,64546,535708,196,79376,3736,65616,17991,121884,5606,111840
66189.62,3220062,3073069,3887864,1684260,27110,254584,64550,535708,196,79376,3736,65616,17993,121884,5606,111840
67193.9,3220453,3073444,3887864,1684540,27116,254584,64561,535708,196,79376,3736,65616,17996,121884,5606,111840
68198.24,3220847,3073827,3887864,1684928,27119,254584,64567,535708,196,79376,3737,65616,17998,121884,5607,111840
69202.26,3221244,3074210,3887864,1685320,27123,254584,64574,535708,196,79376,3737,65616,18001,121884,5607,111840
70206.81,3221639,3074584,3887864,1685524,27131,254584,64582,535708,196,79376,3738,65616,18004,121884,5608,111840
71211.05,3222035,3074968,3887864,1685632,27135,254584,64589,535708,196,79376,3739,65616,18006,121884,5609,111840
72214.83,3222434,3075200,3887864,1669976,27138,254584,64744,547552,196,79376,3739,65616,18009,121884,5609,111840
73216.55,3222828,3075539,3887864,1593884,27142,254584,64780,599548,196,79376,3740,65616,18010,121884,5609,111840
74218.24,3223224,3075922,3887864,1593884,27146,254584,64788,599784,196,79376,3740,65616,18011,121884,5610,111840
75219.9,3223621,3076306,3887864,1594788,27149,254584,64794,599896,196,79376,3740,65616,18013,121884,5610,111840
76221.59,3224018,3076695,3887864,1598800,27151,254584,64800,600064,196,79376,3740,65616,18016,121884,5611,111840
77225.11,3224415,3077081,3887864,1602828,27153,254584,64805,600152,196,79376,3740,65616,18017,121884,5611,111840
78228.61,3224812,3077464,3887864,1604540,27156,254584,64811,600224,196,79376,3741,65616,18021,121884,5612,111840
79232.26,3225209,3077843,3887864,1606064,27161,254584,64821,600284,196,79376,3741,65616,18023,121884,5612,111840
80236.61,3225602,3078212,3887864,1607740,27166,254584,64834,600544,196,79376,3742,65616,18030,121884,5613,111840
81240.93,3225997,3078598,3887864,1609372,27169,254584,64840,600624,196,79376,3742,65616,18032,121884,5613,111840
82245.27,3226395,3078985,3887864,1610864,27171,254584,64845,600700,196,79376,3743,65616,18034,121884,5614,111840
83247.1,3226790,3079348,3887864,1615564,27174,254584,64850,600808,196,79376,3743,65616,18036,121884,5615,111840
84248.75,3227187,3079737,3887864,1615968,27177,254584,64854,600960,196,79376,3743,65616,18037,121884,5615,111840
85250.56,3227584,3080125,3887864,1616708,27179,254584,64859,601064,196,79376,3743,65616,18039,121884,5615,111840
86252.2,3227982,3080521,3887864,1617396,27180,254584,64862,601076,196,79376,3745,65616,18039,121884,5616,111840
87253.9,3228380,3080912,3887864,1617780,27181,254584,64865,601116,196,79376,3745,65616,18041,121884,5616,111840
88258.16,3228776,3081302,3887864,1618532,27182,254584,64868,601120,196,79376,3745,65616,18042,121884,5617,111840
89261.55,3229170,3081673,3887864,1618268,27190,254584,64881,601316,196,79376,3745,65616,18046,121884,5617,111840
90265.14,3229565,3082045,3887864,1618636,27196,254584,64893,601476,196,79376,3745,65616,18049,121884,5618,111840
91268.46,3229961,3082423,3887864,1618864,27200,254584,64903,601656,196,79376,3746,65616,18053,121884,5618,111840
92272.73,3230355,3082810,3887864,1619248,27203,254584,64907,601696,196,79376,3747,65616,18055,121884,5618,111840
93274.58,3230754,3083175,3887864,1620808,27206,254584,64912,601780,196,79376,3747,65616,18058,121884,5619,111840
94276.24,3231151,3083565,3887864,1620808,27209,254584,64917,601916,196,79376,3747,65616,18058,121884,5620,111840
95277.95,3231548,3083951,3887864,1620808,27213,254584,64923,602072,196,79376,3747,65616,18060,121884,5620,111840
96279.58,3231946,3084344,3887864,1620556,27214,254584,64925,602156,196,79376,3747,65616,18061,121884,5620,111840
97281.28,3232347,3084736,3887864,1620556,27216,254584,64929,602336,196,79376,3748,65616,18062,121884,5620,111840
98285.62,3232743,3085125,3887864,1620556,27218,254584,64933,602368,196,79376,3748,65616,18064,121884,5621,111840
99288.63,3233138,3085501,3887864,1620332,27221,254584,64941,602564,199,79376,3749,65616,18067,121884,5622,111840
100292.77,3233532,3085881,3887864,1620332,27226,254584,64951,602728,199,79376,3749,65616,18069,121884,5622,111840
101302.95,3233929,3086217,3887864,1619948,27229,254584,65004,603496,199,79376,3749,65616,18073,121884,5623,111840
102304.92,3234330,3086586,3887864,1619840,27230,254584,65034,603496,199,79376,3750,65616,18074,121884,5623,111840
103306.61,3234725,3086960,3887864,1618704,27232,254584,65038,603576,199,79376,3750,65616,18075,121884,5623,111840
104308.29,3235123,3087346,3887864,1618704,27236,254584,65045,603584,199,79376,3751,65616,18076,121884,5623,111840
105309.98,3235521,3087733,3887864,1618704,27239,254584,65050,603592,199,79376,3751,65616,18078,121884,5624,111840
106313.53,3235917,3088122,3887864,1618704,27240,254584,65056,603608,199,79376,3751,65616,18080,121884,5625,111840
107317.39,3236313,3088509,3887864,1618704,27243,254584,65060,603616,199,79376,3751,65616,18083,121884,5625,111840
108321.64,3236709,3088895,3887864,1618956,27246,254584,65065,603624,199,79376,3752,65616,18084,121884,5626,111840
109325.06,3237103,3089273,3887864,1619208,27251,254584,65074,603632,199,79376,3752,65616,18088,121884,5626,111840
110329.88,3237495,3089646,3887864,1618956,27254,254584,65084,603640,199,79376,3756,65620,18092,122368,5627,111840
111333.6,3237893,3090030,3887864,1618452,27257,254584,65091,603648,199,79376,3756,65620,18095,122380,5627,111840
112337.33,3238291,3090409,3887864,1618452,27261,254584,65101,603656,199,79376,3757,65620,18098,122380,5628,111840
113339.68,3238688,3090775,3887864,1610760,27264,254584,65108,603664,199,79376,3758,65620,18100,122380,5629,111840
114341.49,3239088,3091158,3887864,1613692,27267,254584,65113,603672,199,79376,3758,65620,18102,122380,5629,111840
115343.15,3239485,3091546,3887864,1613692,27269,254584,65117,603672,199,79376,3758,65620,18104,122404,5630,111840
116344.83,3239883,3091939,3887864,1613944,27270,254584,65121,603672,199,79376,3759,65620,18105,122404,5630,111840
117346.53,3240279,3092327,3887864,1614036,27273,254584,65125,603680,199,79376,3759,65620,18106,122404,5630,111840
118350.83,3240679,3092723,3887864,1614272,27274,254584,65126,603680,199,79376,3759,65620,18106,122408,5630,111840
119354.18,3241072,3093096,3887864,1614748,27281,254584,65139,603688,199,79376,3759,65620,18110,122416,5631,111840
120358.43,3241471,3093471,3887864,1614944,27286,254584,65148,603696,199,79376,3759,65620,18113,122424,5632,111840
121363.43,3241869,3093852,3887864,1615196,27290,254584,65156,603712,199,79376,3760,65620,18117,122456,5632,111840
122366.84,3242266,3094237,3887864,1615504,27291,254584,65163,603728,199,79376,3761,65620,18119,122464,5633,111840
123370.53,3242660,3094612,3887864,1615484,27296,254584,65174,603748,199,79376,3761,65624,18122,122520,5634,111844
