time,sent,received,total
4.14,45525.97,92421.16,134.71
1005.18,45533.91,92486.4,134.79
2005.92,45536.19,92489.39,134.79
3006.61,45550.78,92811.02,135.12
4007.29,45550.78,92811.07,135.12
5007.93,45552.01,92812.85,135.12
6009.03,45552.18,92813.0,135.12
7010.38,45553.22,92813.83,135.12
8011.63,45555.31,92816.08,135.13
9012.91,45556.09,92817.13,135.13
10014.27,45556.09,92817.19,135.13
11015.55,45557.05,92818.33,135.13
12016.82,45557.24,92818.39,135.13
13017.64,45563.66,92821.76,135.14
14018.35,45564.05,92822.39,135.14
15018.99,45570.65,92829.35,135.16
16019.64,45572.2,92831.49,135.16
17020.3,45573.21,92832.5,135.16
18021.41,45574.75,92833.82,135.16
19022.72,45575.52,92834.6,135.17
20024.05,45575.75,92835.04,135.17
21025.33,45576.86,92838.07,135.17
22026.66,45577.29,92838.45,135.17
23027.94,45579.54,92841.01,135.18
24028.75,45579.6,92841.3,135.18
25029.42,45580.64,92842.75,135.18
26030.09,45580.7,92843.03,135.18
27030.74,45581.85,92843.94,135.18
28031.39,45582.76,92845.08,135.18
29032.52,45584.82,92846.08,135.19
30033.33,45588.85,92851.52,135.2
31034.03,45601.03,92862.5,135.22
32034.67,45649.71,92902.44,135.3
33035.33,45699.11,92942.48,135.39
34035.99,45749.42,92984.07,135.48
35036.88,45798.51,93024.32,135.57
36037.91,45847.05,93063.84,135.65
37038.83,45896.13,93104.26,135.74
38039.8,45944.7,93144.17,135.83
39040.79,45992.09,93183.08,135.91
40041.53,46040.59,93223.62,136.0
41042.17,46089.86,93263.55,136.09
42042.83,46138.65,93302.94,136.17
43043.46,46193.12,93345.37,136.27
44044.12,46242.07,93385.55,136.35
45045.08,46295.34,93431.24,136.45
46045.96,46355.45,93584.76,136.66
47046.67,46411.48,93670.67,136.8
48047.35,46464.13,93716.6,136.89
49050.51,46528.62,94081.78,137.31
50051.5,46598.42,94797.65,138.08
51052.53,46656.98,95123.96,138.46
52053.29,46705.6,95164.3,138.54
53054.01,46758.86,95208.47,138.64
54054.69,46807.17,95247.53,138.72
55055.38,46856.74,95288.24,138.81
56056.3,46905.05,95327.38,138.9
57057.33,46954.64,95368.52,138.99
58058.13,47004.1,95409.3,139.08
59058.81,47055.52,95451.07,139.17
60059.49,47107.79,95495.87,139.26
61060.19,47160.75,95577.64,139.39
62060.92,47225.68,95771.59,139.65
63061.69,47280.62,95818.22,139.74
64066.57,47345.14,96224.4,140.2
65067.74,47416.61,96762.87,140.8
66070.53,47486.84,97573.23,141.66
67071.72,47536.37,97613.44,141.75
68072.6,47573.66,97655.09,141.82
69073.32,47621.53,97693.73,141.91
70074.13,47665.52,97729.52,141.99
71074.89,47719.95,97773.87,142.08
72075.71,47768.53,97813.06,142.17
73076.77,47825.92,97858.02,142.27
74077.93,47874.73,97897.89,142.36
75078.71,47927.92,97943.81,142.45
76079.41,47978.1,97985.74,142.54
77080.13,48027.19,98025.98,142.63
78080.85,48076.08,98066.2,142.72
